task,send_time_s,latency_ms
gestureclass,0.0002,397.757
gestureclass,0.0437,354.320
gestureclass,0.0631,334.900
gestureclass,0.0869,349.700
gestureclass,0.0893,347.372
gestureclass,0.0996,380.174
gestureclass,0.1249,354.848
gestureclass,0.1453,334.450
gestureclass,0.1497,374.009
gestureclass,0.2136,310.120
gestureclass,0.2138,354.936
gestureclass,0.2353,333.541
gestureclass,0.2366,332.163
gestureclass,0.2858,370.840
gestureclass,0.2881,368.524
gestureclass,0.3187,381.804
gestureclass,0.3231,377.473
gestureclass,0.4131,330.157
gestureclass,0.4246,318.735
gestureclass,0.4488,294.539
gestureclass,0.4677,318.975
gestureclass,0.4809,348.979
gestureclass,0.5100,364.835
gestureclass,0.5249,350.025
gestureclass,0.5800,339.890
gestureclass,0.5813,338.572
gestureclass,0.6883,360.521
gestureclass,0.7047,344.187
gestureclass,0.7109,381.018
gestureclass,0.7222,369.764
gestureclass,0.7475,388.420
gestureclass,0.7670,368.921
gestureclass,0.8088,372.456
gestureclass,0.8546,370.321
gestureclass,0.8743,350.647
gestureclass,0.9047,407.009
gestureclass,0.9185,393.217
gestureclass,0.9202,434.851
gestureclass,0.9315,423.533
gestureclass,0.9371,462.389
gestureclass,0.9779,421.647
gestureclass,0.9813,463.119
gestureclass,1.0065,437.922
gestureclass,1.0520,481.227
gestureclass,1.0553,477.938
gestureclass,1.0743,501.913
gestureclass,1.1260,493.840
gestureclass,1.1359,528.528
gestureclass,1.1463,518.203
gestureclass,1.1607,503.810
gestureclass,1.1633,545.753
gestureclass,1.1676,541.469
gestureclass,1.2294,523.548
gestureclass,1.2781,519.324
gestureclass,1.2898,549.981
gestureclass,1.2960,543.719
gestureclass,1.3229,516.918
gestureclass,1.4092,562.828
gestureclass,1.4529,563.637
gestureclass,1.4626,553.966
gestureclass,1.4769,583.457
gestureclass,1.4977,562.690
gestureclass,1.5131,547.308
gestureclass,1.5195,583.642
gestureclass,1.5258,577.375
gestureclass,1.5474,555.805
gestureclass,1.6184,571.233
gestureclass,1.6209,568.785
gestureclass,1.6449,590.075
gestureclass,1.6981,581.473
gestureclass,1.6982,581.389
gestureclass,1.7087,614.560
gestureclass,1.7356,587.629
gestureclass,1.7807,585.546
gestureclass,1.8370,529.256
gestureclass,1.8439,565.028
gestureclass,1.8452,563.736
gestureclass,1.8525,556.450
gestureclass,1.8688,583.115
gestureclass,1.8742,577.827
gestureclass,1.8821,569.879
gestureclass,1.9107,585.888
gestureclass,1.9108,585.801
gestureclass,1.9469,549.696
gestureclass,1.9470,593.868
gestureclass,1.9671,573.739
gestureclass,1.9685,615.735
gestureclass,1.9742,610.081
gestureclass,1.9855,598.766
gestureclass,2.0291,599.484
gestureclass,2.0334,595.191
gestureclass,2.1114,561.043
gestureclass,2.1556,561.484
gestureclass,2.1557,605.328
gestureclass,2.1560,605.032
gestureclass,2.1594,601.741
gestureclass,2.1800,625.005
gestureclass,2.3027,546.662
gestureclass,2.3094,582.957
gestureclass,2.3374,598.551
gestureclass,2.3397,596.245
gestureclass,2.3705,609.316
gestureclass,2.4101,569.700
gestureclass,2.4552,569.565
gestureclass,2.4997,525.037
gestureclass,2.5321,537.251
gestureclass,2.5346,534.838
gestureclass,2.5510,563.095
gestureclass,2.5594,554.728
gestureclass,2.5699,587.462
gestureclass,2.6139,586.500
gestureclass,2.6568,587.433
gestureclass,2.6796,609.743
gestureclass,2.6849,604.374
gestureclass,2.7067,627.167
gestureclass,2.7131,620.827
gestureclass,2.7423,635.492
gestureclass,2.7460,673.902
gestureclass,2.7712,648.663
gestureclass,2.7796,681.871
gestureclass,2.7820,679.535
gestureclass,2.8095,652.012
gestureclass,2.8119,692.823
gestureclass,2.8971,697.344
gestureclass,2.9100,728.844
gestureclass,2.9177,721.100
gestureclass,2.9210,717.849
gestureclass,2.9358,747.153
gestureclass,2.9639,719.018
gestureclass,2.9995,726.165
gestureclass,3.0168,708.872
gestureclass,3.0846,684.912
gestureclass,3.1153,654.157
gestureclass,3.1188,696.378
gestureclass,3.1845,630.658
gestureclass,3.1919,668.006
gestureclass,3.2604,643.236
gestureclass,3.2658,637.874
gestureclass,3.2771,626.580
gestureclass,3.2995,647.810
gestureclass,3.3010,646.301
gestureclass,3.3541,636.282
gestureclass,3.3629,671.295
gestureclass,3.3682,666.057
gestureclass,3.3695,664.748
gestureclass,3.3695,710.150
gestureclass,3.3698,709.935
gestureclass,3.3774,746.128
gestureclass,3.3852,738.438
gestureclass,3.4055,762.146
gestureclass,3.4510,716.609
gestureclass,3.4752,778.998
gestureclass,3.4965,757.656
gestureclass,3.5081,789.843
gestureclass,3.5267,771.288
gestureclass,3.5433,799.690
gestureclass,3.5446,798.424
gestureclass,3.5499,837.486
gestureclass,3.5552,832.232
gestureclass,3.5565,830.975
gestureclass,3.5667,864.327
gestureclass,3.5672,863.843
gestureclass,3.5965,834.557
gestureclass,3.6273,847.711
gestureclass,3.6296,845.381
gestureclass,3.6309,887.552
gestureclass,3.6942,824.295
gestureclass,3.7007,862.917
gestureclass,3.7139,895.155
gestureclass,3.7261,882.972
gestureclass,3.7520,901.238
gestureclass,3.7727,924.253
gestureclass,3.8185,921.455
gestureclass,3.8228,917.181
gestureclass,3.8432,940.737
gestureclass,3.8518,932.075
gestureclass,3.8657,963.019
gestureclass,3.9486,924.696
gestureclass,3.9602,913.134
gestureclass,3.9830,934.345
gestureclass,3.9960,921.359
gestureclass,3.9996,961.645
gestureclass,4.0000,961.255
gestureclass,4.0320,971.511
gestureclass,4.0338,969.685
gestureclass,4.0373,966.174
gestureclass,4.0558,990.374
gestureclass,4.0632,983.076
gestureclass,4.0755,1013.124
gestureclass,4.0878,1000.789
gestureclass,4.0879,1000.725
gestureclass,4.1320,1001.192
gestureclass,4.2133,963.956
gestureclass,4.2277,949.614
gestureclass,4.2360,985.314
gestureclass,4.2817,939.636
gestureclass,4.2921,929.277
gestureclass,4.3121,952.945
gestureclass,4.3532,911.916
gestureclass,4.3608,947.809
gestureclass,4.3997,908.923
gestureclass,4.4222,930.138
gestureclass,4.4433,953.136
gestureclass,4.4781,962.564
gestureclass,4.4782,962.531
gestureclass,4.4866,954.151
gestureclass,4.4909,993.537
gestureclass,4.4972,987.267
gestureclass,4.5055,978.963
gestureclass,4.5111,1017.205
gestureclass,4.5222,1049.259
gestureclass,4.5295,1042.009
gestureclass,4.5408,1030.737
gestureclass,4.5544,1060.556
gestureclass,4.5597,1055.298
gestureclass,4.5785,1082.007
gestureclass,4.6023,1102.669
gestureclass,4.6333,1116.493
gestureclass,4.6376,1112.202
gestureclass,4.6584,1134.938
gestureclass,4.6852,1108.162
gestureclass,4.6866,1149.857
gestureclass,4.6982,1138.323
gestureclass,4.7176,1118.972
gestureclass,4.7229,1157.378
gestureclass,4.7594,1120.908
gestureclass,4.7851,1140.415
gestureclass,4.7894,1136.146
gestureclass,4.8007,1168.262
gestureclass,4.8678,1101.172
gestureclass,4.8837,1085.292
gestureclass,4.9129,1100.305
gestureclass,4.9624,1094.594
gestureclass,4.9738,1083.237
gestureclass,4.9761,1080.899
gestureclass,4.9805,1119.466
gestureclass,4.9948,1105.133
gestureclass,5.0056,1137.935
gestureclass,5.0223,1121.279
gestureclass,5.0484,1140.657
gestureclass,5.0787,1110.308
gestureclass,5.0998,1133.616
gestureclass,5.1574,1120.311
