task,send_time_s,latency_ms
gestureclass,0.0002,391.669
gestureclass,0.0116,536.867
gestureclass,0.0350,513.652
gestureclass,0.0474,501.256
gestureclass,0.0521,650.393
gestureclass,0.0521,650.350
gestureclass,0.0835,618.994
gestureclass,0.0849,775.397
gestureclass,0.0892,771.263
gestureclass,0.1078,752.701
gestureclass,0.1152,897.406
gestureclass,0.1275,885.194
gestureclass,0.1399,872.853
gestureclass,0.1399,1025.016
gestureclass,0.1845,980.471
gestureclass,0.2653,899.747
gestureclass,0.2795,1040.102
gestureclass,0.2878,1031.839
gestureclass,0.3331,986.598
gestureclass,0.3434,1125.045
gestureclass,0.3633,1105.259
gestureclass,0.4043,1064.217
gestureclass,0.4128,1210.410
gestureclass,0.4520,1171.232
gestureclass,0.4743,1148.912
gestureclass,0.4945,1279.377
gestureclass,0.5306,1243.282
gestureclass,0.5307,1243.221
gestureclass,0.5383,1392.886
gestureclass,0.5429,1388.294
gestureclass,0.5486,1382.687
gestureclass,0.5577,1521.588
gestureclass,0.5625,1516.829
gestureclass,0.5742,1505.123
gestureclass,0.5816,1654.995
gestureclass,0.5931,1643.586
gestureclass,0.6055,1631.136
gestureclass,0.6112,1773.807
gestureclass,0.6311,1754.018
gestureclass,0.6544,1730.712
gestureclass,0.6861,1855.033
gestureclass,0.6895,1851.690
gestureclass,0.7096,1831.583
gestureclass,0.7374,1955.550
gestureclass,0.7378,1955.170
gestureclass,0.7496,1943.402
gestureclass,0.7697,2079.384
gestureclass,0.7743,2074.842
gestureclass,0.8109,2038.221
gestureclass,0.8374,2165.339
gestureclass,0.8407,2162.084
gestureclass,0.8526,2150.227
gestureclass,0.9201,2237.876
gestureclass,0.9365,2221.503
gestureclass,0.9649,2193.052
gestureclass,1.0139,2296.328
gestureclass,1.0262,2284.073
gestureclass,1.0275,2282.794
gestureclass,1.0328,2432.282
gestureclass,1.0474,2417.779
gestureclass,1.0573,2407.912
gestureclass,1.0743,2544.087
gestureclass,1.1017,2516.735
gestureclass,1.1311,2487.310
gestureclass,1.1515,2618.390
gestureclass,1.2087,2561.171
gestureclass,1.2818,2488.099
gestureclass,1.3078,2618.240
gestureclass,1.3462,2579.943
gestureclass,1.3565,2569.664
gestureclass,1.3600,2712.863
gestureclass,1.3764,2696.708
gestureclass,1.4281,2645.019
gestureclass,1.4314,2798.414
gestureclass,1.4418,2788.093
gestureclass,1.4613,2768.541
gestureclass,1.4717,2910.020
gestureclass,1.4729,2908.767
gestureclass,1.5563,2825.454
gestureclass,1.5712,2967.597
gestureclass,1.5772,2961.640
gestureclass,1.5875,2951.348
gestureclass,1.5875,3102.831
gestureclass,1.6039,3086.566
gestureclass,1.6367,3053.827
gestureclass,1.6527,3197.550
gestureclass,1.6827,3167.506
gestureclass,1.6965,3153.789
gestureclass,1.7256,3280.659
gestureclass,1.7393,3266.943
gestureclass,1.7595,3246.755
gestureclass,1.7981,3363.231
gestureclass,1.8864,3274.976
gestureclass,1.8967,3264.649
gestureclass,1.9663,3350.038
gestureclass,1.9686,3347.745
gestureclass,1.9862,3330.155
gestureclass,2.0008,3465.115
gestureclass,2.0176,3448.364
gestureclass,2.0544,3411.565
gestureclass,2.0647,3554.946
gestureclass,2.1486,3471.035
gestureclass,2.1640,3455.698
gestureclass,2.1936,3574.945
gestureclass,2.2113,3557.355
gestureclass,2.2259,3542.808
gestureclass,2.2378,3684.892
gestureclass,2.2379,3684.844
gestureclass,2.3164,3606.385
gestureclass,2.3377,3734.818
gestureclass,2.3925,3680.089
gestureclass,2.4746,3598.086
gestureclass,2.5056,3721.023
