task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,fifo,0.0001,365.8397,363.928,346.7799,0.0027,15.6802,1.034,0.0,1.9118,1778007946950647002
ecgclass,fifo,0.0347,370.1637,54.912,41.9191,0.0018,5.6731,314.7941,0.0,315.2517,1778007947298957171
ecgclass,fifo,0.0681,336.7832,54.912,41.9191,0.0018,5.6731,281.342,0.0,281.8712,1778007947298957171
ecgclass,fifo,0.1026,383.7292,46.2962,44.0601,0.0021,0.378,337.029,0.0,337.433,1778007947389148845
ecgclass,fifo,0.1069,379.5359,46.2962,44.0601,0.0021,0.378,332.7832,0.0,333.2397,1778007947389148845
ecgclass,fifo,0.1081,422.3647,45.2391,43.2073,0.0034,0.508,376.5604,0.0,377.1256,1778007947434156673
ecgclass,fifo,0.1283,402.1301,45.2391,43.2073,0.0034,0.508,356.3118,0.0,356.8911,1778007947434156673
ecgclass,fifo,0.149,424.9809,44.5771,42.9996,0.0021,0.2062,379.8785,0.0,380.4038,1778007947478417577
ecgclass,fifo,0.1934,380.6334,44.5771,42.9996,0.0021,0.2062,335.516,0.0,336.0563,1778007947478417577
ecgclass,fifo,0.1948,379.3228,44.5771,42.9996,0.0021,0.2062,334.1484,0.0,334.7457,1778007947478417577
ecgclass,fifo,0.2093,407.9933,43.8919,41.6474,0.0019,0.4711,363.5707,0.0,364.1015,1778007947522405573
ecgclass,fifo,0.2106,406.7366,43.8919,41.6474,0.0019,0.4711,362.2944,0.0,362.8447,1778007947522405573
ecgclass,fifo,0.2261,435.2472,45.6207,42.9715,0.002,1.1662,389.3254,0.0,389.6265,1778007947564975151
ecgclass,fifo,0.2511,453.2368,44.0915,42.368,0.0024,0.3921,408.5276,0.0,409.1454,1778007947609101762
ecgclass,fifo,0.2564,447.9022,44.0915,42.368,0.0024,0.3921,403.1775,0.0,403.8107,1778007947609101762
ecgclass,fifo,0.2738,475.9831,46.4858,44.9577,0.0027,0.1768,429.0855,0.0,429.4973,1778007947652431907
ecgclass,fifo,0.2763,473.6512,46.4858,44.9577,0.0027,0.1768,426.5959,0.0,427.1653,1778007947652431907
ecgclass,fifo,0.2767,473.2673,46.4858,44.9577,0.0027,0.1768,426.2016,0.0,426.7815,1778007947652431907
ecgclass,fifo,0.2821,512.2457,44.9701,43.4577,0.0027,0.1723,466.6455,0.0,467.2755,1778007947698247266
ecgclass,fifo,0.2945,499.8598,44.9701,43.4577,0.0027,0.1723,454.2458,0.0,454.8897,1778007947698247266
ecgclass,fifo,0.3009,493.4478,44.9701,43.4577,0.0027,0.1723,447.819,0.0,448.4777,1778007947698247266
ecgclass,fifo,0.3183,518.8801,43.7439,42.2121,0.0026,0.1767,474.6263,0.0,475.1362,1778007947742476209
ecgclass,fifo,0.3218,515.5346,43.7439,42.2121,0.0026,0.1767,471.1964,0.0,471.7907,1778007947742476209
ecgclass,fifo,0.3492,488.1349,43.7439,42.2121,0.0026,0.1767,443.7833,0.0,444.3909,1778007947742476209
ecgclass,fifo,0.3657,515.8429,44.9693,43.2653,0.0026,0.1936,470.2103,0.0,470.8736,1778007947785455256
ecgclass,fifo,0.3761,505.4781,44.9693,43.2653,0.0026,0.1936,459.8234,0.0,460.5088,1778007947785455256
ecgclass,fifo,0.3805,501.1332,44.9693,43.2653,0.0026,0.1936,455.456,0.0,456.1639,1778007947785455256
ecgclass,fifo,0.3868,537.5721,43.828,42.2354,0.0022,0.18,493.2556,0.0,493.7441,1778007947829590618
ecgclass,fifo,0.3881,536.2926,43.828,42.2354,0.0022,0.18,491.9617,0.0,492.4646,1778007947829590618
ecgclass,fifo,0.3904,534.0617,43.828,42.2354,0.0022,0.18,489.6851,0.0,490.2337,1778007947829590618
ecgclass,fifo,0.4002,567.5437,44.2584,41.7924,0.0021,1.2128,522.9194,0.0,523.2853,1778007947872650229
ecgclass,fifo,0.406,606.4358,46.1829,44.0573,0.0027,0.4308,559.7711,0.0,560.2528,1778007947915288095
ecgclass,fifo,0.4253,587.126,46.1829,44.0573,0.0027,0.4308,540.4496,0.0,540.9431,1778007947915288095
ecgclass,fifo,0.4341,622.6485,45.4553,43.0857,0.002,1.0468,576.802,0.0,577.1932,1778007947960423436
ecgclass,fifo,0.4376,662.9035,45.0874,42.876,0.0016,0.4951,617.3942,0.0,617.8161,1778007948004496568
ecgclass,fifo,0.4446,655.8819,45.0874,42.876,0.0016,0.4951,610.359,0.0,610.7945,1778007948004496568
ecgclass,fifo,0.453,691.1705,44.7904,43.2857,0.003,0.2276,645.8144,0.0,646.38,1778007948048311274
ecgclass,fifo,0.4584,685.8025,44.7904,43.2857,0.003,0.2276,640.4326,0.0,641.012,1778007948048311274
ecgclass,fifo,0.4628,681.4313,44.7904,43.2857,0.003,0.2276,636.0476,0.0,636.6409,1778007948048311274
ecgclass,fifo,0.4761,752.6305,43.0971,41.1581,0.0023,0.4645,709.0294,0.0,709.5333,1778007948134660161
ecgclass,fifo,0.4797,749.0928,43.0971,41.1581,0.0023,0.4645,705.4522,0.0,705.9957,1778007948134660161
ecgclass,fifo,0.4986,773.7112,44.6265,42.2975,0.002,1.0602,728.7278,0.0,729.0847,1778007948176839099
ecgclass,fifo,0.5185,798.6417,46.0732,44.2382,0.0029,0.8466,752.0883,0.0,752.5684,1778007948220083779
ecgclass,fifo,0.5337,827.9366,45.3375,42.9911,0.0024,0.5268,782.1751,0.0,782.5991,1778007948265354515
ecgclass,fifo,0.5349,826.6859,45.3375,42.9911,0.0024,0.5268,780.9057,0.0,781.3484,1778007948265354515
