task,send_time_s,latency_ms,phase
nyudepth,0.0001,1780.530,1
nyudepth,0.4812,1681.718,1
nyudepth,0.9486,1622.847,1
nyudepth,1.4255,1989.103,1
nyudepth,1.4813,1935.148,1
nyudepth,1.4998,1918.982,1
nyudepth,1.7908,2039.362,1
nyudepth,2.0710,1761.099,1
nyudepth,2.6959,1979.601,1
nyudepth,2.7126,1965.580,1
nyudepth,2.9221,1759.578,1
nyudepth,2.9358,1747.515,1
nyudepth,3.1536,1599.576,1
nyudepth,3.4993,1256.916,1
nyudepth,3.5773,1179.634,1
nyudepth,3.8232,1261.433,1
nyudepth,3.8544,1232.126,1
nyudepth,3.8723,1216.199,1
nyudepth,3.9351,1155.661,1
nyudepth,4.1160,1379.776,1
nyudepth,4.1984,1299.258,1
nyudepth,4.4480,1476.881,1
nyudepth,4.4931,1433.743,1
nyudepth,4.8603,1491.447,1
nyudepth,5.1050,1249.624,1
nyudepth,5.2366,2035.891,1
nyudepth,5.3204,1954.011,1
nyudepth,5.4106,1865.716,1
nyudepth,5.4273,1850.977,1
nyudepth,5.4620,1818.288,1
nyudepth,5.5990,1683.707,1
nyudepth,5.6769,1607.676,1
nyudepth,5.9300,1356.521,1
nyudepth,6.0710,1217.391,1
nyudepth,6.1189,1599.093,1
nyudepth,6.2117,1508.823,1
nyudepth,6.3411,1381.706,1
nyudepth,6.4082,1316.478,1
nyudepth,6.4727,1253.806,1
nyudepth,6.6488,1479.350,1
nyudepth,6.7078,1422.792,1
nyudepth,6.9751,1157.839,1
nyudepth,7.2528,1295.208,1
nyudepth,7.4703,1080.142,1
nyudepth,7.4840,1068.844,1
nyudepth,7.7115,1242.386,1
nyudepth,7.9822,974.413,1
nyudepth,8.2059,1670.563,1
nyudepth,8.2628,1615.823,1
nyudepth,8.3269,1553.661,1
nyudepth,8.3594,1522.961,1
nyudepth,8.4301,1454.131,1
nyudepth,8.4351,1451.177,1
nyudepth,8.4678,1420.439,1
nyudepth,8.7317,1158.517,1
nyudepth,9.5307,1108.122,1
nyudepth,9.6432,997.692,1
nyudepth,9.6997,943.718,1
nyudepth,9.7790,866.575,1
nyudepth,9.8521,1206.338,1
nyudepth,9.8776,1182.985,1
nyudepth,10.0941,969.132,1
nyudepth,10.3691,1115.569,1
nyudepth,10.6710,815.535,1
nyudepth,11.7329,1034.873,1
nyudepth,12.1556,1036.556,1
nyudepth,12.4830,711.078,1
nyudepth,12.6923,924.655,1
nyudepth,12.8104,808.393,1
nyudepth,12.8194,802.883,1
nyudepth,13.0110,1028.610,1
nyudepth,13.1357,906.276,1
nyudepth,13.4368,1038.048,1
nyudepth,13.8425,634.020,1
nyudepth,13.9084,570.465,1
nyudepth,13.9182,562.656,1
nyudepth,14.1036,834.126,1
nyudepth,14.6143,870.974,1
nyudepth,14.7781,709.159,1
nyudepth,15.2043,705.335,1
nyudepth,15.3551,556.412,1
nyudepth,15.6182,721.203,1
nyudepth,15.6754,666.912,1
nyudepth,15.7025,641.770,1
nyudepth,15.7315,616.001,1
nyudepth,15.7544,595.345,1
nyudepth,15.7654,586.167,1
nyudepth,16.1095,816.114,1
nyudepth,16.1983,728.510,1
nyudepth,16.2758,653.301,1
nyudepth,16.4625,894.493,1
nyudepth,16.5004,859.666,1
nyudepth,16.8855,895.727,1
nyudepth,17.1425,640.856,1
nyudepth,17.2082,577.276,1
nyudepth,17.2488,538.763,1
nyudepth,17.3551,840.995,1
nyudepth,17.4154,783.196,1
nyudepth,17.4305,770.190,1
nyudepth,17.5311,672.316,1
nyudepth,17.9819,620.653,1
nyudepth,18.1841,823.591,1
nyudepth,18.8001,745.819,1
nyudepth,19.2091,729.445,1
nyudepth,19.4325,508.314,1
nyudepth,19.8028,713.914,1
nyudepth,19.9479,996.854,1
nyudepth,20.1618,786.001,1
nyudepth,20.2382,711.230,1
nyudepth,20.2815,670.086,1
nyudepth,20.7116,656.556,1
nyudepth,20.7396,630.506,1
nyudepth,20.7765,595.721,1
nyudepth,20.8380,536.168,1
nyudepth,21.0324,748.160,1
nyudepth,21.1147,667.189,1
nyudepth,21.2518,532.320,1
nyudepth,21.6834,501.379,1
nyudepth,21.9915,495.435,1
nyudepth,22.2264,575.581,1
nyudepth,22.2603,545.070,1
nyudepth,22.4993,754.274,1
nyudepth,22.5887,668.264,1
nyudepth,22.6138,646.534,1
nyudepth,22.6937,569.970,1
nyudepth,22.7086,558.311,1
nyudepth,22.8910,817.736,1
nyudepth,23.0860,624.744,1
nyudepth,23.1441,568.839,1
nyudepth,23.1530,562.485,1
nyudepth,23.6991,866.836,1
nyudepth,23.8604,707.055,1
nyudepth,24.1578,838.862,1
nyudepth,24.2291,769.462,1
nyudepth,24.5642,871.687,1
nyudepth,24.8922,545.772,1
nyudepth,24.9112,528.998,1
nyudepth,25.9978,728.664,1
nyudepth,26.1318,597.174,1
nyudepth,26.4120,745.923,1
nyudepth,26.4601,701.154,1
nyudepth,26.6583,928.931,1
nyudepth,26.7147,875.032,1
nyudepth,27.0377,982.236,1
nyudepth,27.1296,892.914,1
nyudepth,27.2859,738.926,1
nyudepth,27.3916,635.213,1
nyudepth,27.5416,872.179,1
nyudepth,27.6361,778.938,1
nyudepth,27.7595,658.146,1
nyudepth,27.7645,657.291,1
nyudepth,28.0827,668.165,1
nyudepth,28.5841,576.589,1
nyudepth,28.7003,462.348,1
nyudepth,29.3809,641.257,1
nyudepth,29.4149,609.578,1
nyudepth,29.9716,416.203,1
nyudepth,30.0443,666.946,1
nyudepth,30.1784,534.690,1
