task,send_time_s,latency_ms,phase
vocseg,0.0003,394.011,1
vocseg,0.0023,2061.728,1
vocseg,0.0071,2059.204,1
vocseg,0.0160,2052.689,1
vocseg,0.0248,2046.301,1
vocseg,0.0251,2049.103,1
vocseg,0.0538,2022.913,1
vocseg,0.0567,2022.157,1
vocseg,0.0725,2008.585,1
vocseg,0.0883,1995.787,1
vocseg,0.0901,1995.509,1
vocseg,0.0902,1997.385,1
vocseg,0.0931,1997.049,1
vocseg,0.0968,1995.677,1
vocseg,0.1105,1984.342,1
vocseg,0.1133,1984.085,1
vocseg,0.1150,1984.874,1
vocseg,0.1293,1973.844,1
vocseg,0.1322,1972.653,1
vocseg,0.1594,1947.878,1
vocseg,0.1713,1938.312,1
vocseg,0.1852,1926.789,1
vocseg,0.2201,1894.356,1
vocseg,0.2228,1894.627,1
vocseg,0.2366,1882.388,1
vocseg,0.2436,1877.533,1
vocseg,0.2463,1877.053,1
vocseg,0.2620,1863.648,1
vocseg,0.2621,1865.788,1
vocseg,0.2935,1836.768,1
vocseg,0.3127,1819.931,1
vocseg,0.3782,1756.691,1
vocseg,0.3893,3539.865,1
vocseg,0.4315,3500.010,1
vocseg,0.4337,3500.305,1
vocseg,0.4458,3490.485,1
vocseg,0.4590,3479.650,1
vocseg,0.4782,3463.276,1
vocseg,0.5264,3417.634,1
vocseg,0.5526,3393.471,1
vocseg,0.5538,3394.515,1
vocseg,0.5678,3383.556,1
vocseg,0.5750,3377.770,1
vocseg,0.5769,3378.944,1
vocseg,0.5887,3368.573,1
vocseg,0.5965,3363.050,1
vocseg,0.5966,3365.029,1
vocseg,0.6104,3354.068,1
vocseg,0.6121,3354.751,1
vocseg,0.6346,3333.857,1
vocseg,0.6394,3331.227,1
vocseg,0.6553,3317.391,1
vocseg,0.6582,3316.708,1
vocseg,0.6973,3279.724,1
vocseg,0.6974,3281.833,1
vocseg,0.7342,3247.184,1
vocseg,0.7371,3246.477,1
vocseg,0.7401,3245.510,1
vocseg,0.7561,3231.729,1
vocseg,0.7683,3221.746,1
vocseg,0.8211,3171.135,1
vocseg,0.8329,3161.400,1
vocseg,0.8359,3160.596,1
vocseg,0.8519,3146.675,1
vocseg,0.8637,4236.996,1
vocseg,0.8776,4225.205,1
vocseg,0.9345,4171.867,1
vocseg,0.9394,4169.277,1
vocseg,0.9481,4162.659,1
vocseg,0.9773,4135.737,1
vocseg,0.9954,4119.811,1
vocseg,0.9982,4119.427,1
vocseg,1.0222,4097.500,1
vocseg,1.0251,4096.857,1
vocseg,1.0438,4080.587,1
vocseg,1.0757,4050.669,1
vocseg,1.0995,4029.105,1
vocseg,1.0996,4031.913,1
vocseg,1.1114,4022.561,1
vocseg,1.1143,4022.099,1
vocseg,1.1213,4017.435,1
vocseg,1.1441,3997.003,1
vocseg,1.1469,3996.787,1
vocseg,1.1909,3955.295,1
vocseg,1.1925,3956.164,1
vocseg,1.1948,3956.276,1
vocseg,1.1973,3956.430,1
vocseg,1.2067,3949.554,1
vocseg,1.2115,3947.042,1
vocseg,1.2232,3937.544,1
vocseg,1.2581,3904.896,1
vocseg,1.2750,3890.206,1
vocseg,1.2751,3892.337,1
vocseg,1.2751,3894.484,1
vocseg,1.2930,3878.793,1
vocseg,1.2948,3879.297,1
vocseg,1.3073,5173.161,1
vocseg,1.3481,5134.426,1
vocseg,1.3610,5123.409,1
vocseg,1.3829,5103.404,1
vocseg,1.3908,5097.591,1
vocseg,1.3996,5091.025,1
vocseg,1.3997,5092.971,1
vocseg,1.4036,5091.171,1
vocseg,1.4037,5093.331,1
vocseg,1.4100,5088.845,1
vocseg,1.4286,5072.176,1
vocseg,1.4305,5072.320,1
vocseg,1.4603,5044.482,1
vocseg,1.4731,5034.505,1
vocseg,1.4881,5020.710,1
vocseg,1.5160,4994.770,1
vocseg,1.5278,4984.892,1
vocseg,1.5427,4972.028,1
vocseg,1.5557,4961.034,1
vocseg,1.5574,4961.438,1
vocseg,1.5600,4960.909,1
vocseg,1.5858,4936.908,1
vocseg,1.6439,4881.106,1
vocseg,1.6469,4879.813,1
vocseg,1.6549,4873.772,1
vocseg,1.6607,4869.869,1
vocseg,1.6776,4854.920,1
vocseg,1.6905,4843.997,1
vocseg,1.6922,4844.273,1
vocseg,1.7489,4789.573,1
vocseg,1.7914,4749.075,1
vocseg,1.8127,4729.702,1
vocseg,1.8256,5843.815,1
vocseg,1.8318,5839.546,1
vocseg,1.8393,5834.010,1
vocseg,1.8463,5829.273,1
vocseg,1.8551,5822.325,1
vocseg,1.8569,5822.527,1
vocseg,1.8874,5793.995,1
vocseg,1.9033,5780.111,1
vocseg,1.9111,5774.391,1
vocseg,1.9319,5755.856,1
vocseg,1.9528,5737.081,1
vocseg,1.9529,5739.117,1
vocseg,1.9568,5738.297,1
vocseg,1.9663,5730.228,1
vocseg,1.9951,5703.567,1
vocseg,2.0240,5677.027,1
vocseg,2.0298,5673.583,1
vocseg,2.0538,5652.003,1
vocseg,2.0539,5654.041,1
vocseg,2.0731,5637.015,1
vocseg,2.0833,5629.227,1
vocseg,2.0887,5626.784,1
vocseg,2.1023,5616.570,1
vocseg,2.1167,5605.488,1
vocseg,2.1632,5562.496,1
vocseg,2.2202,5508.959,1
vocseg,2.2313,5501.481,1
vocseg,2.2593,5476.010,1
vocseg,2.2673,5470.178,1
vocseg,2.2833,5456.271,1
vocseg,2.2874,5454.473,1
vocseg,2.2893,5454.701,1
vocseg,2.3023,6670.275,1
vocseg,2.3093,6665.255,1
vocseg,2.3153,6661.206,1
vocseg,2.3161,6662.945,1
vocseg,2.3183,6662.669,1
vocseg,2.3362,6647.000,1
vocseg,2.3544,6630.741,1
vocseg,2.3654,6621.691,1
vocseg,2.3805,6608.594,1
vocseg,2.3806,6610.514,1
vocseg,2.4095,6583.529,1
vocseg,2.4225,6572.481,1
vocseg,2.4425,6554.538,1
vocseg,2.4445,6554.601,1
vocseg,2.4620,6539.242,1
vocseg,2.4791,6524.140,1
vocseg,2.4862,6519.109,1
vocseg,2.5432,6464.240,1
vocseg,2.5503,6459.327,1
vocseg,2.5871,6424.469,1
vocseg,2.6160,6397.604,1
vocseg,2.6530,6362.653,1
vocseg,2.6628,6354.819,1
vocseg,2.6666,6352.965,1
vocseg,2.6694,6352.315,1
vocseg,2.6921,6331.491,1
vocseg,2.7048,6320.837,1
vocseg,2.8106,6217.023,1
vocseg,2.8106,6218.957,1
vocseg,2.8107,6220.870,1
vocseg,2.8107,6223.686,1
vocseg,2.8108,6225.076,1
vocseg,2.8108,7377.496,1
vocseg,2.8108,7379.425,1
vocseg,2.8222,7369.955,1
vocseg,2.8408,7353.244,1
vocseg,2.8919,7304.219,1
vocseg,2.8970,7300.986,1
vocseg,2.9018,7298.098,1
vocseg,2.9375,7264.385,1
vocseg,2.9464,7257.510,1
vocseg,2.9531,7252.666,1
vocseg,2.9734,7234.362,1
vocseg,2.9805,7230.263,1
vocseg,2.9843,7227.644,1
vocseg,3.0051,7209.067,1
vocseg,3.0190,7197.390,1
vocseg,3.0210,7197.619,1
vocseg,3.0421,7178.767,1
vocseg,3.0438,7179.151,1
vocseg,3.0466,7178.639,1
vocseg,3.0613,7166.168,1
vocseg,3.0661,7163.950,1
vocseg,3.0799,7152.408,1
vocseg,3.1860,7048.558,1
vocseg,3.2358,7000.992,1
vocseg,3.2408,6999.022,1
vocseg,3.2466,6994.494,1
vocseg,3.2674,6975.889,1
vocseg,3.2675,6978.472,1
vocseg,3.2814,6967.338,1
vocseg,3.2853,6965.572,1
vocseg,3.3021,6950.957,1
vocseg,3.3210,6934.372,1
vocseg,3.3398,7948.437,1
vocseg,3.3399,7949.792,1
vocseg,3.3437,7948.107,1
vocseg,3.3761,7917.695,1
vocseg,3.3792,7916.768,1
vocseg,3.3892,7908.782,1
vocseg,3.4201,7880.063,1
vocseg,3.4202,7882.007,1
vocseg,3.4241,7880.376,1
vocseg,3.4416,7864.990,1
vocseg,3.4445,7864.145,1
vocseg,3.4575,7853.191,1
vocseg,3.4873,7825.477,1
vocseg,3.5019,7812.985,1
vocseg,3.5349,7782.163,1
vocseg,3.5410,7777.905,1
vocseg,3.5623,7758.628,1
vocseg,3.5933,7729.840,1
vocseg,3.5985,7726.519,1
vocseg,3.6302,7697.157,1
vocseg,3.6321,7697.252,1
vocseg,3.6458,7685.581,1
vocseg,3.6485,7684.822,1
vocseg,3.6693,7666.281,1
vocseg,3.6822,7655.217,1
vocseg,3.7010,7638.517,1
vocseg,3.7299,7611.640,1
vocseg,3.7417,7602.387,1
vocseg,3.7445,7601.628,1
vocseg,3.7773,7570.974,1
vocseg,3.8232,7528.225,1
vocseg,3.8562,7497.100,1
vocseg,3.8579,8528.969,1
vocseg,3.8853,8503.539,1
vocseg,3.9012,8489.492,1
vocseg,3.9105,8482.126,1
vocseg,3.9128,8481.780,1
vocseg,3.9327,8463.872,1
vocseg,3.9506,8447.962,1
vocseg,3.9550,8445.484,1
vocseg,3.9636,8438.946,1
vocseg,3.9662,8439.113,1
vocseg,4.0108,8395.655,1
vocseg,4.0218,8386.739,1
vocseg,4.0368,8373.604,1
vocseg,4.0519,8360.516,1
vocseg,4.0769,8337.412,1
vocseg,4.0950,8322.241,1
vocseg,4.1000,8318.364,1
vocseg,4.1109,8309.410,1
vocseg,4.1161,8306.450,1
vocseg,4.1257,8298.876,1
vocseg,4.1457,8282.372,1
vocseg,4.1548,8274.132,1
vocseg,4.1702,8261.101,1
vocseg,4.1732,8260.333,1
vocseg,4.1851,8250.733,1
vocseg,4.2042,8233.799,1
vocseg,4.2213,8218.838,1
vocseg,4.2303,8211.957,1
vocseg,4.2334,8211.165,1
vocseg,4.2821,8164.596,1
vocseg,4.2981,8150.753,1
vocseg,4.3093,8141.943,1
vocseg,4.3123,9300.470,1
vocseg,4.3336,9281.434,1
vocseg,4.3486,9268.456,1
vocseg,4.3526,9267.722,1
vocseg,4.3527,9269.649,1
vocseg,4.3653,9259.132,1
vocseg,4.3683,9257.581,1
vocseg,4.3775,9250.449,1
vocseg,4.3964,9233.655,1
vocseg,4.4152,9216.860,1
vocseg,4.4170,9217.115,1
vocseg,4.4238,9212.328,1
vocseg,4.4594,9178.667,1
vocseg,4.4642,9175.835,1
vocseg,4.4719,9170.026,1
vocseg,4.4808,9163.061,1
vocseg,4.4809,9165.792,1
vocseg,4.5021,9145.947,1
vocseg,4.5032,9146.780,1
vocseg,4.5080,9143.957,1
vocseg,4.5128,9141.163,1
vocseg,4.5265,9129.430,1
vocseg,4.5333,9124.671,1
vocseg,4.5535,9106.354,1
vocseg,4.5775,9084.460,1
vocseg,4.5803,9083.595,1
vocseg,4.5840,9081.948,1
vocseg,4.5997,9068.165,1
vocseg,4.6255,9044.324,1
vocseg,4.6765,8995.311,1
vocseg,4.6803,8993.441,1
vocseg,4.7101,8965.621,1
vocseg,4.7129,10070.913,1
vocseg,4.7206,10065.195,1
vocseg,4.7474,10040.444,1
vocseg,4.7522,10037.609,1
vocseg,4.7549,10036.865,1
vocseg,4.7550,10038.784,1
vocseg,4.7721,10023.787,1
vocseg,4.7849,10012.883,1
vocseg,4.8469,9952.899,1
vocseg,4.8567,9945.091,1
vocseg,4.8607,9943.555,1
vocseg,4.8679,9937.954,1
vocseg,4.8696,9938.243,1
vocseg,4.8871,9922.876,1
vocseg,4.9079,9904.105,1
vocseg,4.9121,9901.900,1
vocseg,4.9170,9899.006,1
vocseg,4.9187,9899.298,1
vocseg,4.9203,9899.944,1
vocseg,4.9290,9893.405,1
vocseg,4.9407,9883.887,1
vocseg,4.9425,9884.313,1
vocseg,4.9590,9870.016,1
vocseg,4.9649,9866.241,1
vocseg,4.9788,9854.712,1
vocseg,4.9916,9844.073,1
vocseg,5.0175,9820.501,1
vocseg,5.0504,9789.807,1
vocseg,5.0812,9761.166,1
vocseg,5.0881,9756.485,1
vocseg,5.1041,9742.947,1
vocseg,5.1064,9742.909,1
vocseg,5.1164,10921.988,1
vocseg,5.1230,10917.274,1
vocseg,5.1298,10913.399,1
vocseg,5.1536,10891.600,1
vocseg,5.1933,10853.086,1
vocseg,5.1993,10849.535,1
vocseg,5.2273,10823.677,1
vocseg,5.2366,10816.523,1
vocseg,5.2415,10813.620,1
vocseg,5.2495,10807.658,1
vocseg,5.2555,10803.639,1
vocseg,5.2575,10803.549,1
vocseg,5.2586,10804.490,1
vocseg,5.2587,10806.389,1
vocseg,5.2802,10786.865,1
vocseg,5.2928,10777.103,1
vocseg,5.2998,10771.290,1
vocseg,5.3108,10762.297,1
vocseg,5.3818,10693.251,1
vocseg,5.3908,10686.250,1
vocseg,5.3948,10684.215,1
vocseg,5.4148,10666.257,1
vocseg,5.4168,10666.303,1
vocseg,5.4316,10653.436,1
vocseg,5.4406,10646.445,1
vocseg,5.4529,10636.220,1
vocseg,5.4583,10632.761,1
vocseg,5.4662,10626.834,1
vocseg,5.4902,10604.861,1
vocseg,5.4914,10605.833,1
vocseg,5.5176,10581.426,1
vocseg,5.5466,10554.440,1
vocseg,5.5540,11734.355,1
vocseg,5.5751,11715.282,1
vocseg,5.5909,11702.116,1
vocseg,5.6037,11690.682,1
vocseg,5.6266,11669.753,1
vocseg,5.6335,11664.809,1
vocseg,5.6639,11637.142,1
vocseg,5.7038,11598.447,1
vocseg,5.7213,11582.882,1
vocseg,5.7233,11582.945,1
vocseg,5.7252,11582.867,1
vocseg,5.7324,11577.801,1
vocseg,5.7332,11579.225,1
vocseg,5.7417,11572.453,1
vocseg,5.7815,11534.533,1
vocseg,5.8054,11512.627,1
vocseg,5.8072,11512.842,1
vocseg,5.8107,11511.300,1
vocseg,5.8290,11495.093,1
vocseg,5.8798,11447.090,1
vocseg,5.9017,11426.715,1
vocseg,5.9034,11427.151,1
vocseg,5.9121,11420.646,1
vocseg,5.9377,11397.155,1
vocseg,5.9536,11383.559,1
vocseg,5.9594,11379.968,1
vocseg,6.0595,11282.229,1
vocseg,6.0805,11263.762,1
vocseg,6.0923,11254.123,1
vocseg,6.1101,11238.557,1
vocseg,6.1138,11236.957,1
vocseg,6.1449,11208.890,1
vocseg,6.1571,12310.836,1
vocseg,6.1764,12293.504,1
vocseg,6.2629,12208.929,1
vocseg,6.2749,12198.991,1
vocseg,6.2866,12190.668,1
vocseg,6.2985,12179.531,1
vocseg,6.3053,12174.698,1
vocseg,6.3191,12162.901,1
vocseg,6.3209,12163.143,1
vocseg,6.3533,12132.728,1
vocseg,6.4280,12060.033,1
vocseg,6.4399,12050.155,1
vocseg,6.4400,12052.063,1
vocseg,6.4450,12049.032,1
vocseg,6.4451,12050.945,1
vocseg,6.4488,12049.247,1
vocseg,6.4875,12012.601,1
vocseg,6.4959,12006.150,1
vocseg,6.5068,11997.175,1
vocseg,6.5199,11986.042,1
vocseg,6.5239,11984.118,1
vocseg,6.5566,11953.398,1
vocseg,6.5726,11939.373,1
vocseg,6.5897,11925.100,1
vocseg,6.6027,11913.355,1
vocseg,6.6227,11895.537,1
vocseg,6.6316,11888.529,1
vocseg,6.6567,11865.450,1
vocseg,6.6717,11852.453,1
vocseg,6.6718,11854.283,1
vocseg,6.6733,11854.810,1
vocseg,6.6801,11849.984,1
vocseg,6.6810,12908.527,1
vocseg,6.6828,12907.832,1
vocseg,6.6897,12902.865,1
vocseg,6.6962,12899.227,1
vocseg,6.7132,12883.448,1
vocseg,6.7182,12880.275,1
vocseg,6.7233,12877.167,1
vocseg,6.7303,12872.860,1
vocseg,6.7312,12873.407,1
vocseg,6.7481,12858.423,1
vocseg,6.7709,12837.683,1
vocseg,6.8290,12781.462,1
vocseg,6.8540,12758.400,1
vocseg,6.8601,12754.256,1
vocseg,6.8851,12731.299,1
vocseg,6.9691,12649.175,1
vocseg,6.9732,12647.229,1
vocseg,7.0263,12596.073,1
vocseg,7.0333,12591.164,1
vocseg,7.0348,12591.608,1
vocseg,7.0349,12593.666,1
vocseg,7.0390,12591.717,1
vocseg,7.0568,12576.145,1
vocseg,7.0777,12557.385,1
vocseg,7.0985,12538.879,1
vocseg,7.1054,12534.077,1
vocseg,7.1192,12522.754,1
vocseg,7.1400,12503.974,1
vocseg,7.1528,12493.318,1
vocseg,7.1627,12485.656,1
vocseg,7.1674,12483.047,1
vocseg,7.1752,12477.480,1
vocseg,7.1991,13609.544,1
vocseg,7.2129,13597.349,1
vocseg,7.2158,13596.918,1
vocseg,7.2205,13594.279,1
vocseg,7.2462,13571.028,1
vocseg,7.2860,13533.237,1
vocseg,7.2918,13529.422,1
vocseg,7.3007,13522.454,1
vocseg,7.3009,13525.009,1
vocseg,7.3050,13522.337,1
vocseg,7.3219,13507.461,1
vocseg,7.3888,13442.736,1
vocseg,7.4046,13428.744,1
vocseg,7.4174,13417.983,1
vocseg,7.4433,13394.017,1
vocseg,7.4481,13391.288,1
vocseg,7.4618,13379.801,1
vocseg,7.4699,13374.327,1
vocseg,7.4776,13369.162,1
vocseg,7.4815,13367.195,1
vocseg,7.4910,13359.673,1
vocseg,7.5028,13349.809,1
vocseg,7.5352,13319.443,1
vocseg,7.5860,13270.636,1
vocseg,7.5870,13271.596,1
vocseg,7.5897,13271.005,1
vocseg,7.6193,13243.226,1
vocseg,7.6322,13232.322,1
vocseg,7.6560,13210.485,1
vocseg,7.6578,13210.979,1
vocseg,7.6605,13210.107,1
vocseg,7.6745,13198.865,1
vocseg,7.6834,14273.418,1
vocseg,7.6943,14264.504,1
vocseg,7.7314,14229.491,1
vocseg,7.7542,14208.566,1
vocseg,7.7623,14202.538,1
vocseg,7.8004,14166.444,1
vocseg,7.8114,14158.272,1
vocseg,7.8335,14137.535,1
vocseg,7.8556,14117.502,1
vocseg,7.8626,14112.447,1
vocseg,7.8806,14096.517,1
vocseg,7.9216,14057.456,1
vocseg,7.9597,14021.319,1
vocseg,7.9747,14008.284,1
vocseg,7.9787,14006.270,1
vocseg,7.9846,14002.407,1
vocseg,8.0096,13979.448,1
vocseg,8.0226,13968.393,1
vocseg,8.0348,13958.303,1
vocseg,8.0358,13959.572,1
vocseg,8.0409,13957.026,1
vocseg,8.0608,13939.588,1
vocseg,8.0648,13937.538,1
vocseg,8.0668,13937.509,1
vocseg,8.0737,13932.620,1
vocseg,8.0939,13914.513,1
vocseg,8.1140,13896.552,1
vocseg,8.1269,13885.847,1
vocseg,8.1379,13877.256,1
vocseg,8.1709,13846.440,1
vocseg,8.2020,13817.562,1
vocseg,8.2118,13809.960,1
vocseg,8.2471,15035.504,1
vocseg,8.2868,14997.868,1
vocseg,8.3050,14981.621,1
vocseg,8.3135,14975.202,1
vocseg,8.3266,14964.005,1
vocseg,8.3318,14960.770,1
vocseg,8.3634,14931.245,1
vocseg,8.3725,14924.094,1
vocseg,8.3970,14901.672,1
vocseg,8.4212,14879.429,1
vocseg,8.4231,14879.451,1
vocseg,8.4558,14848.784,1
vocseg,8.4586,14847.840,1
vocseg,8.4643,14844.208,1
vocseg,8.4778,14832.570,1
vocseg,8.4923,14820.112,1
vocseg,8.5004,14814.029,1
vocseg,8.5082,14808.330,1
vocseg,8.5311,14787.477,1
vocseg,8.5440,14776.493,1
vocseg,8.5649,14757.600,1
vocseg,8.5988,14725.721,1
vocseg,8.6086,14717.828,1
vocseg,8.6204,14708.856,1
vocseg,8.6272,14703.439,1
vocseg,8.6330,14699.660,1
vocseg,8.6649,14669.789,1
vocseg,8.6666,14670.058,1
vocseg,8.6874,14652.275,1
vocseg,8.6962,14645.387,1
vocseg,8.7060,14637.057,1
vocseg,8.7520,14593.081,1
vocseg,8.7590,15672.543,1
vocseg,8.7680,15665.675,1
vocseg,8.7718,15664.027,1
vocseg,8.7810,15657.077,1
vocseg,8.7850,15655.365,1
vocseg,8.8007,15641.538,1
vocseg,8.8065,15637.754,1
vocseg,8.8163,15630.145,1
vocseg,8.8581,15590.184,1
vocseg,8.9320,15518.300,1
vocseg,8.9340,15518.308,1
vocseg,8.9688,15485.483,1
vocseg,8.9689,15487.302,1
vocseg,8.9821,15476.022,1
vocseg,9.0336,15426.461,1
vocseg,9.0481,15413.970,1
vocseg,9.0911,15373.761,1
vocseg,9.1121,15353.953,1
vocseg,9.1232,15344.800,1
vocseg,9.1382,15331.730,1
vocseg,9.1532,15319.473,1
vocseg,9.1743,15299.607,1
vocseg,9.1853,15290.498,1
vocseg,9.1943,15283.424,1
vocseg,9.2613,15218.463,1
vocseg,9.2673,15214.448,1
vocseg,9.2733,15210.443,1
vocseg,9.2823,15203.466,1
vocseg,9.2933,15194.453,1
vocseg,9.2962,15194.199,1
vocseg,9.3011,15191.163,1
vocseg,9.3020,15192.432,1
vocseg,9.3069,16249.393,1
