task,send_time_s,latency_ms,phase
nyudepth,0.0002,517.605,1
nyudepth,0.4810,57.276,1
nyudepth,0.9486,20.760,1
nyudepth,1.4254,21.997,1
nyudepth,1.4812,24.366,1
nyudepth,1.4988,28.068,1
nyudepth,1.7893,21.759,1
nyudepth,2.0712,20.967,1
nyudepth,2.6966,23.144,1
nyudepth,2.7122,26.993,1
nyudepth,2.9218,23.741,1
nyudepth,2.9366,28.332,1
nyudepth,3.1530,20.326,1
nyudepth,3.4997,22.175,1
nyudepth,3.5773,27.855,1
nyudepth,3.8234,23.373,1
nyudepth,3.8539,21.168,1
nyudepth,3.8734,20.795,1
nyudepth,3.9352,23.745,1
nyudepth,4.1155,20.161,1
nyudepth,4.1981,23.673,1
nyudepth,4.4479,22.786,1
nyudepth,4.4937,21.830,1
nyudepth,4.8612,26.508,1
nyudepth,5.1059,24.065,1
nyudepth,5.2364,23.506,1
nyudepth,5.3196,27.293,1
nyudepth,5.4108,22.365,1
nyudepth,5.4259,35.199,1
nyudepth,5.4622,22.485,1
nyudepth,5.5991,28.279,1
nyudepth,5.6764,23.803,1
nyudepth,5.9293,23.296,1
nyudepth,6.0718,25.047,1
nyudepth,6.1187,20.349,1
nyudepth,6.2112,25.343,1
nyudepth,6.3391,20.311,1
nyudepth,6.4086,20.285,1
nyudepth,6.4725,24.302,1
nyudepth,6.6486,20.944,1
nyudepth,6.7076,28.257,1
nyudepth,6.9741,20.701,1
nyudepth,7.2531,21.471,1
nyudepth,7.4697,24.816,1
nyudepth,7.4846,30.957,1
nyudepth,7.7114,23.008,1
nyudepth,7.9818,20.381,1
nyudepth,8.2062,23.211,1
nyudepth,8.2624,19.737,1
nyudepth,8.3266,22.947,1
nyudepth,8.3597,23.438,1
nyudepth,8.4308,24.418,1
nyudepth,8.4347,38.956,1
nyudepth,8.4677,27.692,1
nyudepth,8.7311,23.803,1
nyudepth,9.5307,23.179,1
nyudepth,9.6432,21.215,1
nyudepth,9.7009,24.361,1
nyudepth,9.7790,22.841,1
nyudepth,9.8519,24.302,1
nyudepth,9.8773,20.652,1
nyudepth,10.0945,25.197,1
nyudepth,10.3708,26.788,1
nyudepth,10.6707,24.340,1
nyudepth,11.7332,22.204,1
nyudepth,12.1556,21.829,1
nyudepth,12.4830,24.801,1
nyudepth,12.6921,22.315,1
nyudepth,12.8110,22.763,1
nyudepth,12.8198,39.757,1
nyudepth,13.0111,22.769,1
nyudepth,13.1349,21.570,1
nyudepth,13.4367,21.850,1
nyudepth,13.8417,19.727,1
nyudepth,13.9084,24.498,1
nyudepth,13.9184,33.321,1
nyudepth,14.1032,23.312,1
nyudepth,14.6145,23.084,1
nyudepth,14.7786,19.828,1
nyudepth,15.2049,25.085,1
nyudepth,15.3550,23.512,1
nyudepth,15.6181,23.913,1
nyudepth,15.6758,22.522,1
nyudepth,15.7025,19.464,1
nyudepth,15.7307,21.261,1
nyudepth,15.7543,21.408,1
nyudepth,15.7660,30.463,1
nyudepth,16.1087,31.061,1
nyudepth,16.1982,29.546,1
nyudepth,16.2754,29.379,1
nyudepth,16.4625,22.959,1
nyudepth,16.5006,22.565,1
nyudepth,16.8835,23.484,1
nyudepth,17.1421,22.384,1
nyudepth,17.2081,21.209,1
nyudepth,17.2487,21.662,1
nyudepth,17.3542,21.583,1
nyudepth,17.4160,24.453,1
nyudepth,17.4310,34.789,1
nyudepth,17.5312,25.869,1
nyudepth,17.9816,27.054,1
nyudepth,18.1839,28.066,1
nyudepth,18.8000,22.158,1
nyudepth,19.2088,23.209,1
nyudepth,19.4324,19.722,1
nyudepth,19.8034,29.118,1
nyudepth,19.9480,19.968,1
nyudepth,20.1629,24.162,1
nyudepth,20.2378,22.830,1
nyudepth,20.2818,25.510,1
nyudepth,20.7115,30.372,1
nyudepth,20.7390,27.569,1
nyudepth,20.7764,23.425,1
nyudepth,20.8388,21.915,1
nyudepth,21.0316,24.224,1
nyudepth,21.1144,23.501,1
nyudepth,21.2519,20.590,1
