task,has_adapter,n_requests,throughput_rps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
ecgclass,1,223,4.0545,247.295,247.168,252.128,256.963
ecgclass__app1,1,223,4.0545,247.302,247.123,251.433,254.238
ecgclass__app2,1,223,4.0545,247.306,247.143,252.096,254.426
ecgclass__app3,1,223,4.0545,247.297,247.137,251.955,255.09
ecgclass__app4,1,223,4.0545,247.299,247.233,251.49,255.485
ecgclass__app5,1,223,4.0545,247.31,247.013,252.127,255.685
ecgclass__app6,1,223,4.0545,247.308,247.239,251.789,254.317
ecgclass__app7,1,223,4.0545,247.312,247.098,251.514,253.854
ecgclass__app8,1,223,4.0545,247.301,247.244,252.133,254.316
ecgclass__app9,1,223,4.0545,247.28,247.087,251.106,254.474
