task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,407.032,403.373,0,1
ecgclass__app1,0.0004,550.118,162.096,0,1
ecgclass__app2,0.0004,554.215,166.612,0,1
ecgclass__app3,0.0005,557.829,170.302,0,1
ecgclass__app4,0.0006,560.983,173.551,0,1
ecgclass__app5,0.0006,568.724,181.349,0,1
ecgclass__app6,0.0007,572.038,184.716,0,0
ecgclass__app7,0.0008,574.964,187.732,0,0
ecgclass__app8,0.0020,576.878,190.836,0,0
ecgclass__app9,0.0021,584.889,198.925,0,0
ecgclass__app6,0.5727,181.624,171.081,0,0
ecgclass__app4,0.5616,192.935,171.284,0,1
ecgclass__app2,0.5547,200.220,171.610,0,1
ecgclass__app1,0.5505,204.506,172.196,0,1
ecgclass__app3,0.5584,197.418,172.703,0,1
ecgclass__app7,0.5757,180.309,172.776,0,0
ecgclass__app5,0.5694,186.983,172.862,0,1
ecgclass,0.4073,349.168,172.954,0,1
ecgclass__app8,0.5788,177.973,173.312,0,0
ecgclass__app9,0.5870,200.566,39.953,0,0
ecgclass__app4,0.7545,202.006,172.703,0,1
ecgclass__app5,0.7564,201.542,173.346,0,1
ecgclass__app7,0.7561,201.965,173.711,0,0
ecgclass__app1,0.7550,203.310,173.753,0,1
ecgclass__app8,0.7568,201.601,173.845,0,0
ecgclass__app2,0.7549,203.876,173.875,0,1
ecgclass,0.7565,202.517,173.907,0,1
ecgclass__app3,0.7558,203.346,174.988,0,1
ecgclass__app6,0.7544,204.943,175.235,0,0
ecgclass__app9,0.7876,201.684,38.936,0,0
ecgclass__app5,0.9579,202.154,174.038,0,1
ecgclass,0.9590,201.257,174.186,0,1
ecgclass__app7,0.9580,202.468,174.263,0,0
ecgclass__app1,0.9583,202.297,174.371,0,1
ecgclass__app8,0.9584,202.557,175.182,0,0
ecgclass__app6,0.9593,201.734,175.386,0,0
ecgclass__app2,0.9588,202.505,175.449,0,1
ecgclass__app4,0.9565,204.984,175.538,0,1
ecgclass__app3,0.9591,202.612,176.372,0,1
ecgclass__app9,0.9893,202.904,39.479,0,0
