task,send_elapsed_s,latency_ms,server_exec_ms,worker_id,has_adapter
ecgclass,0.0002,365.995,361.855,0,0
ecgclass__app2,0.0004,455.656,110.586,0,0
ecgclass__app1,0.0003,456.448,110.913,0,0
ecgclass__app3,0.0005,456.722,111.406,0,0
ecgclass__app4,0.0006,457.464,112.473,0,0
ecgclass__app5,0.0007,457.772,112.876,0,0
ecgclass__app7,0.0008,458.228,113.436,0,0
ecgclass__app6,0.0008,458.748,113.831,0,0
ecgclass__app8,0.0021,457.660,114.251,0,0
ecgclass__app9,0.0022,458.219,115.170,0,0
ecgclass,0.3662,118.787,30.079,0,0
ecgclass__app7,0.4591,132.023,106.683,0,0
ecgclass__app6,0.4595,132.633,107.059,0,0
ecgclass__app8,0.4598,132.467,107.189,0,0
ecgclass__app4,0.4580,134.604,107.632,0,0
ecgclass__app3,0.4572,136.364,108.801,0,0
ecgclass__app9,0.4605,133.449,109.071,0,0
ecgclass__app1,0.4568,137.457,109.260,0,0
ecgclass__app5,0.4584,135.896,109.370,0,0
ecgclass__app2,0.4561,138.408,109.717,0,0
ecgclass,0.4850,135.426,31.575,0,0
ecgclass__app3,0.5936,132.890,106.688,0,0
ecgclass__app9,0.5939,133.005,106.990,0,0
ecgclass__app2,0.5945,132.625,107.107,0,0
ecgclass__app6,0.5922,135.306,107.278,0,0
ecgclass__app8,0.5923,135.628,107.660,0,0
ecgclass__app1,0.5943,133.711,107.751,0,0
ecgclass__app5,0.5943,134.523,108.804,0,0
ecgclass__app4,0.5926,136.916,109.722,0,0
ecgclass__app7,0.5911,138.551,109.761,0,0
ecgclass,0.6205,133.857,30.957,0,0
ecgclass__app7,0.7297,131.290,106.557,0,0
ecgclass__app9,0.7270,134.220,106.747,0,0
ecgclass__app1,0.7280,133.840,106.922,0,0
ecgclass__app6,0.7275,134.447,107.082,0,0
ecgclass__app4,0.7296,132.444,107.175,0,0
ecgclass__app8,0.7279,134.502,107.588,0,0
ecgclass__app2,0.7272,135.642,107.676,0,0
ecgclass__app5,0.7289,134.134,107.769,0,0
ecgclass__app3,0.7265,136.595,107.828,0,0
ecgclass,0.7543,134.410,31.624,0,0
ecgclass__app4,0.8620,131.706,105.658,0,0
ecgclass__app8,0.8624,131.770,105.953,0,0
ecgclass__app2,0.8628,132.398,106.803,0,0
ecgclass__app1,0.8618,133.469,107.045,0,0
ecgclass__app3,0.8631,133.426,107.976,0,0
ecgclass__app6,0.8619,134.829,108.034,0,0
ecgclass__app5,0.8630,133.837,108.098,0,0
ecgclass__app9,0.8612,136.172,109.333,0,0
ecgclass__app7,0.8610,136.635,109.546,0,0
ecgclass,0.8888,137.055,34.069,0,0
ecgclass__app9,0.9974,134.475,106.585,0,0
ecgclass__app4,0.9938,139.405,107.155,0,0
ecgclass__app6,0.9968,136.695,107.400,0,0
ecgclass__app1,0.9953,138.583,107.642,0,0
ecgclass__app3,0.9966,137.427,108.014,0,0
ecgclass__app7,0.9976,136.581,108.057,0,0
ecgclass__app8,0.9942,140.089,108.142,0,0
ecgclass__app5,0.9969,137.613,108.322,0,0
ecgclass__app2,0.9952,141.124,111.623,0,0
ecgclass,1.0258,137.740,35.578,0,0
ecgclass__app6,1.1335,137.327,107.498,0,0
ecgclass__app9,1.1319,139.110,107.545,0,0
ecgclass__app4,1.1332,138.064,107.653,0,0
ecgclass__app1,1.1339,137.761,108.176,0,0
ecgclass__app5,1.1345,137.269,108.303,0,0
ecgclass__app7,1.1342,137.565,108.345,0,0
ecgclass__app2,1.1364,135.752,108.455,0,0
ecgclass__app8,1.1343,138.065,108.494,0,0
ecgclass__app3,1.1340,138.449,108.782,0,0
ecgclass,1.1636,134.086,30.987,0,0
ecgclass__app6,1.2708,132.661,106.437,0,0
ecgclass__app9,1.2710,133.440,106.683,0,0
ecgclass__app4,1.2713,133.556,107.149,0,0
ecgclass__app2,1.2721,132.888,107.330,0,0
ecgclass__app7,1.2718,133.472,107.411,0,0
ecgclass__app1,1.2717,133.658,107.851,0,0
ecgclass__app8,1.2724,133.170,108.503,0,0
ecgclass__app3,1.2724,133.343,108.608,0,0
ecgclass__app5,1.2718,134.969,109.750,0,0
ecgclass,1.2977,134.582,31.312,0,0
ecgclass__app4,1.4048,133.694,106.732,0,0
ecgclass__app3,1.4058,133.245,107.380,0,0
ecgclass__app6,1.4035,136.361,107.780,0,0
ecgclass__app7,1.4053,134.889,107.863,0,0
ecgclass__app5,1.4067,133.527,107.946,0,0
ecgclass__app2,1.4050,135.571,108.137,0,0
ecgclass__app9,1.4044,136.241,108.203,0,0
ecgclass__app8,1.4056,135.172,108.294,0,0
ecgclass__app1,1.4054,136.063,109.719,0,0
ecgclass,1.4323,134.463,31.482,0,0
ecgclass__app5,1.5403,131.327,104.981,0,0
ecgclass__app6,1.5399,131.870,105.087,0,0
ecgclass__app2,1.5406,131.440,105.193,0,0
ecgclass__app4,1.5385,133.723,105.271,0,0
ecgclass__app3,1.5390,133.576,106.179,0,0
ecgclass__app1,1.5414,131.273,106.278,0,0
ecgclass__app8,1.5407,132.185,106.378,0,0
ecgclass__app7,1.5402,134.115,108.026,0,0
ecgclass__app9,1.5407,133.913,108.312,0,0
ecgclass,1.5668,133.641,31.103,0,0
ecgclass__app2,1.6721,134.378,106.490,0,0
ecgclass__app9,1.6746,132.242,106.834,0,0
ecgclass__app7,1.6743,133.830,107.737,0,0
ecgclass__app8,1.6729,135.616,108.101,0,0
ecgclass__app4,1.6723,136.544,108.244,0,0
ecgclass__app3,1.6726,136.245,108.292,0,0
ecgclass__app1,1.6727,136.446,108.318,0,0
ecgclass__app5,1.6716,137.583,108.757,0,0
ecgclass__app6,1.6718,137.714,109.641,0,0
ecgclass,1.7004,135.074,32.263,0,0
ecgclass__app4,1.8088,133.874,107.661,0,0
ecgclass__app6,1.8095,133.720,108.466,0,0
ecgclass__app2,1.8065,137.339,108.671,0,0
ecgclass__app9,1.8069,137.145,108.760,0,0
ecgclass__app8,1.8086,135.661,108.967,0,0
ecgclass__app1,1.8092,135.665,109.686,0,0
ecgclass__app7,1.8082,136.854,109.773,0,0
ecgclass__app5,1.8092,136.194,110.375,0,0
ecgclass__app3,1.8089,136.621,110.413,0,0
ecgclass,1.8355,135.052,31.719,0,0
ecgclass__app2,1.9438,133.104,106.947,0,0
ecgclass__app7,1.9450,132.528,107.357,0,0
ecgclass__app9,1.9440,133.852,107.504,0,0
ecgclass__app5,1.9454,132.672,107.533,0,0
