task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass__app3,0.0005,477.477,473.908,0
ecgclass__app4,0.0005,493.332,489.563,0
ecgclass__app3,0.4780,204.284,202.486,0
ecgclass__app4,0.4939,211.722,209.937,0
ecgclass__app5,0.0006,713.463,710.063,0
ecgclass,0.0002,714.805,711.654,0
ecgclass__app1,0.0003,725.390,721.549,0
ecgclass__app2,0.0004,732.084,728.944,0
ecgclass__app3,0.6823,191.833,190.392,0
ecgclass__app4,0.7056,207.753,206.035,0
ecgclass,0.7150,214.771,213.024,0
ecgclass__app5,0.7141,217.442,214.777,0
ecgclass__app1,0.7257,214.687,212.839,0
ecgclass__app2,0.7325,215.066,213.453,0
ecgclass__app3,0.8741,217.391,215.871,0
ecgclass__app4,0.9134,217.242,215.896,0
ecgclass__app5,0.9315,221.353,219.865,0
ecgclass,0.9298,223.680,221.622,0
ecgclass__app1,0.9404,219.547,218.085,0
ecgclass__app2,0.9476,217.761,216.434,0
ecgclass__app3,1.0915,214.440,212.945,0
ecgclass__app4,1.1307,219.403,217.962,0
ecgclass__app5,1.1529,222.151,220.431,0
ecgclass,1.1535,221.719,220.207,0
ecgclass__app1,1.1600,222.886,221.447,0
ecgclass__app2,1.1654,220.309,219.041,0
ecgclass__app3,1.3060,220.929,219.446,0
ecgclass__app4,1.3501,220.736,219.070,0
ecgclass__app5,1.3751,220.346,218.688,0
ecgclass,1.3752,220.808,219.173,0
ecgclass__app2,1.3857,217.004,214.930,0
ecgclass__app1,1.3829,220.034,218.427,0
ecgclass__app3,1.5270,214.650,213.121,0
ecgclass__app4,1.5708,215.240,213.675,0
ecgclass__app5,1.5954,215.310,213.317,0
ecgclass,1.5960,220.584,218.981,0
ecgclass__app2,1.6027,219.631,218.178,0
ecgclass__app1,1.6030,220.267,218.983,0
ecgclass__app3,1.7416,217.873,216.337,0
ecgclass__app4,1.7861,217.433,215.754,0
ecgclass__app5,1.8108,215.489,214.054,0
ecgclass,1.8167,219.029,217.522,0
ecgclass__app2,1.8224,216.105,214.771,0
ecgclass__app1,1.8232,219.668,218.358,0
ecgclass__app3,1.9595,221.357,219.805,0
ecgclass__app4,2.0036,221.087,219.473,0
ecgclass__app5,2.0263,213.027,211.574,0
ecgclass__app2,2.0385,217.453,215.992,0
ecgclass,2.0357,221.153,219.743,0
ecgclass__app1,2.0429,222.028,220.704,0
ecgclass__app3,2.1809,218.574,216.933,0
ecgclass__app4,2.2247,215.879,214.384,0
ecgclass__app5,2.2393,215.208,213.878,0
ecgclass__app2,2.2559,215.137,213.568,0
ecgclass,2.2569,219.266,217.811,0
ecgclass__app1,2.2650,218.343,216.864,0
ecgclass__app3,2.3995,218.597,216.862,0
ecgclass__app4,2.4406,214.835,213.373,0
ecgclass__app5,2.4546,212.190,210.903,0
ecgclass__app2,2.4711,216.326,214.799,0
ecgclass,2.4762,217.144,215.708,0
ecgclass__app1,2.4833,217.428,216.105,0
ecgclass__app3,2.6181,218.998,217.448,0
ecgclass__app4,2.6554,220.793,218.983,0
ecgclass__app5,2.6668,217.306,216.009,0
ecgclass__app2,2.6874,217.817,216.419,0
ecgclass,2.6933,219.072,217.734,0
ecgclass__app1,2.7008,220.620,219.218,0
ecgclass__app3,2.8371,213.037,211.661,0
ecgclass__app4,2.8762,218.283,216.642,0
ecgclass__app5,2.8841,218.071,216.552,0
ecgclass__app2,2.9053,217.736,216.150,0
ecgclass,2.9124,213.040,211.667,0
ecgclass__app1,2.9214,216.418,214.892,0
ecgclass__app3,3.0502,212.551,211.212,0
ecgclass__app4,3.0945,216.780,215.168,0
ecgclass__app5,3.1022,215.509,214.132,0
ecgclass__app2,3.1230,218.136,216.606,0
ecgclass,3.1255,220.323,218.866,0
ecgclass__app1,3.1379,218.814,217.250,0
ecgclass__app3,3.2628,214.867,213.513,0
ecgclass__app4,3.3113,219.121,217.582,0
ecgclass__app5,3.3177,213.019,211.459,0
ecgclass__app2,3.3412,213.298,211.745,0
ecgclass,3.3458,216.444,215.018,0
