task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass,0.0002,411.226,408.985,0
ecgclass__app1,0.0003,522.658,130.973,0
ecgclass__app2,0.0004,529.543,138.014,0
ecgclass__app3,0.0005,537.139,145.597,0
ecgclass__app4,0.0005,537.535,146.132,0
ecgclass__app5,0.0006,537.965,146.709,0
ecgclass__app1,0.5230,100.366,90.308,0
ecgclass,0.4114,212.383,90.842,0
ecgclass__app2,0.5300,93.935,90.869,0
ecgclass__app3,0.5376,169.563,88.320,0
ecgclass__app4,0.5381,169.703,89.100,0
ecgclass__app5,0.5386,169.467,89.204,0
ecgclass,0.6238,167.484,88.338,0
ecgclass__app1,0.6234,168.379,88.624,0
ecgclass__app2,0.6239,168.000,88.732,0
ecgclass__app4,0.7078,167.973,88.866,0
ecgclass__app5,0.7081,167.848,88.983,0
ecgclass__app3,0.7072,169.065,89.546,0
ecgclass__app1,0.7918,167.419,88.346,0
ecgclass__app2,0.7919,167.479,88.444,0
ecgclass,0.7913,168.481,89.215,0
ecgclass__app4,0.8758,167.948,88.815,0
ecgclass__app5,0.8759,167.963,88.896,0
ecgclass__app3,0.8763,167.834,89.028,0
ecgclass,0.9598,167.537,88.206,0
ecgclass__app2,0.9594,168.386,88.533,0
ecgclass__app1,0.9593,168.896,89.062,0
ecgclass__app3,1.0442,167.030,88.121,0
ecgclass__app4,1.0438,167.893,88.414,0
ecgclass__app5,1.0439,167.888,88.541,0
ecgclass__app1,1.1282,167.342,88.793,0
ecgclass,1.1274,168.242,88.886,0
ecgclass__app2,1.1278,168.149,89.533,0
ecgclass__app4,1.2117,167.535,88.529,0
ecgclass__app5,1.2118,167.997,89.192,0
ecgclass__app3,1.2112,168.676,89.292,0
ecgclass__app2,1.2960,166.554,88.257,0
ecgclass__app1,1.2955,167.401,88.681,0
ecgclass,1.2957,167.530,88.945,0
ecgclass__app4,1.3792,167.194,88.772,0
ecgclass__app5,1.3798,166.964,89.088,0
ecgclass__app3,1.3799,167.246,89.685,0
ecgclass__app1,1.4629,167.609,88.559,0
ecgclass__app2,1.4626,168.417,89.277,0
ecgclass,1.4632,168.093,89.533,0
ecgclass__app5,1.5468,167.674,88.439,0
ecgclass__app3,1.5471,167.721,88.714,0
ecgclass__app4,1.5464,168.518,88.926,0
ecgclass__app1,1.6306,167.053,87.604,0
ecgclass,1.6313,166.992,88.362,0
ecgclass__app2,1.6310,167.392,88.395,0
ecgclass__app4,1.7150,166.358,88.253,0
ecgclass__app3,1.7149,166.923,88.897,0
ecgclass__app5,1.7145,167.917,89.497,0
ecgclass,1.7983,166.637,88.134,0
ecgclass__app2,1.7984,166.925,88.529,0
ecgclass__app1,1.7976,167.950,88.932,0
ecgclass__app5,1.8824,169.491,91.592,0
ecgclass__app3,1.8818,170.270,91.677,0
ecgclass__app4,1.8813,171.155,92.296,0
ecgclass__app1,1.9656,175.241,93.945,0
ecgclass,1.9650,176.424,94.566,0
ecgclass__app2,1.9653,176.798,95.425,0
ecgclass__app5,2.0519,173.939,89.330,0
ecgclass__app3,2.0521,173.897,89.422,0
ecgclass__app4,2.0525,173.816,90.078,0
ecgclass,2.1414,170.251,90.862,0
ecgclass__app2,2.1421,170.137,91.611,0
ecgclass__app1,2.1409,171.810,92.028,0
ecgclass__app4,2.2263,171.624,91.702,0
ecgclass__app5,2.2259,172.616,92.273,0
ecgclass__app3,2.2260,172.577,92.386,0
ecgclass__app1,2.3127,174.542,93.869,0
ecgclass,2.3117,176.188,94.584,0
ecgclass__app2,2.3123,175.858,94.710,0
ecgclass__app4,2.3980,179.202,94.572,0
ecgclass__app5,2.3985,179.219,94.877,0
ecgclass__app3,2.3986,179.250,94.913,0
ecgclass__app2,2.4882,172.716,88.617,0
ecgclass,2.4879,173.511,89.270,0
ecgclass__app1,2.4872,174.679,89.918,0
ecgclass__app5,2.5777,167.470,89.129,0
ecgclass__app4,2.5772,168.531,89.783,0
ecgclass__app3,2.5778,168.515,90.422,0
ecgclass__app1,2.6619,167.522,88.746,0
ecgclass,2.6614,168.537,89.176,0
ecgclass__app2,2.6609,169.338,89.538,0
ecgclass__app3,2.7464,167.453,89.376,0
ecgclass__app5,2.7452,169.164,89.992,0
ecgclass__app4,2.7458,168.741,90.081,0
ecgclass__app2,2.8302,169.441,90.335,0
ecgclass__app1,2.8295,170.709,90.872,0
ecgclass,2.8299,170.520,91.336,0
ecgclass__app3,2.9138,169.944,88.834,0
ecgclass__app5,2.9144,169.971,89.573,0
ecgclass__app4,2.9145,170.147,89.843,0
ecgclass__app2,2.9997,168.163,88.685,0
ecgclass__app1,3.0002,168.275,89.472,0
ecgclass,3.0005,168.562,89.961,0
ecgclass__app4,3.0847,168.020,89.175,0
ecgclass__app5,3.0844,168.674,89.658,0
ecgclass__app3,3.0838,169.519,89.993,0
ecgclass__app1,3.1685,168.927,88.718,0
ecgclass__app2,3.1679,169.655,88.815,0
ecgclass,3.1690,168.546,88.897,0
ecgclass__app5,3.2531,168.282,89.268,0
ecgclass__app4,3.2527,169.001,89.664,0
ecgclass__app3,3.2533,168.621,90.099,0
ecgclass__app2,3.3375,167.370,87.970,0
ecgclass__app1,3.3374,167.660,88.038,0
ecgclass,3.3376,167.855,88.699,0
ecgclass__app3,3.4220,166.250,88.102,0
ecgclass__app4,3.4217,166.973,88.769,0
ecgclass__app5,3.4214,167.850,89.218,0
ecgclass__app1,3.5051,167.663,89.116,0
ecgclass,3.5055,168.099,89.859,0
ecgclass__app2,3.5049,168.968,89.894,0
ecgclass__app4,3.5887,175.721,96.528,0
ecgclass__app3,3.5882,176.849,97.435,0
ecgclass__app5,3.5892,176.470,97.491,0
ecgclass__app2,3.6739,181.414,95.854,0
ecgclass,3.6736,182.226,96.303,0
ecgclass__app1,3.6728,183.586,96.922,0
ecgclass__app4,3.7644,174.398,87.695,0
ecgclass__app3,3.7651,174.303,88.437,0
ecgclass__app5,3.7657,174.074,88.811,0
ecgclass__app2,3.8553,167.382,88.367,0
ecgclass__app1,3.8564,166.810,88.764,0
ecgclass,3.8558,167.655,89.288,0
ecgclass__app3,3.9394,167.130,88.366,0
ecgclass__app4,3.9389,168.062,88.963,0
ecgclass__app5,3.9398,167.397,89.135,0
ecgclass,4.0235,165.830,87.179,0
ecgclass__app2,4.0227,167.023,87.835,0
ecgclass__app1,4.0232,166.863,88.077,0
ecgclass__app5,4.1072,165.984,88.650,0
ecgclass__app4,4.1069,166.623,88.944,0
ecgclass__app3,4.1066,167.280,89.365,0
ecgclass,4.1893,167.179,88.023,0
ecgclass__app1,4.1901,166.822,88.419,0
ecgclass__app2,4.1898,167.392,88.871,0
ecgclass__app3,4.2739,166.950,88.990,0
ecgclass__app4,4.2736,167.597,89.434,0
ecgclass__app5,4.2732,168.624,90.190,0
ecgclass__app1,4.3569,167.621,88.616,0
ecgclass__app2,4.3572,167.703,89.188,0
ecgclass,4.3565,168.789,89.591,0
ecgclass__app3,4.4408,168.165,88.829,0
ecgclass__app4,4.4412,168.210,89.244,0
ecgclass__app5,4.4419,168.491,90.340,0
ecgclass,4.5253,167.783,88.195,0
ecgclass__app2,4.5249,168.358,88.285,0
ecgclass__app1,4.5245,169.030,88.858,0
ecgclass__app4,4.6094,167.223,88.247,0
ecgclass__app5,4.6104,166.739,88.756,0
ecgclass__app3,4.6090,168.309,88.921,0
ecgclass__app1,4.6936,166.466,87.808,0
ecgclass__app2,4.6933,166.936,88.061,0
ecgclass,4.6931,167.398,88.390,0
ecgclass__app4,4.7767,166.512,87.882,0
ecgclass__app3,4.7773,166.198,88.472,0
ecgclass__app5,4.7771,166.695,88.801,0
ecgclass__app1,4.8601,166.531,87.800,0
ecgclass__app2,4.8602,166.524,87.904,0
ecgclass,4.8605,166.520,88.584,0
ecgclass__app3,4.9435,166.184,87.543,0
ecgclass__app5,4.9438,166.311,88.005,0
ecgclass__app4,4.9432,167.167,88.163,0
ecgclass__app1,5.0266,166.203,87.558,0
ecgclass__app2,5.0267,166.492,87.990,0
ecgclass,5.0271,166.450,88.465,0
ecgclass__app3,5.1097,167.669,88.951,0
ecgclass__app5,5.1101,167.593,89.046,0
ecgclass__app4,5.1104,167.461,89.174,0
ecgclass__app1,5.1928,167.753,88.246,0
ecgclass__app2,5.1933,167.741,88.618,0
ecgclass,5.1935,167.762,89.123,0
ecgclass__app4,5.2778,166.059,87.695,0
ecgclass__app3,5.2774,166.926,88.240,0
ecgclass__app5,5.2777,167.184,88.955,0
ecgclass,5.3613,166.188,87.774,0
ecgclass__app1,5.3606,166.993,87.869,0
ecgclass__app2,5.3610,166.875,88.057,0
ecgclass__app4,5.4439,167.459,88.640,0
ecgclass__app3,5.4444,167.153,88.742,0
ecgclass__app5,5.4449,166.925,89.214,0
ecgclass,5.5275,167.608,88.834,0
ecgclass__app1,5.5276,167.908,89.190,0
ecgclass__app2,5.5279,167.874,89.358,0
ecgclass__app3,5.6115,167.581,88.514,0
ecgclass__app5,5.6119,167.636,89.068,0
ecgclass__app4,5.6114,168.210,89.179,0
ecgclass__app2,5.6958,166.925,88.265,0
ecgclass,5.6951,167.987,88.768,0
ecgclass__app1,5.6956,167.665,88.852,0
ecgclass__app3,5.7791,167.020,88.265,0
ecgclass__app4,5.7796,167.067,88.956,0
ecgclass__app5,5.7795,167.624,89.356,0
ecgclass__app1,5.8632,166.654,88.386,0
ecgclass__app2,5.8627,167.532,88.743,0
ecgclass,5.8631,167.423,88.959,0
ecgclass__app3,5.9462,167.592,88.351,0
ecgclass__app5,5.9472,167.063,88.984,0
ecgclass__app4,5.9467,167.878,89.339,0
ecgclass__app2,6.0303,166.822,87.897,0
ecgclass,6.0306,167.091,88.576,0
ecgclass__app1,6.0299,167.972,88.676,0
ecgclass__app3,6.1138,167.331,88.403,0
ecgclass__app5,6.1142,167.218,88.743,0
ecgclass__app4,6.1146,167.789,89.908,0
ecgclass,6.1977,167.317,88.540,0
ecgclass__app2,6.1971,168.279,89.067,0
ecgclass__app1,6.1979,167.813,89.355,0
ecgclass__app3,6.2811,168.231,88.401,0
ecgclass__app5,6.2815,168.176,88.684,0
ecgclass__app4,6.2824,167.519,89.305,0
ecgclass,6.3650,168.118,88.217,0
ecgclass__app1,6.3657,167.561,88.334,0
ecgclass__app2,6.3654,168.051,88.485,0
ecgclass__app3,6.4494,167.567,88.690,0
ecgclass__app4,6.4499,167.635,89.258,0
ecgclass__app5,6.4496,167.995,89.428,0
ecgclass__app1,6.5333,167.150,88.082,0
ecgclass__app2,6.5335,167.569,88.724,0
ecgclass,6.5332,168.048,88.806,0
ecgclass__app3,6.6170,167.256,87.864,0
ecgclass__app5,6.6176,167.086,88.199,0
ecgclass__app4,6.6175,167.310,88.289,0
ecgclass__app2,6.7011,166.985,88.122,0
ecgclass,6.7012,167.290,88.671,0
ecgclass__app1,6.7004,168.347,88.973,0
ecgclass__app4,6.7849,167.283,88.992,0
ecgclass__app3,6.7842,168.041,89.085,0
ecgclass__app5,6.7848,167.876,89.754,0
ecgclass,6.8685,167.322,88.325,0
ecgclass__app1,6.8688,167.460,88.687,0
ecgclass__app2,6.8681,168.434,89.292,0
ecgclass__app3,6.9523,166.926,87.747,0
ecgclass__app4,6.9522,167.373,88.319,0
ecgclass__app5,6.9526,167.149,88.545,0
ecgclass,7.0359,167.123,88.199,0
ecgclass__app1,7.0363,166.856,88.306,0
ecgclass__app2,7.0365,166.894,88.757,0
ecgclass__app4,7.1195,167.713,88.788,0
ecgclass__app5,7.1198,167.866,89.345,0
ecgclass__app3,7.1192,168.701,89.688,0
ecgclass__app1,7.2031,168.577,88.387,0
ecgclass__app2,7.2034,168.405,88.539,0
ecgclass,7.2030,169.055,88.573,0
ecgclass__app4,7.2873,167.679,88.085,0
ecgclass__app5,7.2877,167.671,88.515,0
ecgclass__app3,7.2879,167.681,88.866,0
ecgclass__app1,7.3717,166.561,87.937,0
ecgclass__app2,7.3718,167.037,88.577,0
ecgclass,7.3721,167.036,88.713,0
