task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass,0.0002,362.413,360.397,0
ecgclass__app1,0.0003,390.466,44.104,0
ecgclass__app2,0.0004,393.054,46.944,0
ecgclass__app3,0.0005,396.491,50.467,0
ecgclass__app2,0.3935,45.637,43.217,0
ecgclass__app1,0.3908,48.714,43.453,0
ecgclass,0.3626,77.023,43.540,0
ecgclass__app3,0.3970,67.247,26.709,0
ecgclass,0.4396,66.173,42.202,0
ecgclass__app2,0.4391,67.094,42.615,0
ecgclass__app1,0.4395,66.817,42.691,0
ecgclass__app3,0.4643,67.766,27.680,0
ecgclass__app2,0.5063,68.783,43.581,0
ecgclass__app1,0.5064,68.813,43.653,0
ecgclass,0.5058,69.679,44.139,0
ecgclass__app3,0.5321,68.583,27.146,0
ecgclass__app2,0.5751,67.356,42.194,0
ecgclass__app1,0.5752,67.365,42.294,0
ecgclass,0.5755,67.270,42.375,0
ecgclass__app3,0.6007,66.628,26.453,0
ecgclass__app1,0.6426,66.884,42.645,0
ecgclass,0.6428,66.797,42.754,0
ecgclass__app2,0.6424,67.485,43.324,0
ecgclass__app3,0.6673,67.871,27.266,0
ecgclass__app2,0.7099,67.603,42.729,0
ecgclass,0.7096,68.083,42.915,0
ecgclass__app1,0.7095,68.515,42.945,0
ecgclass__app3,0.7352,67.923,27.253,0
ecgclass__app1,0.7780,67.161,42.584,0
ecgclass__app2,0.7776,67.798,42.618,0
ecgclass,0.7777,68.048,43.116,0
ecgclass__app3,0.8031,66.801,26.907,0
ecgclass__app2,0.8454,66.422,42.487,0
ecgclass__app1,0.8452,67.140,42.995,0
ecgclass,0.8457,66.916,43.444,0
ecgclass__app3,0.8699,68.408,27.655,0
ecgclass__app1,0.9123,69.012,43.703,0
ecgclass__app2,0.9118,70.016,44.184,0
ecgclass,0.9127,69.452,44.297,0
ecgclass__app3,0.9384,68.402,26.969,0
ecgclass__app1,0.9814,65.934,40.986,0
ecgclass,0.9821,65.336,41.067,0
ecgclass__app2,0.9819,65.961,41.668,0
ecgclass__app3,1.0068,65.296,26.577,0
ecgclass__app2,1.0478,65.835,42.239,0
ecgclass__app1,1.0473,66.750,42.578,0
ecgclass,1.0475,66.828,42.956,0
ecgclass__app3,1.0721,67.649,27.443,0
ecgclass__app1,1.1141,68.007,42.844,0
ecgclass__app2,1.1137,68.614,42.932,0
ecgclass,1.1143,68.293,43.407,0
ecgclass__app3,1.1398,67.973,27.181,0
ecgclass__app1,1.1821,66.983,42.125,0
ecgclass__app2,1.1823,67.414,42.758,0
ecgclass,1.1826,67.299,42.852,0
ecgclass__app3,1.2078,67.116,27.117,0
ecgclass__app2,1.2497,66.712,42.157,0
ecgclass__app1,1.2491,67.621,42.232,0
ecgclass,1.2499,67.074,42.974,0
ecgclass__app3,1.2749,68.453,28.431,0
ecgclass__app2,1.3165,69.209,43.348,0
ecgclass,1.3170,68.793,43.440,0
ecgclass__app1,1.3167,69.387,43.872,0
ecgclass__app3,1.3434,68.296,27.392,0
ecgclass,1.3858,67.253,42.324,0
ecgclass__app2,1.3857,67.754,42.618,0
ecgclass__app1,1.3861,67.564,43.028,0
ecgclass__app3,1.4117,66.535,26.714,0
ecgclass__app2,1.4535,66.505,42.293,0
ecgclass,1.4531,67.002,42.339,0
ecgclass__app1,1.4537,66.749,42.983,0
ecgclass__app3,1.4782,67.795,27.796,0
ecgclass__app1,1.5205,67.965,42.991,0
ecgclass,1.5201,68.655,43.301,0
ecgclass__app2,1.5200,69.017,43.693,0
ecgclass__app3,1.5460,67.924,26.984,0
ecgclass__app2,1.5890,66.549,42.225,0
ecgclass__app1,1.5885,67.462,42.553,0
ecgclass,1.5888,67.245,42.602,0
ecgclass__app3,1.6140,66.587,26.483,0
ecgclass__app2,1.6556,66.998,42.698,0
ecgclass__app1,1.6559,66.996,42.989,0
ecgclass,1.6560,67.127,43.361,0
ecgclass__app3,1.6806,68.125,27.611,0
ecgclass,1.7232,67.479,42.608,0
ecgclass__app1,1.7229,68.082,42.977,0
ecgclass__app2,1.7226,68.656,43.092,0
ecgclass__app3,1.7487,67.707,27.192,0
ecgclass__app2,1.7912,67.164,42.638,0
ecgclass__app1,1.7910,67.781,43.172,0
ecgclass,1.7907,68.466,43.361,0
ecgclass__app3,1.8164,67.067,26.342,0
ecgclass,1.8591,65.998,42.163,0
ecgclass__app2,1.8584,66.846,42.294,0
ecgclass__app1,1.8588,66.690,42.390,0
ecgclass__app3,1.8835,68.022,28.297,0
ecgclass__app1,1.9255,69.114,44.255,0
ecgclass,1.9251,71.130,44.585,0
ecgclass__app2,1.9253,71.090,45.064,0
ecgclass__app3,1.9515,68.989,27.252,0
ecgclass,1.9963,65.918,42.394,0
ecgclass__app2,1.9964,66.461,43.045,0
ecgclass__app1,1.9947,68.268,43.084,0
ecgclass__app3,2.0206,66.933,26.665,0
ecgclass__app1,2.0629,66.691,42.833,0
ecgclass,2.0622,67.747,43.213,0
ecgclass__app2,2.0629,67.526,43.747,0
ecgclass__app3,2.0875,68.872,28.058,0
ecgclass__app1,2.1296,69.340,42.879,0
ecgclass__app2,2.1304,68.770,42.925,0
ecgclass,2.1300,69.515,43.017,0
ecgclass__app3,2.1564,67.885,26.672,0
ecgclass__app2,2.1992,64.986,40.672,0
ecgclass__app1,2.1990,65.640,41.273,0
ecgclass,2.1995,65.506,41.616,0
ecgclass__app3,2.2243,65.187,26.720,0
ecgclass,2.2650,66.490,42.704,0
ecgclass__app2,2.2642,67.933,43.248,0
ecgclass__app1,2.2647,67.583,43.278,0
ecgclass__app3,2.2895,68.701,28.162,0
ecgclass__app2,2.3321,68.377,43.014,0
ecgclass__app1,2.3323,68.612,43.401,0
ecgclass,2.3315,69.572,43.547,0
ecgclass__app3,2.3582,67.727,26.844,0
ecgclass,2.4011,65.314,40.955,0
ecgclass__app1,2.4009,65.912,41.570,0
ecgclass__app2,2.4005,66.661,41.950,0
ecgclass__app3,2.4260,66.162,26.856,0
ecgclass__app1,2.4668,67.659,42.965,0
ecgclass,2.4664,68.360,43.301,0
ecgclass__app2,2.4672,67.825,43.423,0
ecgclass__app3,2.4921,69.392,28.513,0
ecgclass__app1,2.5345,70.719,44.438,0
ecgclass__app2,2.5350,70.566,44.737,0
ecgclass,2.5348,70.998,44.933,0
ecgclass__app3,2.5615,69.476,27.618,0
ecgclass,2.6058,66.375,41.958,0
ecgclass__app1,2.6052,67.362,42.392,0
