task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass__app7,0.0020,779.991,775.048,0
ecgclass__app2,0.0004,802.838,798.961,0
ecgclass__app4,0.0018,808.264,805.615,0
ecgclass__app6,0.0020,820.069,816.941,0
ecgclass__app1,0.0003,823.315,819.471,0
ecgclass__app5,0.0019,822.171,819.712,0
ecgclass__app3,0.0005,826.745,823.333,0
ecgclass,0.0002,833.068,829.418,0
ecgclass__app7,0.7821,247.561,244.664,0
ecgclass__app2,0.8033,258.902,256.681,0
ecgclass__app4,0.8101,285.123,282.003,0
ecgclass__app6,0.8221,288.203,285.740,0
ecgclass__app1,0.8237,290.381,288.592,0
ecgclass__app5,0.8241,294.466,287.926,0
ecgclass__app3,0.8272,291.944,290.535,0
ecgclass,0.8333,290.827,288.975,0
ecgclass__app7,1.0296,285.382,283.853,0
ecgclass__app2,1.0622,283.586,281.956,0
ecgclass__app4,1.0952,290.902,289.002,0
ecgclass__app6,1.1103,289.229,287.350,0
ecgclass__app5,1.1186,287.453,286.130,0
ecgclass__app1,1.1141,292.885,291.001,0
ecgclass__app3,1.1192,290.821,288.157,0
ecgclass,1.1241,288.704,286.843,0
ecgclass__app7,1.3150,288.882,287.264,0
ecgclass__app2,1.3458,290.007,288.355,0
ecgclass__app4,1.3861,287.407,285.660,0
ecgclass__app6,1.3995,288.599,286.892,0
ecgclass__app1,1.4070,287.441,285.934,0
ecgclass__app5,1.4060,289.508,287.613,0
ecgclass__app3,1.4100,289.255,287.424,0
ecgclass,1.4128,290.118,288.561,0
ecgclass__app7,1.6039,288.054,285.832,0
ecgclass__app2,1.6359,288.683,287.145,0
ecgclass__app4,1.6736,285.433,283.781,0
ecgclass__app1,1.6944,285.251,283.797,0
ecgclass__app6,1.6882,293.278,291.543,0
ecgclass,1.7030,287.071,285.660,0
ecgclass__app5,1.6956,295.635,290.836,0
ecgclass__app3,1.6993,292.719,291.274,0
ecgclass__app7,1.8920,287.273,285.671,0
ecgclass__app2,1.9246,290.319,288.808,0
ecgclass__app4,1.9590,287.881,286.297,0
ecgclass__app6,1.9815,287.957,286.301,0
ecgclass__app1,1.9797,290.107,288.511,0
ecgclass__app3,1.9920,286.517,284.857,0
ecgclass,1.9901,289.191,287.720,0
ecgclass__app5,1.9912,288.912,287.604,0
ecgclass__app7,2.1793,287.865,286.293,0
ecgclass__app2,2.2149,286.962,285.207,0
ecgclass__app4,2.2469,288.833,287.199,0
ecgclass__app6,2.2694,289.982,288.310,0
ecgclass__app1,2.2699,289.967,288.364,0
ecgclass__app3,2.2786,291.024,288.984,0
ecgclass,2.2793,290.524,288.938,0
ecgclass__app5,2.2801,290.198,288.172,0
ecgclass__app7,2.4672,284.782,282.909,0
ecgclass__app2,2.5019,283.410,281.801,0
ecgclass__app4,2.5358,283.508,281.901,0
ecgclass__app1,2.5598,288.609,286.944,0
ecgclass__app6,2.5594,290.196,288.051,0
ecgclass__app5,2.5704,287.949,286.320,0
ecgclass,2.5698,288.655,286.152,0
ecgclass__app3,2.5696,290.287,287.109,0
ecgclass__app7,2.7520,287.103,285.457,0
ecgclass__app2,2.7853,288.981,287.205,0
ecgclass__app4,2.8193,289.349,287.686,0
ecgclass__app6,2.8496,290.862,289.192,0
ecgclass__app1,2.8485,292.881,291.309,0
ecgclass,2.8585,287.670,286.153,0
ecgclass__app3,2.8599,290.003,288.550,0
ecgclass__app5,2.8583,293.288,291.055,0
ecgclass__app7,3.0391,286.388,284.771,0
ecgclass__app2,3.0743,285.624,283.837,0
ecgclass__app4,3.1087,285.012,283.098,0
ecgclass__app1,3.1414,292.316,290.304,0
ecgclass__app6,3.1405,293.743,288.928,0
ecgclass,3.1462,293.681,290.456,0
ecgclass__app5,3.1516,288.598,287.145,0
ecgclass__app3,3.1499,292.031,289.147,0
ecgclass__app7,3.3255,281.438,279.155,0
ecgclass__app2,3.3600,280.940,279.384,0
ecgclass__app4,3.3937,282.171,280.204,0
ecgclass__app1,3.4337,291.897,290.225,0
ecgclass,3.4399,286.230,284.524,0
ecgclass__app5,3.4402,286.190,284.364,0
ecgclass__app6,3.4343,292.423,290.978,0
ecgclass__app3,3.4420,289.790,286.545,0
ecgclass__app7,3.6070,284.619,282.925,0
ecgclass__app2,3.6409,283.034,281.190,0
ecgclass__app4,3.6759,286.369,284.694,0
ecgclass__app1,3.7256,288.921,287.193,0
ecgclass,3.7261,289.638,287.107,0
ecgclass__app6,3.7267,290.472,287.649,0
ecgclass__app5,3.7264,290.893,288.104,0
ecgclass__app3,3.7318,288.427,287.091,0
ecgclass__app7,3.8916,285.177,283.618,0
ecgclass__app2,3.9240,288.407,286.688,0
ecgclass__app4,3.9623,285.328,283.547,0
ecgclass,4.0158,291.382,288.809,0
ecgclass__app5,4.0173,290.613,288.675,0
ecgclass__app6,4.0172,290.874,288.037,0
ecgclass__app1,4.0146,293.591,291.383,0
ecgclass__app3,4.0202,292.171,290.692,0
ecgclass__app7,4.1768,286.374,284.746,0
ecgclass__app2,4.2124,285.539,283.829,0
ecgclass__app4,4.2477,284.179,282.560,0
ecgclass,4.3072,288.878,285.701,0
ecgclass__app5,4.3080,288.265,285.220,0
ecgclass__app3,4.3124,288.189,286.771,0
ecgclass__app1,4.3082,293.480,290.915,0
ecgclass__app6,4.3081,293.935,290.974,0
ecgclass__app7,4.4632,282.727,280.053,0
ecgclass__app2,4.4980,289.329,287.479,0
ecgclass__app4,4.5319,282.290,280.417,0
ecgclass__app5,4.5963,289.891,288.262,0
ecgclass,4.5961,290.880,289.250,0
ecgclass__app1,4.6017,289.518,288.033,0
ecgclass__app6,4.6021,290.917,289.294,0
ecgclass__app3,4.6006,293.172,291.712,0
ecgclass__app7,4.7460,283.600,282.001,0
ecgclass__app2,4.7873,289.330,287.660,0
ecgclass__app4,4.8142,281.738,279.934,0
ecgclass__app5,4.8862,290.670,288.669,0
ecgclass,4.8870,292.756,291.024,0
ecgclass__app6,4.8930,287.106,285.640,0
ecgclass__app1,4.8912,289.631,288.194,0
ecgclass__app3,4.8938,291.073,287.049,0
ecgclass__app7,5.0296,284.410,282.693,0
ecgclass__app2,5.0767,283.245,281.537,0
ecgclass__app4,5.0959,286.064,284.380,0
ecgclass__app6,5.1801,289.408,288.072,0
ecgclass__app5,5.1769,293.276,289.537,0
ecgclass__app1,5.1809,290.313,288.939,0
ecgclass__app3,5.1849,291.081,289.722,0
ecgclass,5.1798,296.586,292.611,0
ecgclass__app7,5.3140,281.002,279.401,0
ecgclass__app2,5.3599,285.027,279.437,0
ecgclass__app4,5.3820,288.285,286.443,0
ecgclass__app3,5.4760,286.435,284.955,0
ecgclass__app6,5.4695,294.224,292.516,0
ecgclass__app1,5.4712,293.230,289.511,0
ecgclass__app5,5.4702,294.948,293.349,0
ecgclass,5.4764,293.770,292.411,0
ecgclass__app7,5.5951,287.602,285.952,0
ecgclass__app2,5.6450,282.317,280.527,0
ecgclass__app4,5.6703,279.038,277.362,0
ecgclass__app6,5.7638,286.817,285.252,0
ecgclass__app3,5.7625,289.696,288.185,0
ecgclass__app5,5.7651,288.040,286.828,0
ecgclass__app1,5.7644,294.735,293.078,0
ecgclass,5.7701,289.412,287.837,0
ecgclass__app7,5.8827,288.952,287.341,0
ecgclass__app2,5.9273,291.800,287.617,0
ecgclass__app4,5.9494,291.775,289.822,0
ecgclass__app6,6.0506,289.707,288.142,0
ecgclass__app3,6.0522,290.656,286.875,0
ecgclass__app5,6.0532,292.747,290.486,0
ecgclass__app1,6.0592,289.628,286.432,0
ecgclass,6.0596,290.003,288.733,0
ecgclass__app7,6.1717,287.494,284.742,0
ecgclass__app2,6.2192,291.827,289.098,0
ecgclass__app4,6.2412,291.657,289.896,0
ecgclass__app3,6.3428,288.126,286.531,0
ecgclass__app6,6.3403,291.256,289.748,0
