task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass,0.0002,415.693,413.491,0
ecgclass__app1,0.0003,528.862,133.006,0
ecgclass__app2,0.0004,533.481,137.856,0
ecgclass__app3,0.0005,542.039,145.989,0
ecgclass__app4,0.0005,542.414,146.626,0
ecgclass__app5,0.0006,542.722,147.144,0
ecgclass__app2,0.5339,93.605,90.214,0
ecgclass,0.4159,212.096,90.710,0
ecgclass__app1,0.5292,99.087,90.985,0
ecgclass__app4,0.5430,169.520,89.516,0
ecgclass__app3,0.5425,170.463,90.060,0
ecgclass__app5,0.5433,169.980,90.526,0
ecgclass,0.6280,169.348,88.844,0
ecgclass__app2,0.6275,170.020,88.952,0
ecgclass__app1,0.6283,169.647,89.022,0
ecgclass__app3,0.7130,167.850,88.670,0
ecgclass__app5,0.7133,167.925,89.028,0
ecgclass__app4,0.7125,168.928,89.197,0
ecgclass__app2,0.7976,167.178,88.474,0
ecgclass,0.7974,167.514,88.581,0
ecgclass__app1,0.7980,167.367,89.357,0
ecgclass__app5,0.8812,167.071,88.276,0
ecgclass__app3,0.8809,167.989,88.930,0
ecgclass__app4,0.8814,167.763,89.323,0
ecgclass__app2,0.9647,167.305,88.187,0
ecgclass,0.9649,167.528,88.668,0
ecgclass__app1,0.9653,167.360,89.064,0
ecgclass__app3,1.0489,167.118,88.472,0
ecgclass__app4,1.0492,167.266,89.118,0
ecgclass__app5,1.0483,168.853,89.901,0
ecgclass__app1,1.1327,168.612,89.773,0
ecgclass__app2,1.1321,169.791,90.070,0
ecgclass,1.1324,169.548,90.110,0
ecgclass__app5,1.2172,168.476,89.100,0
ecgclass__app3,1.2160,170.043,89.406,0
ecgclass__app4,1.2165,169.643,89.512,0
ecgclass__app2,1.3019,167.660,88.682,0
ecgclass,1.3020,168.057,89.301,0
ecgclass__app1,1.3013,169.177,89.625,0
ecgclass__app5,1.3857,167.209,87.784,0
ecgclass__app3,1.3861,167.223,88.117,0
ecgclass__app4,1.3861,167.233,88.212,0
ecgclass__app2,1.4696,166.517,87.408,0
ecgclass__app1,1.4705,166.128,87.788,0
ecgclass,1.4701,166.714,88.007,0
ecgclass__app4,1.5534,166.017,87.739,0
ecgclass__app3,1.5533,166.601,88.440,0
ecgclass__app5,1.5529,167.289,88.689,0
ecgclass__app2,1.6361,167.938,88.955,0
ecgclass,1.6368,167.532,89.363,0
ecgclass__app1,1.6367,168.030,89.944,0
