run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
0,0,186.0942,179.9366,4.29,0.0034,339.95
0,1,28.2196,27.5945,0.3818,0.0025,339.95
0,2,27.6923,27.1956,0.2771,0.0024,339.95
0,3,28.6045,28.0898,0.2816,0.0024,339.95
0,4,28.4771,27.9633,0.2762,0.0022,339.95
0,5,28.6842,28.0672,0.3849,0.0022,339.95
0,6,28.5061,28.0256,0.2679,0.0023,339.95
0,7,28.8571,28.3516,0.2762,0.0025,339.95
0,8,29.4105,28.8962,0.2879,0.0024,339.95
0,9,28.7887,28.2819,0.2745,0.0024,339.95
0,10,29.3629,28.8424,0.2898,0.0031,339.95
0,11,28.8294,28.1677,0.4172,0.0029,339.95
0,12,29.2077,28.7314,0.2662,0.0029,339.95
0,13,28.8981,28.3814,0.2953,0.0025,339.95
0,14,29.1069,28.5734,0.2953,0.0021,339.95
0,15,29.2266,28.7094,0.2733,0.0026,339.95
0,16,29.0003,28.4687,0.2998,0.0021,339.95
0,17,29.4664,28.9273,0.2812,0.0028,339.95
0,18,28.7819,28.2636,0.2914,0.0023,339.95
0,19,29.4576,28.7268,0.28,0.0022,339.95
0,20,28.5473,28.0789,0.2639,0.0025,339.95
0,21,29.2354,28.7082,0.2993,0.0028,339.95
0,22,28.9452,28.2475,0.3842,0.0098,339.95
0,23,29.1001,28.5769,0.2833,0.0028,339.95
0,24,29.4952,28.9688,0.2968,0.002,339.95
0,25,29.1355,28.6475,0.2651,0.003,339.95
0,26,29.5818,29.0618,0.2905,0.0023,339.95
0,27,28.6977,28.132,0.2969,0.0028,339.95
0,28,29.6447,28.8884,0.5222,0.0026,339.95
0,29,29.3952,28.8934,0.2851,0.0026,339.95
0,30,29.771,29.2762,0.2717,0.0024,339.95
0,31,30.0335,29.5209,0.2821,0.0024,339.95
0,32,29.2794,28.751,0.2926,0.0025,339.95
0,33,29.4387,28.9338,0.2748,0.003,339.95
0,34,28.7393,28.2346,0.2872,0.0027,339.95
0,35,29.1922,28.6856,0.2753,0.0023,339.95
0,36,29.1104,28.6232,0.2707,0.0025,339.95
0,37,29.3893,28.8378,0.303,0.0025,339.95
0,38,29.6469,29.1235,0.2856,0.0022,339.95
0,39,29.3039,28.5162,0.2642,0.0027,339.95
0,40,29.4425,28.9284,0.2955,0.0021,339.95
0,41,28.73,28.2506,0.2617,0.0028,339.95
0,42,29.4669,28.9501,0.2898,0.0026,339.95
0,43,29.5791,29.0488,0.2935,0.0022,339.95
0,44,29.2875,28.7784,0.2694,0.0027,339.95
0,45,29.607,29.0808,0.2911,0.0029,339.95
0,46,29.0856,28.5898,0.2747,0.002,339.95
0,47,29.4395,28.9486,0.2665,0.0029,339.95
0,48,28.668,28.1329,0.3069,0.002,339.95
0,49,30.0442,28.8821,0.9225,0.0026,339.95
0,50,28.9676,28.481,0.2772,0.0024,339.95
0,51,29.2839,28.7612,0.2858,0.0025,339.95
0,52,29.35,28.8503,0.2805,0.0029,339.95
0,53,28.9686,28.4608,0.2892,0.0021,339.95
0,54,29.4473,28.9346,0.278,0.0023,339.95
0,55,28.8319,28.3324,0.2753,0.003,339.95
0,56,29.4434,28.925,0.2906,0.0021,339.95
0,57,28.7671,28.2643,0.2802,0.0023,339.95
0,58,29.2298,28.7264,0.2815,0.0024,339.95
0,59,28.9027,28.3779,0.2905,0.0027,339.95
0,60,29.1467,28.6799,0.2583,0.0025,339.95
0,61,29.8083,29.2939,0.2888,0.0023,339.95
0,62,29.4568,28.9485,0.2821,0.0024,339.95
0,63,29.7512,29.2458,0.2768,0.0027,339.95
0,64,28.8092,28.2818,0.2899,0.0022,339.95
0,65,29.3404,28.8358,0.2749,0.0023,339.95
0,66,28.8346,28.3443,0.2707,0.0028,339.95
0,67,29.441,28.9058,0.2986,0.0024,339.95
