task,device_url,n_requests,throughput_rps,avg_latency_ms,error
fever,local://instance-0,527,8.783333333333333,114.00313621680243,
squad,local://instance-0,527,8.783333333333333,114.00680750099487,
ag_news,local://instance-0,527,8.783333333333333,114.02487935784646,
gsm8k,local://instance-0,527,8.783333333333333,114.00446131740621,
flores,local://instance-0,527,8.783333333333333,114.00734541312114,
cnn_dailymail,local://instance-0,527,8.783333333333333,114.00840992719444,
humaneval,local://instance-0,527,8.783333333333333,114.00662518090496,
hellaswag,local://instance-0,527,8.783333333333333,114.00659079795997,
conll2003,local://instance-0,527,8.783333333333333,114.01124561534209,
sst2,local://instance-0,527,8.783333333333333,114.02670301115263,
