elapsed_s,allocated_mb,reserved_mb
0.00,449.8,462.0
0.50,454.3,726.0
1.00,454.3,726.0
1.50,454.3,726.0
2.00,454.3,726.0
2.50,454.3,726.0
3.00,454.3,726.0
3.50,454.3,726.0
4.00,454.3,726.0
4.50,454.3,726.0
5.00,454.3,726.0
5.50,454.3,726.0
6.01,454.3,726.0
6.51,454.3,726.0
7.01,454.3,726.0
7.51,454.3,726.0
8.01,454.3,726.0
8.51,454.3,726.0
9.01,454.3,726.0
9.51,449.8,726.0
10.01,454.3,726.0
10.51,454.3,726.0
11.01,454.3,726.0
11.51,454.3,726.0
12.01,454.3,726.0
12.51,454.3,726.0
13.01,454.3,726.0
13.51,454.3,726.0
14.01,454.3,726.0
14.51,454.3,726.0
15.01,454.3,726.0
15.51,454.3,726.0
16.01,454.3,726.0
16.51,454.3,726.0
17.01,454.3,726.0
17.51,454.3,726.0
18.02,454.3,726.0
18.52,454.3,726.0
19.02,454.3,726.0
19.52,454.3,726.0
20.02,454.3,726.0
20.52,454.3,726.0
21.02,454.3,726.0
21.52,454.3,726.0
22.02,454.3,726.0
22.52,454.3,726.0
23.02,454.3,726.0
23.52,454.3,726.0
24.02,454.3,726.0
24.52,454.3,726.0
25.02,454.3,726.0
25.52,454.3,726.0
26.02,454.3,726.0
26.52,454.3,726.0
27.02,454.3,726.0
27.52,454.3,726.0
28.02,454.3,726.0
28.52,454.3,726.0
29.02,454.3,726.0
29.53,454.3,726.0
30.03,454.3,726.0
30.53,454.3,726.0
31.03,454.3,726.0
31.53,454.3,726.0
32.03,454.3,726.0
32.53,454.3,726.0
33.03,454.3,726.0
33.53,454.3,726.0
34.03,454.3,726.0
34.53,454.3,726.0
35.03,454.3,726.0
35.53,454.3,726.0
36.03,454.3,726.0
36.53,454.3,726.0
37.03,594.8,726.0
37.53,454.3,726.0
38.03,454.3,726.0
38.53,454.3,726.0
39.03,454.3,726.0
39.53,454.3,726.0
40.03,454.3,726.0
40.53,454.3,726.0
41.03,454.3,726.0
41.53,504.5,726.0
42.04,454.3,726.0
42.54,454.3,726.0
43.04,454.3,726.0
43.54,454.3,726.0
44.04,454.3,726.0
44.54,454.3,726.0
45.04,454.3,726.0
45.54,454.3,726.0
46.04,454.8,726.0
46.54,454.3,726.0
47.04,454.3,726.0
47.54,454.3,726.0
48.04,454.3,726.0
48.54,454.3,726.0
49.04,454.3,726.0
49.54,454.3,726.0
50.04,454.3,726.0
50.54,449.8,726.0
51.04,454.3,726.0
51.54,454.3,726.0
52.05,454.3,726.0
52.55,454.3,726.0
53.05,454.3,726.0
53.55,454.3,726.0
54.05,454.3,726.0
54.55,454.3,726.0
55.05,454.3,726.0
55.55,454.3,726.0
56.05,454.3,726.0
56.55,454.3,726.0
57.05,454.3,726.0
57.55,454.3,726.0
58.05,454.3,726.0
58.55,454.3,726.0
59.05,454.3,726.0
59.55,454.3,726.0
