elapsed_s,allocated_mb,reserved_mb
0.00,2440.1,2462.0
0.50,2498.6,2694.0
1.00,2502.0,2696.0
1.50,2546.0,2696.0
2.00,2522.0,2696.0
2.50,2509.9,2698.0
3.00,2588.6,2700.0
3.50,2551.6,2700.0
4.00,2528.8,2700.0
4.50,2498.7,2700.0
5.00,2496.3,2700.0
5.51,2554.0,2700.0
6.01,2567.1,2700.0
6.51,2502.8,2700.0
7.01,2516.9,2700.0
7.51,2504.7,2700.0
8.01,2509.7,2700.0
8.51,2526.1,2700.0
9.01,2505.0,2700.0
9.51,2505.2,2700.0
10.01,2514.4,2700.0
10.51,2499.6,2700.0
11.01,2517.8,2700.0
11.51,2497.2,2700.0
12.01,2529.4,2700.0
12.51,2503.2,2700.0
13.01,2542.8,2700.0
13.51,2531.7,2700.0
14.01,2532.9,2700.0
14.51,2512.3,2700.0
15.02,2506.8,2700.0
15.52,2529.5,2700.0
16.02,2529.9,2700.0
16.52,2516.7,2728.0
17.02,2518.3,2728.0
17.52,2505.8,2728.0
18.02,2541.2,2742.0
18.52,2534.0,2742.0
19.02,2539.3,2742.0
19.52,2501.4,2742.0
20.02,2508.6,2742.0
20.52,2537.1,2742.0
21.02,2513.6,2742.0
21.52,2529.1,2742.0
22.02,2498.3,2742.0
22.52,2555.2,2742.0
23.02,2558.9,2742.0
23.52,2498.3,2742.0
24.02,2512.3,2742.0
24.53,2508.5,2742.0
25.03,2525.5,2742.0
25.53,2518.9,2742.0
26.03,2510.3,2742.0
26.53,2524.6,2742.0
27.03,2508.8,2742.0
27.53,2514.2,2742.0
28.03,2532.2,2742.0
28.53,2542.4,2742.0
29.03,2504.3,2742.0
29.53,2523.4,2742.0
30.03,2508.4,2742.0
30.53,2546.0,2742.0
31.03,2498.8,2742.0
31.53,2509.3,2742.0
32.03,2526.5,2742.0
32.54,2519.5,2742.0
33.04,2486.5,2742.0
33.54,2527.6,2742.0
34.04,2522.8,2742.0
34.54,2533.4,2742.0
35.04,2573.4,2742.0
35.54,2519.4,2742.0
36.04,2499.0,2742.0
36.54,2530.2,2742.0
37.04,2544.1,2742.0
37.54,2527.6,2742.0
38.04,2512.3,2742.0
38.54,2508.8,2742.0
39.04,2531.8,2742.0
39.54,2508.6,2742.0
40.04,2523.4,2742.0
40.54,2512.1,2742.0
41.04,2535.8,2742.0
41.55,2496.3,2742.0
42.05,2498.4,2742.0
42.55,2543.4,2742.0
43.05,2512.9,2742.0
43.55,2506.7,2742.0
44.05,2541.2,2742.0
44.55,2513.3,2742.0
45.05,2508.5,2742.0
45.55,2531.7,2742.0
46.05,2520.4,2742.0
46.55,2512.9,2742.0
47.05,2501.3,2742.0
47.55,2546.8,2742.0
48.05,2534.0,2742.0
48.55,2533.2,2742.0
49.05,2546.3,2742.0
49.55,2525.4,2742.0
50.05,2488.8,2742.0
50.55,2512.7,2742.0
51.05,2523.6,2742.0
51.56,2495.3,2742.0
52.06,2532.2,2742.0
52.56,2512.9,2742.0
53.06,2497.2,2742.0
53.56,2514.4,2742.0
54.06,2524.9,2742.0
54.56,2544.8,2742.0
55.06,2498.3,2742.0
55.56,2527.7,2742.0
56.06,2499.1,2742.0
56.56,2509.1,2742.0
57.06,2527.2,2742.0
57.56,2498.7,2742.0
58.06,2506.3,2742.0
58.56,2511.8,2742.0
59.06,2509.2,2742.0
59.56,2525.2,2742.0
60.06,2486.5,2742.0
