elapsed_s,allocated_mb,reserved_mb
0.00,466.4,514.0
0.50,466.4,524.0
1.00,467.1,524.0
1.50,467.1,524.0
2.00,467.1,524.0
2.50,467.1,524.0
3.00,478.2,524.0
3.50,470.2,524.0
4.00,467.1,524.0
4.50,467.1,524.0
5.00,467.1,524.0
5.50,467.1,524.0
6.01,467.1,524.0
6.51,467.1,524.0
7.01,478.2,524.0
7.51,468.7,524.0
8.01,467.1,524.0
8.51,467.1,524.0
9.01,467.1,524.0
9.51,467.1,524.0
10.01,467.1,524.0
10.51,467.1,524.0
11.01,467.1,524.0
11.51,469.4,524.0
12.01,467.1,524.0
12.51,467.1,524.0
13.01,467.1,524.0
13.51,467.1,524.0
14.01,467.1,524.0
14.51,467.1,524.0
15.01,474.7,524.0
15.52,471.9,524.0
16.02,467.1,524.0
16.52,467.1,524.0
17.02,467.1,524.0
17.52,467.1,524.0
18.02,467.1,524.0
18.52,467.1,524.0
19.02,467.1,524.0
19.52,472.4,524.0
20.02,472.4,524.0
20.52,472.4,524.0
21.02,470.9,524.0
21.52,467.2,524.0
22.02,467.1,524.0
22.52,467.1,524.0
23.02,467.1,524.0
23.52,467.1,524.0
24.02,467.1,524.0
24.52,467.1,524.0
25.02,467.1,524.0
25.52,467.1,524.0
26.02,467.1,524.0
26.52,467.1,524.0
27.02,467.1,524.0
27.53,467.1,524.0
28.03,467.1,524.0
28.53,470.2,524.0
29.03,476.9,524.0
29.53,470.9,524.0
30.03,474.7,524.0
30.53,466.4,524.0
31.03,467.1,524.0
31.53,467.1,524.0
32.03,467.1,524.0
32.53,467.1,524.0
33.03,467.1,524.0
33.53,467.1,524.0
34.03,467.1,524.0
34.53,467.1,524.0
35.03,467.1,524.0
35.53,467.1,524.0
36.03,467.1,524.0
36.53,467.1,524.0
37.03,467.1,524.0
37.53,470.2,524.0
38.03,472.2,524.0
38.53,478.2,524.0
39.04,470.9,524.0
39.54,466.4,524.0
40.04,467.1,524.0
40.54,467.1,524.0
41.04,467.1,524.0
41.54,467.1,524.0
42.04,467.1,524.0
42.54,467.1,524.0
43.04,467.1,524.0
43.54,467.1,524.0
44.04,467.1,524.0
44.54,467.1,524.0
45.04,467.1,524.0
45.54,467.1,524.0
46.04,469.4,524.0
46.54,469.4,524.0
47.04,470.2,524.0
47.54,470.2,524.0
48.04,466.4,524.0
48.54,467.1,524.0
49.04,467.1,524.0
49.54,467.1,524.0
50.04,467.1,524.0
50.55,467.1,524.0
51.05,467.1,524.0
51.55,467.1,524.0
52.05,467.1,524.0
52.55,467.1,524.0
53.05,467.1,524.0
53.55,467.1,524.0
54.05,467.1,524.0
54.55,470.2,524.0
55.05,473.9,524.0
55.55,473.9,524.0
56.05,469.4,524.0
56.55,467.1,524.0
57.05,467.1,524.0
57.55,467.1,524.0
58.05,467.1,524.0
58.55,467.1,524.0
59.05,467.1,524.0
59.55,467.1,524.0
