task,n_requests,throughput_rps,avg_latency_ms
etth1fore,2615,14.527777777777779,68.83254661260398
exchangefore,2615,14.527777777777779,68.83253555724409
gestureclass,2615,14.527777777777779,68.832886860088
weatherfore,2615,14.527777777777779,68.83266107432979
heartrate,2615,14.527777777777779,68.83277377304238
trafficfore,2615,14.527777777777779,68.83279389904787
diasbp,2615,14.527777777777779,68.83299614905592
eclfore,2615,14.527777777777779,68.83281338136344
sysbp,2615,14.527777777777779,68.83301582573833
ecgclass,2615,14.527777777777779,68.83316489611441
