task,send_time_s,latency_ms,phase
ecgclass,0.0001,224.857,1
ecgclass,0.1210,149.048,1
ecgclass,0.2377,52.875,1
ecgclass,0.3567,26.899,1
ecgclass,0.3706,30.400,1
ecgclass,0.3753,42.893,1
ecgclass,0.4480,42.584,1
ecgclass,0.5186,44.071,1
ecgclass,0.6742,20.084,1
ecgclass,0.6789,32.426,1
ecgclass,0.7305,20.046,1
ecgclass,0.7341,33.586,1
ecgclass,0.7889,18.082,1
ecgclass,0.8759,19.857,1
ecgclass,0.8951,34.463,1
ecgclass,0.9568,20.135,1
ecgclass,0.9644,31.023,1
ecgclass,0.9690,43.473,1
ecgclass,0.9846,47.576,1
ecgclass,1.0297,19.440,1
ecgclass,1.0503,18.028,1
ecgclass,1.1125,19.556,1
ecgclass,1.1232,26.298,1
ecgclass,1.2156,20.919,1
ecgclass,1.2764,48.576,1
ecgclass,1.3096,33.056,1
ecgclass,1.3302,30.803,1
ecgclass,1.3529,27.098,1
ecgclass,1.3568,40.618,1
ecgclass,1.3662,49.810,1
ecgclass,1.4005,33.169,1
ecgclass,1.4201,32.200,1
ecgclass,1.4834,21.068,1
ecgclass,1.5186,20.176,1
ecgclass,1.5304,26.268,1
ecgclass,1.5530,21.956,1
ecgclass,1.5851,26.304,1
ecgclass,1.6038,44.340,1
ecgclass,1.6186,49.671,1
ecgclass,1.6640,40.462,1
ecgclass,1.6785,42.977,1
ecgclass,1.7446,19.308,1
ecgclass,1.8136,19.173,1
ecgclass,1.8684,50.033,1
ecgclass,1.8715,46.948,1
ecgclass,1.9286,19.972,1
ecgclass,1.9958,19.995,1
ecgclass,2.0515,19.468,1
ecgclass,2.0662,22.412,1
ecgclass,2.0822,24.463,1
ecgclass,2.0908,35.228,1
ecgclass,2.1077,35.768,1
ecgclass,2.1093,51.821,1
ecgclass,2.1178,43.321,1
ecgclass,2.1837,36.290,1
ecgclass,2.3830,18.975,1
ecgclass,2.4122,19.865,1
ecgclass,2.4269,22.932,1
ecgclass,2.4463,21.570,1
ecgclass,2.4640,21.619,1
ecgclass,2.4700,32.813,1
ecgclass,2.5237,28.841,1
ecgclass,2.5927,20.758,1
ecgclass,2.6678,34.921,1
ecgclass,2.9345,19.158,1
ecgclass,3.0390,21.138,1
ecgclass,3.1213,26.094,1
