task,send_time_s,latency_ms,phase
ecgclass,0.0001,217.656,1
ecgclass,0.1206,132.301,1
ecgclass,0.2376,49.031,1
ecgclass,0.3570,52.519,1
ecgclass,0.3716,73.710,1
ecgclass,0.3751,105.116,1
ecgclass,0.4475,67.223,1
ecgclass,0.5188,46.983,1
ecgclass,0.6748,46.638,1
ecgclass,0.6785,78.542,1
ecgclass,0.7316,42.389,1
ecgclass,0.7344,74.222,1
ecgclass,0.7891,36.197,1
ecgclass,0.8750,20.015,1
ecgclass,0.8945,33.606,1
ecgclass,0.9563,19.931,1
ecgclass,0.9639,29.980,1
ecgclass,0.9685,42.924,1
ecgclass,0.9840,60.666,1
ecgclass,1.0293,32.358,1
ecgclass,1.0499,27.791,1
ecgclass,1.1128,19.675,1
ecgclass,1.1235,25.781,1
ecgclass,1.2154,19.666,1
ecgclass,1.2770,46.294,1
ecgclass,1.3098,30.956,1
ecgclass,1.3305,28.687,1
ecgclass,1.3530,23.333,1
ecgclass,1.3568,36.776,1
ecgclass,1.3663,45.227,1
ecgclass,1.4007,29.090,1
ecgclass,1.4197,29.211,1
ecgclass,1.4831,35.532,1
ecgclass,1.5183,19.245,1
ecgclass,1.5300,24.488,1
ecgclass,1.5539,19.251,1
ecgclass,1.5854,24.075,1
ecgclass,1.6030,41.972,1
ecgclass,1.6196,59.892,1
ecgclass,1.6623,52.495,1
ecgclass,1.6780,53.925,1
ecgclass,1.7441,19.216,1
ecgclass,1.8136,20.487,1
ecgclass,1.8680,49.468,1
ecgclass,1.8717,63.146,1
ecgclass,1.9287,22.627,1
ecgclass,1.9955,19.512,1
ecgclass,2.0519,18.447,1
ecgclass,2.0665,21.173,1
ecgclass,2.0826,22.555,1
ecgclass,2.0908,33.465,1
ecgclass,2.1083,32.750,1
ecgclass,2.1087,49.108,1
ecgclass,2.1172,58.462,1
ecgclass,2.1838,41.181,1
ecgclass,2.3835,19.215,1
ecgclass,2.4108,20.113,1
ecgclass,2.4255,23.433,1
ecgclass,2.4452,21.433,1
ecgclass,2.4631,20.857,1
ecgclass,2.4697,30.558,1
ecgclass,2.5251,25.626,1
ecgclass,2.5929,20.773,1
ecgclass,2.6679,33.416,1
ecgclass,2.9342,19.633,1
ecgclass,3.0389,21.214,1
ecgclass,3.1211,27.707,1
ecgclass,3.1740,19.663,1
ecgclass,3.2038,20.626,1
ecgclass,3.2054,36.105,1
ecgclass,3.2533,42.292,1
ecgclass,3.2840,28.665,1
ecgclass,3.3595,18.555,1
ecgclass,3.4623,27.061,1
ecgclass,3.4780,28.710,1
ecgclass,3.4797,44.123,1
ecgclass,3.5259,18.343,1
ecgclass,3.6542,20.095,1
