task,send_time_s,latency_ms,phase
ecgclass,0.0001,1053.575,1
ecgclass,0.3010,784.508,1
ecgclass,0.5929,534.807,1
ecgclass,0.8912,279.997,1
ecgclass,0.9267,244.571,1
ecgclass,0.9371,276.483,1
ecgclass,1.1183,139.038,1
ecgclass,1.2945,45.307,1
ecgclass,1.6860,27.600,1
ecgclass,1.6964,41.645,1
ecgclass,1.8264,26.262,1
ecgclass,1.8348,40.302,1
ecgclass,1.9713,23.672,1
ecgclass,2.1876,25.756,1
ecgclass,2.2356,27.380,1
ecgclass,2.3895,38.017,1
ecgclass,2.4092,45.631,1
ecgclass,2.4206,34.223,1
ecgclass,2.4600,23.727,1
ecgclass,2.5736,35.548,1
ecgclass,2.6242,23.770,1
ecgclass,2.7799,23.150,1
ecgclass,2.8083,24.405,1
ecgclass,3.0390,24.748,1
ecgclass,3.1910,24.246,1
ecgclass,3.2735,24.468,1
ecgclass,3.3251,24.282,1
ecgclass,3.3818,23.795,1
ecgclass,3.3921,36.150,1
ecgclass,3.4138,36.674,1
ecgclass,3.4998,36.166,1
ecgclass,3.5481,23.549,1
ecgclass,3.7065,23.634,1
ecgclass,3.7953,23.335,1
ecgclass,3.8248,23.285,1
ecgclass,3.8822,23.339,1
ecgclass,3.9627,23.465,1
ecgclass,4.0053,23.920,1
ecgclass,4.0453,23.988,1
ecgclass,4.1555,23.897,1
ecgclass,4.1935,23.237,1
ecgclass,4.3600,23.915,1
ecgclass,4.5332,25.554,1
ecgclass,4.6690,25.120,1
ecgclass,4.6773,39.895,1
ecgclass,4.8198,41.005,1
ecgclass,4.9891,23.924,1
ecgclass,5.1292,23.629,1
ecgclass,5.1640,23.199,1
ecgclass,5.2043,24.370,1
ecgclass,5.2246,26.497,1
ecgclass,5.2702,24.239,1
ecgclass,5.2714,48.697,1
ecgclass,5.2927,27.477,1
ecgclass,5.4569,23.346,1
ecgclass,5.9581,23.714,1
ecgclass,6.0270,23.884,1
ecgclass,6.0630,23.454,1
ecgclass,6.1135,23.632,1
ecgclass,6.1573,23.520,1
ecgclass,6.1735,29.062,1
ecgclass,6.3088,24.706,1
ecgclass,6.4822,24.966,1
ecgclass,6.6692,23.050,1
ecgclass,7.3332,23.276,1
ecgclass,7.5964,23.909,1
ecgclass,7.8026,25.040,1
ecgclass,7.9337,24.426,1
ecgclass,8.0073,24.926,1
ecgclass,8.0126,42.208,1
ecgclass,8.1322,45.354,1
ecgclass,8.2097,23.121,1
ecgclass,8.3982,23.838,1
ecgclass,8.6516,23.410,1
ecgclass,8.6942,25.665,1
ecgclass,8.6996,42.624,1
ecgclass,8.8154,25.238,1
ecgclass,9.1342,24.087,1
ecgclass,9.2369,24.230,1
ecgclass,9.5029,23.031,1
ecgclass,9.5981,23.810,1
ecgclass,9.7624,37.041,1
ecgclass,9.7979,24.401,1
ecgclass,9.8141,45.489,1
ecgclass,9.8324,71.768,1
ecgclass,9.8467,57.597,1
ecgclass,9.8539,50.380,1
ecgclass,10.0678,52.915,2
ecgclass,10.1241,81.208,2
ecgclass,10.1722,76.724,2
ecgclass,10.2904,89.805,2
ecgclass,10.3129,67.314,2
ecgclass,10.5523,89.324,2
ecgclass,10.7144,53.691,2
ecgclass,10.7552,56.427,2
ecgclass,10.7809,74.339,2
ecgclass,10.8472,53.245,2
ecgclass,10.8851,59.897,2
ecgclass,10.8943,50.758,2
ecgclass,10.9576,72.679,2
ecgclass,11.2399,55.378,2
ecgclass,11.3652,61.484,2
ecgclass,11.7507,70.296,2
ecgclass,12.0057,76.373,2
ecgclass,12.1460,62.051,2
ecgclass,12.3772,50.890,2
ecgclass,12.4683,85.215,2
ecgclass,12.6012,83.589,2
ecgclass,12.6490,78.609,2
ecgclass,12.6763,51.382,2
ecgclass,12.9444,49.609,2
ecgclass,12.9624,76.130,2
ecgclass,12.9850,53.457,2
ecgclass,13.0244,58.537,2
ecgclass,13.1452,71.168,2
ecgclass,13.1973,63.403,2
ecgclass,13.2821,66.959,2
ecgclass,13.5524,64.982,2
ecgclass,13.7452,48.291,2
ecgclass,13.8913,75.467,2
ecgclass,13.9144,52.396,2
ecgclass,14.0611,80.964,2
ecgclass,14.1189,67.355,2
ecgclass,14.1341,52.125,2
ecgclass,14.1842,88.528,2
ecgclass,14.1923,80.452,2
ecgclass,14.3066,54.796,2
ecgclass,14.4289,62.191,2
ecgclass,14.4650,68.981,2
ecgclass,14.4713,62.763,2
ecgclass,14.8121,68.233,2
ecgclass,14.9132,56.674,2
ecgclass,15.0989,87.610,2
ecgclass,15.1429,89.432,2
ecgclass,15.3532,51.186,2
ecgclass,15.5576,64.267,2
ecgclass,15.5693,52.671,2
ecgclass,16.2490,77.439,2
ecgclass,16.3331,82.664,2
ecgclass,16.5072,84.720,2
ecgclass,16.5383,53.576,2
ecgclass,16.6607,61.376,2
ecgclass,16.6975,67.111,2
ecgclass,16.8981,45.405,2
ecgclass,16.9561,72.607,2
ecgclass,17.0533,63.989,2
ecgclass,17.1198,82.909,2
ecgclass,17.2143,73.896,2
ecgclass,17.2727,58.542,2
ecgclass,17.3492,71.040,2
ecgclass,17.3535,66.764,2
ecgclass,17.5512,90.085,2
ecgclass,17.8649,81.068,2
ecgclass,17.9376,53.515,2
ecgclass,18.3642,70.606,2
ecgclass,18.3839,50.876,2
ecgclass,18.7331,53.115,2
ecgclass,18.7779,51.933,2
ecgclass,18.8616,55.157,2
ecgclass,19.1662,56.986,2
ecgclass,19.1825,85.801,2
ecgclass,19.2064,61.895,2
ecgclass,19.3741,72.539,2
ecgclass,19.4969,81.501,2
ecgclass,19.5332,89.833,2
ecgclass,19.5887,78.246,2
ecgclass,19.6819,72.137,2
ecgclass,19.9195,52.691,2
ecgclass,19.9636,53.162,2
ecgclass,20.0594,254.330,2
ecgclass,20.1035,245.941,2
ecgclass,20.1418,248.674,2
ecgclass,20.4091,67.142,2
ecgclass,20.4780,88.178,2
ecgclass,20.6457,48.439,2
ecgclass,20.6831,54.152,2
ecgclass,20.7063,75.050,2
ecgclass,20.8500,63.519,2
ecgclass,21.0268,56.355,2
ecgclass,21.1457,69.854,2
ecgclass,21.2944,52.310,2
ecgclass,21.4215,58.220,2
ecgclass,21.5583,52.820,2
ecgclass,21.8402,77.685,2
ecgclass,22.1939,73.571,2
ecgclass,22.2759,79.331,2
ecgclass,22.2872,68.057,2
ecgclass,22.4635,66.429,2
ecgclass,22.5681,49.947,2
ecgclass,22.8739,50.976,2
ecgclass,23.0041,53.608,2
ecgclass,23.0209,80.680,2
ecgclass,23.1527,78.015,2
ecgclass,23.2240,52.720,2
ecgclass,23.2381,84.009,2
ecgclass,23.2723,92.640,2
ecgclass,23.7081,87.083,2
ecgclass,23.7572,81.991,2
ecgclass,23.7907,48.621,2
ecgclass,23.8447,82.925,2
ecgclass,24.1032,86.766,2
ecgclass,24.2401,77.494,2
ecgclass,24.2642,53.396,2
ecgclass,24.2654,94.690,2
ecgclass,24.3201,84.420,2
ecgclass,24.3388,65.752,2
ecgclass,24.5973,72.615,2
ecgclass,24.6116,58.462,2
ecgclass,24.6967,60.454,2
ecgclass,24.8238,64.892,2
ecgclass,25.1824,53.513,2
ecgclass,25.2188,61.718,2
ecgclass,25.4350,65.541,2
ecgclass,25.5310,58.511,2
ecgclass,25.7473,56.587,2
ecgclass,25.7924,56.525,2
ecgclass,25.8333,60.242,2
ecgclass,25.8651,73.035,2
ecgclass,25.9964,75.979,2
ecgclass,26.0765,82.734,2
ecgclass,26.1852,62.393,2
ecgclass,26.3451,79.345,2
ecgclass,26.4898,64.003,2
ecgclass,26.6199,69.665,2
ecgclass,26.7961,68.957,2
ecgclass,26.7993,65.769,2
ecgclass,26.9872,49.353,2
ecgclass,27.1507,62.461,2
ecgclass,27.2052,51.539,2
ecgclass,27.2348,67.704,2
ecgclass,27.3256,64.233,2
ecgclass,27.5767,71.101,2
ecgclass,27.6181,74.535,2
ecgclass,27.7966,67.474,2
ecgclass,28.1678,93.311,2
ecgclass,28.2179,86.601,2
ecgclass,28.7562,73.571,2
ecgclass,28.7635,66.336,2
ecgclass,28.7677,105.007,2
ecgclass,29.0007,48.465,2
ecgclass,29.0804,57.736,2
ecgclass,29.1571,70.230,2
ecgclass,29.4017,89.266,2
ecgclass,29.7112,86.632,2
ecgclass,29.8138,71.907,2
ecgclass,30.0774,70.096,2
ecgclass,30.2035,73.371,2
ecgclass,30.2665,55.924,2
ecgclass,30.2969,70.341,2
ecgclass,30.4683,74.898,2
ecgclass,30.7366,71.668,2
ecgclass,31.0701,49.633,2
ecgclass,31.1082,55.427,2
ecgclass,31.2359,58.439,2
ecgclass,31.2998,81.144,2
ecgclass,31.5145,88.183,2
ecgclass,31.5436,59.152,2
ecgclass,31.5490,97.833,2
ecgclass,31.5947,97.326,2
ecgclass,31.6026,89.443,2
ecgclass,31.6624,75.913,2
ecgclass,31.7225,60.795,2
ecgclass,31.7370,90.097,2
ecgclass,32.1231,53.291,2
ecgclass,32.1609,59.782,2
ecgclass,32.3100,87.546,2
ecgclass,32.3352,62.402,2
ecgclass,32.3987,84.216,2
ecgclass,32.4106,72.278,2
ecgclass,32.4258,102.270,2
ecgclass,32.4270,144.692,2
ecgclass,32.6284,74.396,2
ecgclass,32.6725,74.110,2
ecgclass,32.7591,77.017,2
ecgclass,32.8677,53.425,2
ecgclass,32.8908,72.986,2
ecgclass,33.2571,55.077,2
ecgclass,33.3261,75.939,2
ecgclass,33.3346,67.399,2
ecgclass,33.3482,98.494,2
ecgclass,33.4104,79.900,2
ecgclass,33.4262,64.102,2
ecgclass,33.4672,66.594,2
ecgclass,33.5602,62.864,2
ecgclass,33.5655,57.637,2
ecgclass,33.6101,58.287,2
ecgclass,33.8066,80.809,2
ecgclass,33.8168,70.603,2
ecgclass,33.9368,82.129,2
ecgclass,33.9431,75.929,2
ecgclass,34.2785,48.050,2
ecgclass,34.3095,61.938,2
ecgclass,34.3402,75.216,2
ecgclass,34.4768,68.256,2
ecgclass,34.7594,48.121,2
ecgclass,35.1575,86.290,2
ecgclass,35.3299,46.343,2
ecgclass,35.5461,51.841,2
ecgclass,35.6840,90.773,2
ecgclass,35.7071,67.663,2
ecgclass,35.8530,54.709,2
ecgclass,35.8740,78.979,2
ecgclass,35.9980,85.035,2
ecgclass,36.0935,74.539,2
ecgclass,36.1384,75.849,2
ecgclass,36.2267,76.470,2
ecgclass,36.3393,50.604,2
ecgclass,36.3685,66.929,2
ecgclass,36.4207,59.210,2
ecgclass,36.4733,51.958,2
ecgclass,36.4876,81.139,2
ecgclass,36.5249,85.860,2
ecgclass,36.6524,90.750,2
ecgclass,36.8015,70.435,2
ecgclass,36.8731,83.535,2
ecgclass,36.9486,52.540,2
ecgclass,36.9981,47.898,2
ecgclass,37.1441,91.112,2
ecgclass,37.1944,84.926,2
ecgclass,37.3149,52.729,2
ecgclass,37.3947,62.040,2
ecgclass,37.4694,75.638,2
ecgclass,37.8294,68.537,2
ecgclass,38.0969,64.396,2
ecgclass,38.2157,79.219,2
ecgclass,38.3652,64.421,2
ecgclass,38.3846,87.935,2
ecgclass,38.4420,73.771,2
ecgclass,38.6044,88.617,2
ecgclass,38.7330,48.321,2
ecgclass,38.7624,64.385,2
ecgclass,39.1504,68.587,2
ecgclass,39.1548,64.224,2
ecgclass,39.2944,52.378,2
ecgclass,39.3062,84.693,2
ecgclass,39.6135,86.509,2
ecgclass,39.6238,76.161,2
ecgclass,39.8177,56.834,2
ecgclass,39.8419,77.929,2
ecgclass,40.4087,85.924,2
ecgclass,40.4805,57.566,2
ecgclass,40.6276,87.348,2
ecgclass,40.7495,55.969,2
ecgclass,40.8335,63.228,2
ecgclass,41.0143,56.340,2
ecgclass,41.1065,52.727,2
ecgclass,41.4494,63.248,2
ecgclass,41.4571,55.551,2
ecgclass,42.1263,89.427,2
ecgclass,42.2301,75.231,2
ecgclass,42.2669,85.429,2
ecgclass,42.3405,54.426,2
ecgclass,42.4958,74.651,2
ecgclass,42.6197,80.399,2
ecgclass,42.8805,81.852,2
ecgclass,43.1663,64.165,2
ecgclass,43.2836,80.065,2
ecgclass,43.4805,61.000,2
ecgclass,43.5648,65.741,2
ecgclass,43.5788,51.780,2
ecgclass,43.6472,72.685,2
ecgclass,43.6833,82.056,2
ecgclass,44.0028,69.691,2
