task,send_time_s,latency_ms,phase
gestureclass,0.0002,393.636,1
gestureclass,0.1268,267.105,1
gestureclass,0.1893,204.632,1
gestureclass,0.2197,199.684,1
gestureclass,0.3922,50.180,1
gestureclass,0.6599,24.007,1
gestureclass,0.9946,24.879,1
gestureclass,1.0316,23.886,1
gestureclass,1.1594,24.376,1
gestureclass,1.2239,28.303,1
gestureclass,1.4374,25.383,1
gestureclass,1.4649,24.813,1
gestureclass,1.4722,39.934,1
gestureclass,1.5173,23.692,1
gestureclass,1.5275,35.617,1
gestureclass,1.5853,23.950,1
gestureclass,1.6464,24.081,1
gestureclass,1.6607,32.206,1
gestureclass,2.0463,24.572,1
gestureclass,2.0851,23.385,1
gestureclass,2.2342,24.484,1
gestureclass,2.2586,45.038,1
gestureclass,2.3227,24.024,1
gestureclass,2.3341,35.748,1
gestureclass,2.3489,46.862,1
gestureclass,2.3502,45.597,1
gestureclass,2.5517,25.103,1
gestureclass,2.5959,32.609,1
gestureclass,2.6826,23.675,1
gestureclass,2.7920,39.313,1
gestureclass,2.8142,43.994,1
gestureclass,3.1803,25.793,1
gestureclass,3.2493,25.125,1
gestureclass,3.2596,40.982,1
gestureclass,3.2719,28.725,1
gestureclass,3.3352,37.519,1
gestureclass,3.3494,47.135,1
gestureclass,3.3903,44.273,1
gestureclass,3.4831,24.794,1
gestureclass,3.4884,45.719,1
gestureclass,3.5339,24.194,1
gestureclass,3.7302,24.425,1
gestureclass,3.7390,37.841,1
gestureclass,3.8617,24.144,1
gestureclass,3.8669,44.705,1
gestureclass,4.2028,37.350,1
gestureclass,4.2333,29.219,1
gestureclass,4.2637,23.219,1
gestureclass,4.4006,23.760,1
gestureclass,4.6823,36.733,1
gestureclass,5.0819,24.674,1
gestureclass,5.2542,24.766,1
gestureclass,5.4699,35.374,1
gestureclass,5.6065,24.726,1
gestureclass,5.6309,23.146,1
gestureclass,5.7764,25.265,1
gestureclass,5.7978,26.563,1
gestureclass,5.9216,24.434,1
gestureclass,6.0177,24.293,1
gestureclass,6.0612,30.976,1
