task,send_time_s,latency_ms,phase
ecgclass,0.0002,457.963,1
ecgclass,0.1210,382.029,1
ecgclass,0.2378,301.607,1
ecgclass,0.3579,181.508,1
ecgclass,0.3711,199.191,1
ecgclass,0.3749,228.989,1
ecgclass,0.4483,155.660,1
ecgclass,0.5187,116.771,1
ecgclass,0.6744,30.249,1
ecgclass,0.6790,47.693,1
ecgclass,0.7309,25.011,1
ecgclass,0.7345,43.335,1
ecgclass,0.7892,25.260,1
ecgclass,0.8758,25.346,1
ecgclass,0.8954,27.214,1
ecgclass,0.9569,26.947,1
ecgclass,0.9645,44.801,1
ecgclass,0.9690,40.305,1
ecgclass,0.9839,50.414,1
ecgclass,1.0296,27.479,1
ecgclass,1.0506,28.312,1
ecgclass,1.1122,26.810,1
ecgclass,1.1238,37.800,1
ecgclass,1.2154,25.061,1
ecgclass,1.2773,33.963,1
ecgclass,1.3103,48.856,1
ecgclass,1.3307,28.445,1
ecgclass,1.3546,29.237,1
ecgclass,1.3572,49.591,1
ecgclass,1.3661,40.691,1
ecgclass,1.4001,29.277,1
ecgclass,1.4210,30.577,1
ecgclass,1.4830,25.131,1
ecgclass,1.5184,34.307,1
ecgclass,1.5300,44.840,1
ecgclass,1.5528,43.082,1
ecgclass,1.5852,33.906,1
ecgclass,1.6022,39.896,1
ecgclass,1.6187,48.720,1
ecgclass,1.6624,28.303,1
ecgclass,1.6777,32.593,1
ecgclass,1.7446,23.583,1
ecgclass,1.8134,21.070,1
ecgclass,1.8675,27.986,1
ecgclass,1.8717,42.143,1
ecgclass,1.9287,26.205,1
ecgclass,1.9961,19.464,1
ecgclass,2.0526,20.381,1
ecgclass,2.0672,24.221,1
ecgclass,2.0832,27.478,1
ecgclass,2.0909,38.263,1
ecgclass,2.1087,42.236,1
ecgclass,2.1088,42.088,1
ecgclass,2.1180,32.964,1
ecgclass,2.1832,20.820,1
ecgclass,2.3847,20.111,1
ecgclass,2.4110,31.657,1
ecgclass,2.4259,39.556,1
ecgclass,2.4449,39.341,1
ecgclass,2.4645,37.541,1
ecgclass,2.4699,32.185,1
ecgclass,2.5243,19.579,1
ecgclass,2.5932,20.338,1
ecgclass,2.6680,19.442,1
ecgclass,2.9339,26.915,1
ecgclass,3.0397,30.573,1
ecgclass,3.1212,30.117,1
ecgclass,3.1736,24.793,1
ecgclass,3.2037,25.798,1
ecgclass,3.2052,47.324,1
ecgclass,3.2526,25.090,1
ecgclass,3.2840,39.593,1
ecgclass,3.3602,25.140,1
ecgclass,3.4613,29.922,1
ecgclass,3.4784,35.589,1
ecgclass,3.4800,34.010,1
ecgclass,3.5263,32.061,1
ecgclass,3.6547,33.217,1
ecgclass,3.6952,46.027,1
ecgclass,3.8025,32.363,1
ecgclass,3.8392,42.549,1
ecgclass,3.9052,25.765,1
ecgclass,3.9198,35.368,1
ecgclass,3.9263,28.819,1
ecgclass,3.9332,46.094,1
ecgclass,3.9398,39.526,1
ecgclass,3.9423,36.976,1
ecgclass,4.0282,24.457,1
ecgclass,4.0498,26.150,1
ecgclass,4.0696,30.852,1
ecgclass,4.1167,28.073,1
ecgclass,4.1258,40.437,1
ecgclass,4.2212,25.781,1
ecgclass,4.2862,45.361,1
ecgclass,4.3024,29.181,1
ecgclass,4.3131,41.435,1
ecgclass,4.3389,39.582,1
ecgclass,4.3540,47.155,1
ecgclass,4.3578,43.429,1
ecgclass,4.3836,39.158,1
ecgclass,4.4957,44.733,1
ecgclass,4.5467,25.680,1
ecgclass,4.7002,26.313,1
ecgclass,4.8027,38.282,1
ecgclass,4.8592,29.546,1
ecgclass,4.9516,48.459,1
ecgclass,4.9876,35.390,1
ecgclass,5.0423,25.163,1
ecgclass,5.0599,30.317,1
ecgclass,5.0707,41.808,1
ecgclass,5.1778,27.936,1
ecgclass,5.1854,48.633,1
ecgclass,5.1961,38.101,1
ecgclass,5.2100,48.737,1
ecgclass,5.2584,45.896,1
ecgclass,5.2790,47.914,1
ecgclass,5.3146,33.764,1
ecgclass,5.4213,46.508,1
ecgclass,5.4981,38.448,1
ecgclass,5.5569,25.563,1
ecgclass,5.5655,40.912,1
ecgclass,5.6257,25.063,1
ecgclass,5.6483,25.785,1
ecgclass,5.6540,42.361,1
ecgclass,5.6737,44.708,1
ecgclass,5.6773,41.116,1
ecgclass,5.7237,24.228,1
ecgclass,5.7714,25.330,1
ecgclass,5.7866,33.246,1
ecgclass,5.7891,30.698,1
ecgclass,5.9250,24.538,1
ecgclass,5.9658,24.896,1
ecgclass,6.0400,26.989,1
ecgclass,6.0576,33.746,1
ecgclass,6.1416,27.232,1
ecgclass,6.2242,31.912,1
ecgclass,6.2288,57.378,1
ecgclass,6.4995,24.480,1
ecgclass,6.5338,46.694,1
ecgclass,6.6032,50.299,1
ecgclass,6.6158,37.754,1
ecgclass,6.6646,25.812,1
ecgclass,6.6796,35.511,1
ecgclass,6.7595,44.573,1
ecgclass,6.7832,44.389,1
ecgclass,6.8234,25.867,1
ecgclass,6.8483,24.069,1
ecgclass,6.8866,31.544,1
ecgclass,6.9095,32.871,1
ecgclass,6.9406,47.725,1
ecgclass,6.9417,46.665,1
ecgclass,7.0211,24.220,1
ecgclass,7.1468,24.854,1
ecgclass,7.1759,39.155,1
ecgclass,7.3463,32.788,1
ecgclass,7.3541,47.344,1
ecgclass,7.4942,37.149,1
ecgclass,7.5119,41.647,1
ecgclass,7.5457,29.182,1
ecgclass,7.6680,31.842,1
ecgclass,7.6736,48.829,1
ecgclass,7.6828,39.646,1
ecgclass,7.7500,47.308,1
ecgclass,7.7996,24.761,1
ecgclass,7.8142,32.509,1
ecgclass,7.8356,32.797,1
ecgclass,7.8737,24.305,1
ecgclass,7.9681,23.153,1
ecgclass,7.9857,26.731,1
ecgclass,8.0247,21.645,1
ecgclass,8.0423,23.737,1
ecgclass,8.0576,25.810,1
ecgclass,8.1635,27.337,1
ecgclass,8.1922,35.034,1
ecgclass,8.2585,20.242,1
ecgclass,8.2740,22.603,1
ecgclass,8.2830,30.574,1
ecgclass,8.3408,19.650,1
ecgclass,8.4118,19.854,1
ecgclass,8.4589,20.085,1
ecgclass,8.5183,23.406,1
ecgclass,8.5696,26.974,1
ecgclass,8.6233,20.007,1
ecgclass,8.7362,20.945,1
ecgclass,8.8777,24.452,1
ecgclass,8.9104,24.945,1
ecgclass,8.9150,42.440,1
ecgclass,8.9853,39.165,1
ecgclass,9.0278,23.560,1
ecgclass,9.1497,26.853,1
ecgclass,9.2017,51.081,1
ecgclass,9.2093,43.576,1
ecgclass,9.2613,41.857,1
ecgclass,9.2903,36.927,1
ecgclass,9.2959,31.357,1
ecgclass,9.3093,39.506,1
ecgclass,9.4831,28.959,1
ecgclass,9.5037,34.903,1
ecgclass,9.5164,45.942,1
ecgclass,9.5383,46.894,1
ecgclass,9.6421,25.326,1
ecgclass,9.6963,37.485,1
ecgclass,9.7061,51.571,1
ecgclass,9.7063,51.438,1
ecgclass,9.7290,28.721,1
ecgclass,9.7360,43.551,1
ecgclass,9.8399,27.962,1
ecgclass,9.8445,51.483,1
ecgclass,9.8791,41.401,1
