task,send_time_s,latency_ms,phase
ecgclass,0.0002,271.132,1
ecgclass,0.1211,173.914,1
ecgclass,0.2381,56.900,1
ecgclass,0.3574,22.258,1
ecgclass,0.3722,29.320,1
ecgclass,0.3750,26.519,1
ecgclass,0.4490,24.511,1
ecgclass,0.5187,23.255,1
ecgclass,0.6749,24.825,1
ecgclass,0.6785,51.219,1
ecgclass,0.7310,28.512,1
ecgclass,0.7346,48.679,1
ecgclass,0.7885,23.458,1
ecgclass,0.8753,23.099,1
ecgclass,0.8949,28.537,1
ecgclass,0.9567,27.248,1
ecgclass,0.9643,45.971,1
ecgclass,0.9688,41.491,1
ecgclass,0.9839,48.340,1
ecgclass,1.0307,23.247,1
ecgclass,1.0515,23.584,1
ecgclass,1.1123,26.055,1
ecgclass,1.1239,38.120,1
ecgclass,1.2159,23.860,1
ecgclass,1.2767,24.179,1
ecgclass,1.3111,25.961,1
ecgclass,1.3305,29.557,1
ecgclass,1.3533,29.153,1
ecgclass,1.3567,25.825,1
ecgclass,1.3664,37.698,1
ecgclass,1.4018,23.772,1
ecgclass,1.4193,27.387,1
ecgclass,1.4835,23.130,1
ecgclass,1.5189,23.308,1
ecgclass,1.5308,33.041,1
ecgclass,1.5535,32.115,1
ecgclass,1.5852,23.753,1
ecgclass,1.6029,27.686,1
ecgclass,1.6192,32.705,1
ecgclass,1.6622,23.211,1
ecgclass,1.6778,29.291,1
ecgclass,1.7443,23.841,1
ecgclass,1.8143,24.246,1
ecgclass,1.8675,24.756,1
ecgclass,1.8721,44.624,1
ecgclass,1.9280,22.856,1
ecgclass,1.9960,23.301,1
ecgclass,2.0531,24.482,1
ecgclass,2.0660,35.200,1
ecgclass,2.0819,43.956,1
ecgclass,2.0905,35.379,1
ecgclass,2.1085,40.532,1
ecgclass,2.1089,40.203,1
ecgclass,2.1175,31.655,1
ecgclass,2.1834,24.052,1
ecgclass,2.3836,23.062,1
ecgclass,2.4110,23.079,1
ecgclass,2.4270,30.636,1
ecgclass,2.4459,34.521,1
ecgclass,2.4638,39.059,1
ecgclass,2.4704,32.436,1
ecgclass,2.5241,23.337,1
ecgclass,2.5934,26.833,1
ecgclass,2.6681,23.970,1
ecgclass,2.9347,24.847,1
ecgclass,3.0404,27.617,1
ecgclass,3.1211,28.362,1
ecgclass,3.1731,27.275,1
ecgclass,3.2037,30.243,1
ecgclass,3.2052,53.689,1
ecgclass,3.2537,28.867,1
ecgclass,3.2848,24.245,1
ecgclass,3.3601,23.172,1
ecgclass,3.4608,23.738,1
ecgclass,3.4777,34.930,1
ecgclass,3.4803,32.381,1
ecgclass,3.5269,25.064,1
ecgclass,3.6543,30.358,1
ecgclass,3.6950,28.849,1
ecgclass,3.8016,26.122,1
ecgclass,3.8397,28.944,1
ecgclass,3.9059,28.493,1
ecgclass,3.9205,45.201,1
ecgclass,3.9261,39.688,1
ecgclass,3.9337,63.313,1
ecgclass,3.9396,57.434,1
ecgclass,3.9422,54.864,1
ecgclass,4.0279,22.942,1
ecgclass,4.0498,25.169,1
ecgclass,4.0697,27.261,1
ecgclass,4.1162,28.360,1
ecgclass,4.1260,40.871,1
ecgclass,4.2213,23.787,1
ecgclass,4.2861,24.362,1
ecgclass,4.3022,30.422,1
ecgclass,4.3124,42.564,1
ecgclass,4.3389,37.903,1
ecgclass,4.3544,44.963,1
ecgclass,4.3582,41.147,1
ecgclass,4.3831,37.542,1
ecgclass,4.4965,25.328,1
ecgclass,4.5461,25.753,1
ecgclass,4.7002,23.884,1
ecgclass,4.8025,24.295,1
ecgclass,4.8583,26.850,1
ecgclass,4.9508,26.857,1
ecgclass,4.9879,27.701,1
ecgclass,5.0409,29.471,1
ecgclass,5.0605,37.811,1
ecgclass,5.0704,56.068,1
ecgclass,5.1798,29.163,1
ecgclass,5.1854,49.721,1
