task,send_time_s,latency_ms,phase
gestureclass,0.0003,341.972,1
gestureclass,0.0441,298.397,1
gestureclass,0.1362,237.854,1
gestureclass,0.1610,213.161,1
gestureclass,0.3717,55.288,1
gestureclass,0.4116,37.191,1
gestureclass,0.4835,23.889,1
gestureclass,0.5292,35.578,1
gestureclass,0.5647,24.430,1
gestureclass,0.5944,24.530,1
gestureclass,0.5948,45.232,1
gestureclass,0.7913,43.454,1
gestureclass,0.8451,23.753,1
gestureclass,0.9826,47.590,1
gestureclass,1.1839,24.752,1
gestureclass,1.2614,25.609,1
gestureclass,1.2856,48.874,1
gestureclass,1.3171,41.475,1
gestureclass,1.3216,61.054,1
gestureclass,1.4400,31.838,1
gestureclass,1.4997,31.094,1
gestureclass,1.6368,27.369,1
gestureclass,1.7584,34.312,1
gestureclass,1.7600,32.757,1
gestureclass,1.8490,26.839,1
gestureclass,1.8556,43.806,1
gestureclass,1.8592,63.391,1
gestureclass,1.9164,28.320,1
gestureclass,1.9459,41.476,1
gestureclass,2.0257,24.331,1
gestureclass,2.1885,44.447,1
gestureclass,2.2165,37.888,1
gestureclass,2.2627,25.229,1
gestureclass,2.2628,47.107,1
gestureclass,2.2745,35.386,1
gestureclass,2.3302,25.124,1
gestureclass,2.3304,46.444,1
gestureclass,2.3835,46.742,1
gestureclass,2.4326,45.580,1
gestureclass,2.4381,40.016,1
gestureclass,2.5682,22.014,1
gestureclass,2.6404,22.423,1
gestureclass,2.7606,26.128,1
gestureclass,2.7683,38.676,1
gestureclass,2.8382,22.976,1
gestureclass,2.8598,24.288,1
gestureclass,3.0122,28.635,1
gestureclass,3.0451,47.526,1
gestureclass,3.0928,23.143,1
gestureclass,3.1094,26.685,1
gestureclass,3.1423,30.974,1
gestureclass,3.2111,31.065,1
gestureclass,3.2650,31.714,1
gestureclass,3.2651,31.596,1
gestureclass,3.2668,29.976,1
gestureclass,3.2980,34.098,1
gestureclass,3.3740,23.207,1
gestureclass,3.4195,20.275,1
gestureclass,3.4300,27.593,1
gestureclass,3.5109,23.536,1
gestureclass,3.6792,22.122,1
gestureclass,3.7006,38.468,1
gestureclass,3.7327,23.767,1
gestureclass,3.7617,19.943,1
gestureclass,3.7793,19.815,1
gestureclass,3.8004,20.371,1
gestureclass,3.8185,43.115,1
gestureclass,3.8290,32.617,1
gestureclass,3.8316,30.069,1
gestureclass,3.8498,30.090,1
gestureclass,3.9575,29.517,1
gestureclass,3.9779,27.010,1
gestureclass,3.9903,31.761,1
gestureclass,4.0682,23.522,1
gestureclass,4.0939,38.143,1
gestureclass,4.1664,21.530,1
gestureclass,4.2237,40.129,1
gestureclass,4.2811,22.907,1
gestureclass,4.2992,27.848,1
gestureclass,4.3429,29.275,1
gestureclass,4.4890,27.916,1
gestureclass,4.5553,40.715,1
gestureclass,4.6163,24.981,1
gestureclass,4.6466,24.201,1
gestureclass,4.7056,44.367,1
gestureclass,4.7422,30.746,1
gestureclass,4.7513,44.802,1
gestureclass,4.7689,27.212,1
gestureclass,4.7772,40.932,1
gestureclass,4.8324,30.768,1
gestureclass,4.8370,50.678,1
gestureclass,4.8416,46.015,1
gestureclass,4.8522,58.195,1
gestureclass,4.8774,33.012,1
