task,send_time_s,latency_ms,phase
gestureclass,0.0002,379.822,1
gestureclass,0.1267,320.075,1
gestureclass,0.1892,257.607,1
gestureclass,0.2197,227.161,1
gestureclass,0.3923,77.742,1
gestureclass,0.6600,24.398,1
gestureclass,0.9935,24.354,1
gestureclass,1.0320,23.528,1
gestureclass,1.1598,24.475,1
gestureclass,1.2234,24.427,1
gestureclass,1.4386,24.062,1
gestureclass,1.4648,23.570,1
gestureclass,1.4721,38.601,1
gestureclass,1.5178,23.151,1
gestureclass,1.5261,37.138,1
gestureclass,1.5854,23.250,1
gestureclass,1.6468,23.316,1
gestureclass,1.6611,33.561,1
gestureclass,2.0478,24.738,1
gestureclass,2.0846,23.590,1
gestureclass,2.2338,41.852,1
gestureclass,2.2585,40.184,1
gestureclass,2.3228,23.887,1
gestureclass,2.3342,36.031,1
gestureclass,2.3489,52.753,1
gestureclass,2.3501,51.485,1
gestureclass,2.5523,25.346,1
gestureclass,2.5967,24.157,1
gestureclass,2.6824,24.718,1
gestureclass,2.7918,38.483,1
gestureclass,2.8137,50.206,1
gestureclass,3.1802,35.745,1
gestureclass,3.2488,25.337,1
gestureclass,3.2593,63.557,1
gestureclass,3.2718,51.082,1
gestureclass,3.3353,34.364,1
gestureclass,3.3496,49.376,1
gestureclass,3.3901,52.559,1
gestureclass,3.4839,30.314,1
gestureclass,3.4882,58.694,1
gestureclass,3.5334,56.002,1
gestureclass,3.7295,24.565,1
gestureclass,3.7386,38.032,1
gestureclass,3.8604,25.108,1
gestureclass,3.8667,59.274,1
gestureclass,4.2015,33.682,1
gestureclass,4.2335,24.504,1
gestureclass,4.2641,23.130,1
gestureclass,4.4003,24.105,1
gestureclass,4.6823,38.431,1
gestureclass,5.0812,24.475,1
gestureclass,5.2534,28.306,1
gestureclass,5.4698,31.105,1
gestureclass,5.6072,24.488,1
gestureclass,5.6306,23.721,1
gestureclass,5.7766,24.454,1
gestureclass,5.7970,26.964,1
gestureclass,5.9212,25.039,1
gestureclass,6.0176,32.872,1
gestureclass,6.0619,43.091,1
gestureclass,6.1501,37.356,1
gestureclass,6.2630,24.781,1
gestureclass,6.2919,25.828,1
gestureclass,6.3446,23.692,1
gestureclass,6.3974,23.676,1
gestureclass,6.4117,32.092,1
gestureclass,6.4479,23.150,1
gestureclass,6.5770,24.264,1
gestureclass,6.7252,24.361,1
gestureclass,6.7967,23.705,1
gestureclass,6.8716,24.101,1
gestureclass,6.9228,24.185,1
gestureclass,7.0672,24.704,1
gestureclass,7.1191,23.836,1
gestureclass,7.2382,24.735,1
gestureclass,7.3181,28.602,1
gestureclass,7.3935,23.916,1
gestureclass,7.7525,24.932,1
gestureclass,8.0207,38.188,1
gestureclass,8.1392,35.076,1
gestureclass,8.2887,25.117,1
gestureclass,8.3080,28.377,1
gestureclass,8.3656,23.256,1
gestureclass,8.5279,24.757,1
gestureclass,8.6563,39.889,1
gestureclass,8.6856,52.711,1
gestureclass,9.0735,25.026,1
gestureclass,9.0789,42.407,1
gestureclass,9.2174,26.168,1
gestureclass,9.2297,53.478,1
gestureclass,9.5378,24.713,1
gestureclass,9.5482,37.624,1
gestureclass,9.7412,25.768,1
gestureclass,9.7640,42.344,1
gestureclass,10.3331,26.267,2
gestureclass,10.3382,48.385,2
gestureclass,10.3524,34.232,2
gestureclass,10.3625,63.646,2
gestureclass,10.3698,56.463,2
gestureclass,10.3860,40.252,2
gestureclass,10.3938,74.379,2
gestureclass,10.4240,44.225,2
gestureclass,10.4252,43.018,2
gestureclass,10.4844,23.577,2
gestureclass,10.4946,48.158,2
gestureclass,10.4969,45.960,2
gestureclass,10.5031,39.752,2
gestureclass,10.5181,75.862,2
gestureclass,10.5283,65.666,2
gestureclass,10.5530,85.579,2
gestureclass,10.5773,61.324,2
gestureclass,10.5876,51.096,2
gestureclass,10.6052,75.675,2
gestureclass,10.6125,68.429,2
gestureclass,10.6137,67.242,2
gestureclass,10.6199,111.500,2
gestureclass,10.6231,108.283,2
gestureclass,10.6448,86.658,2
gestureclass,10.6470,167.175,2
gestureclass,10.6613,153.163,2
gestureclass,10.6870,127.391,2
gestureclass,10.6883,204.422,2
gestureclass,10.6985,194.188,2
gestureclass,10.7280,164.785,2
gestureclass,10.7336,241.018,2
gestureclass,10.7389,235.800,2
gestureclass,10.7462,228.587,2
gestureclass,10.7484,290.855,2
gestureclass,10.7507,288.661,2
gestureclass,10.7856,253.733,2
gestureclass,10.8129,265.761,2
gestureclass,10.8185,260.100,2
gestureclass,10.8218,256.864,2
gestureclass,10.8371,282.910,2
gestureclass,10.8849,235.127,2
gestureclass,10.9098,210.218,2
gestureclass,10.9150,246.507,2
gestureclass,10.9223,239.347,2
gestureclass,10.9345,227.106,2
gestureclass,10.9428,260.336,2
