task,send_time_s,latency_ms,phase
ecgclass,0.0001,372.806,1
ecgclass,0.3012,109.299,1
ecgclass,0.5932,27.971,1
ecgclass,0.8911,27.844,1
ecgclass,0.9260,26.695,1
ecgclass,0.9374,41.300,1
ecgclass,1.1186,27.420,1
ecgclass,1.2950,27.798,1
ecgclass,1.6869,37.776,1
ecgclass,1.6951,56.037,1
ecgclass,1.8264,27.481,1
ecgclass,1.8347,45.476,1
ecgclass,1.9714,27.221,1
ecgclass,2.1876,27.524,1
ecgclass,2.2356,52.858,1
ecgclass,2.3901,40.056,1
ecgclass,2.4094,68.385,1
ecgclass,2.4218,55.969,1
ecgclass,2.4603,44.935,1
ecgclass,2.5728,33.092,1
ecgclass,2.6251,30.278,1
ecgclass,2.7800,39.366,1
ecgclass,2.8077,63.246,1
ecgclass,3.0377,27.696,1
ecgclass,3.1910,42.782,1
ecgclass,3.2728,58.375,1
ecgclass,3.3256,60.149,1
ecgclass,3.3821,56.970,1
ecgclass,3.3911,124.827,1
ecgclass,3.4144,101.577,1
ecgclass,3.4994,71.594,1
ecgclass,3.5484,75.717,1
ecgclass,3.7064,27.783,1
ecgclass,3.7958,27.553,1
ecgclass,3.8245,26.677,1
ecgclass,3.8820,52.817,1
ecgclass,3.9628,27.035,1
ecgclass,4.0050,26.745,1
ecgclass,4.0459,26.669,1
ecgclass,4.1557,26.566,1
ecgclass,4.1924,40.756,1
ecgclass,4.3598,27.606,1
ecgclass,4.5340,27.593,1
ecgclass,4.6688,36.561,1
ecgclass,4.6792,68.273,1
ecgclass,4.8206,27.572,1
ecgclass,4.9895,27.551,1
ecgclass,5.1288,27.180,1
ecgclass,5.1641,26.520,1
ecgclass,5.2048,26.889,1
ecgclass,5.2251,32.980,1
ecgclass,5.2693,40.860,1
ecgclass,5.2717,75.797,1
ecgclass,5.2931,54.461,1
ecgclass,5.4577,39.471,1
ecgclass,5.9568,27.572,1
ecgclass,6.0270,47.966,1
ecgclass,6.0630,61.097,1
ecgclass,6.1121,39.114,1
ecgclass,6.1574,49.413,1
ecgclass,6.1738,59.954,1
ecgclass,6.3095,34.826,1
ecgclass,6.4811,28.445,1
ecgclass,6.6697,27.653,1
ecgclass,7.3330,38.373,1
ecgclass,7.5968,27.776,1
ecgclass,7.8024,27.546,1
ecgclass,7.9341,27.579,1
ecgclass,8.0068,38.937,1
ecgclass,8.0122,73.299,1
ecgclass,8.1316,46.119,1
ecgclass,8.2093,27.241,1
ecgclass,8.3976,27.589,1
ecgclass,8.6517,48.978,1
ecgclass,8.6927,79.645,1
ecgclass,8.6989,73.397,1
ecgclass,8.8145,27.086,1
ecgclass,9.1339,27.788,1
ecgclass,9.2364,52.344,1
ecgclass,9.5039,27.886,1
ecgclass,9.5975,27.643,1
ecgclass,9.7618,55.215,1
ecgclass,9.7978,60.970,1
ecgclass,9.8142,44.635,1
ecgclass,9.8325,82.042,1
ecgclass,9.8469,67.705,1
ecgclass,9.8542,60.392,1
ecgclass,10.0689,27.719,2
ecgclass,10.1247,27.612,2
ecgclass,10.1725,26.603,2
ecgclass,10.2893,27.239,2
ecgclass,10.3127,35.766,2
ecgclass,10.5532,57.858,2
ecgclass,10.7147,64.506,2
ecgclass,10.7549,79.913,2
ecgclass,10.7803,118.147,2
ecgclass,10.8472,164.958,2
ecgclass,10.8844,127.756,2
ecgclass,10.8939,118.289,2
ecgclass,10.9578,114.592,2
ecgclass,11.2392,56.459,2
ecgclass,11.3657,64.678,2
ecgclass,11.7499,56.907,2
ecgclass,12.0056,65.471,2
ecgclass,12.1457,64.544,2
