task,send_time_s,latency_ms,phase
ecgclass,0.0001,359.664,1
ecgclass,0.3011,192.779,1
ecgclass,0.5931,25.130,1
ecgclass,0.8924,25.414,1
ecgclass,0.9260,25.115,1
ecgclass,0.9373,36.522,1
ecgclass,1.1186,23.768,1
ecgclass,1.2947,23.376,1
ecgclass,1.6857,32.421,1
ecgclass,1.6957,44.915,1
ecgclass,1.8259,25.433,1
ecgclass,1.8362,37.659,1
ecgclass,1.9711,25.414,1
ecgclass,2.1876,25.125,1
ecgclass,2.2363,46.172,1
ecgclass,2.3905,27.059,1
ecgclass,2.4094,54.838,1
ecgclass,2.4207,66.477,1
ecgclass,2.4600,49.716,1
ecgclass,2.5723,27.342,1
ecgclass,2.6243,23.875,1
ecgclass,2.7800,24.934,1
ecgclass,2.8081,42.804,1
ecgclass,3.0383,24.943,1
ecgclass,3.1909,37.521,1
ecgclass,3.2732,46.380,1
ecgclass,3.3257,39.949,1
ecgclass,3.3818,30.653,1
ecgclass,3.3913,66.959,1
ecgclass,3.4136,67.307,1
ecgclass,3.4996,28.688,1
ecgclass,3.5487,25.821,1
ecgclass,3.7062,25.586,1
ecgclass,3.7948,23.610,1
ecgclass,3.8245,23.537,1
ecgclass,3.8827,46.675,1
ecgclass,3.9625,23.621,1
ecgclass,4.0053,23.790,1
ecgclass,4.0452,23.748,1
ecgclass,4.1552,24.559,1
ecgclass,4.1939,24.405,1
ecgclass,4.3603,24.029,1
ecgclass,4.5334,24.922,1
ecgclass,4.6685,25.591,1
ecgclass,4.6789,60.388,1
ecgclass,4.8195,24.901,1
ecgclass,4.9897,24.880,1
ecgclass,5.1296,23.725,1
ecgclass,5.1645,23.932,1
ecgclass,5.2045,23.888,1
ecgclass,5.2248,26.267,1
ecgclass,5.2695,30.264,1
ecgclass,5.2717,51.006,1
ecgclass,5.2932,51.622,1
ecgclass,5.4571,25.688,1
ecgclass,5.9564,23.348,1
ecgclass,6.0273,37.096,1
ecgclass,6.0627,46.355,1
ecgclass,6.1122,23.093,1
ecgclass,6.1577,38.591,1
ecgclass,6.1741,43.953,1
ecgclass,6.3095,27.837,1
ecgclass,6.4809,23.432,1
ecgclass,6.6693,24.338,1
