task,send_time_s,latency_ms,phase
ecgclass,0.0000,240.286,1
ecgclass,0.1211,138.300,1
ecgclass,0.2383,39.658,1
ecgclass,0.3563,25.386,1
ecgclass,0.3711,29.766,1
ecgclass,0.3753,44.553,1
ecgclass,0.4484,10.203,1
ecgclass,0.5187,10.648,1
ecgclass,0.6749,14.369,1
ecgclass,0.6782,20.410,1
ecgclass,0.7310,10.017,1
ecgclass,0.7343,15.928,1
ecgclass,0.7884,9.660,1
ecgclass,0.8758,9.910,1
ecgclass,0.8958,9.785,1
ecgclass,0.9564,10.211,1
ecgclass,0.9637,12.180,1
ecgclass,0.9687,16.479,1
ecgclass,0.9840,10.388,1
ecgclass,1.0308,10.094,1
ecgclass,1.0510,9.801,1
ecgclass,1.1119,10.028,1
ecgclass,1.1240,9.630,1
ecgclass,1.2150,9.816,1
ecgclass,1.2779,10.471,1
ecgclass,1.3093,9.649,1
ecgclass,1.3301,9.785,1
ecgclass,1.3532,13.883,1
ecgclass,1.3574,18.961,1
ecgclass,1.3657,19.863,1
ecgclass,1.4003,9.619,1
ecgclass,1.4200,9.763,1
ecgclass,1.4832,10.323,1
ecgclass,1.5185,16.710,1
ecgclass,1.5301,14.396,1
ecgclass,1.5546,9.749,1
ecgclass,1.5854,9.950,1
ecgclass,1.6025,9.718,1
ecgclass,1.6183,9.668,1
ecgclass,1.6630,10.181,1
ecgclass,1.6773,9.650,1
ecgclass,1.7444,9.643,1
ecgclass,1.8135,17.785,1
ecgclass,1.8677,10.098,1
ecgclass,1.8710,16.028,1
ecgclass,1.9283,10.161,1
ecgclass,1.9956,9.608,1
ecgclass,2.0517,9.958,1
ecgclass,2.0658,9.694,1
ecgclass,2.0816,9.755,1
ecgclass,2.0912,9.624,1
ecgclass,2.1079,11.460,1
ecgclass,2.1091,19.643,1
ecgclass,2.1171,20.969,1
ecgclass,2.1832,9.905,1
ecgclass,2.3826,18.928,1
ecgclass,2.4116,9.842,1
ecgclass,2.4255,9.660,1
ecgclass,2.4452,9.835,1
ecgclass,2.4631,10.411,1
ecgclass,2.4693,13.492,1
ecgclass,2.5238,10.040,1
ecgclass,2.5927,10.334,1
ecgclass,2.6684,9.991,1
ecgclass,2.9333,10.294,1
ecgclass,3.0392,10.210,1
ecgclass,3.1209,9.879,1
ecgclass,3.1739,10.345,1
ecgclass,3.2034,19.351,1
ecgclass,3.2057,26.263,1
ecgclass,3.2530,10.008,1
ecgclass,3.2841,9.938,1
ecgclass,3.3592,9.763,1
ecgclass,3.4609,9.933,1
ecgclass,3.4779,9.734,1
ecgclass,3.4801,16.815,1
ecgclass,3.5265,9.881,1
ecgclass,3.6536,25.984,1
ecgclass,3.6949,9.769,1
ecgclass,3.8013,10.266,1
ecgclass,3.8399,9.996,1
ecgclass,3.9050,10.411,1
ecgclass,3.9195,9.745,1
ecgclass,3.9258,22.046,1
ecgclass,3.9333,23.759,1
ecgclass,3.9396,36.034,1
ecgclass,3.9419,43.122,1
ecgclass,4.0277,18.763,1
ecgclass,4.0505,14.698,1
ecgclass,4.0693,14.685,1
ecgclass,4.1161,10.483,1
ecgclass,4.1256,19.505,1
ecgclass,4.2219,9.645,1
ecgclass,4.2860,9.754,1
ecgclass,4.3028,9.795,1
ecgclass,4.3125,9.654,1
ecgclass,4.3393,9.937,1
ecgclass,4.3543,9.612,1
ecgclass,4.3585,14.680,1
ecgclass,4.3832,9.791,1
ecgclass,4.4960,10.032,1
ecgclass,4.5465,9.682,1
ecgclass,4.7001,10.693,1
ecgclass,4.8030,10.849,1
ecgclass,4.8589,10.332,1
ecgclass,4.9515,10.075,1
ecgclass,4.9877,9.750,1
ecgclass,5.0405,10.381,1
ecgclass,5.0610,9.937,1
ecgclass,5.0708,9.761,1
ecgclass,5.1782,9.968,1
ecgclass,5.1855,11.991,1
ecgclass,5.1942,21.891,1
ecgclass,5.2099,15.527,1
ecgclass,5.2593,10.001,1
ecgclass,5.2794,9.821,1
ecgclass,5.3132,9.784,1
ecgclass,5.4224,10.140,1
ecgclass,5.4987,10.688,1
ecgclass,5.5566,18.201,1
ecgclass,5.5653,18.744,1
ecgclass,5.6253,9.843,1
ecgclass,5.6492,9.921,1
ecgclass,5.6535,14.884,1
ecgclass,5.6734,9.759,1
ecgclass,5.6777,14.777,1
ecgclass,5.7232,9.719,1
ecgclass,5.7722,9.790,1
ecgclass,5.7861,23.769,1
ecgclass,5.7883,40.273,1
ecgclass,5.9253,15.415,1
ecgclass,5.9660,10.008,1
ecgclass,6.0402,14.202,1
ecgclass,6.0575,10.367,1
ecgclass,6.1428,9.926,1
ecgclass,6.2235,9.993,1
ecgclass,6.2278,14.971,1
ecgclass,6.4999,21.238,1
