task,send_time_s,latency_ms,phase
ecgclass,0.0000,259.659,1
ecgclass,0.1212,163.153,1
ecgclass,0.2384,60.879,1
ecgclass,0.3564,28.579,1
ecgclass,0.3703,29.792,1
ecgclass,0.3756,34.036,1
ecgclass,0.4477,15.881,1
ecgclass,0.5187,16.136,1
ecgclass,0.6749,20.107,1
ecgclass,0.6781,16.917,1
ecgclass,0.7315,17.872,1
ecgclass,0.7339,15.528,1
ecgclass,0.7890,15.227,1
ecgclass,0.8753,15.254,1
ecgclass,0.8947,15.113,1
ecgclass,0.9564,15.802,1
ecgclass,0.9637,17.827,1
ecgclass,0.9690,21.992,1
ecgclass,0.9846,15.562,1
ecgclass,1.0295,15.436,1
ecgclass,1.0500,15.180,1
ecgclass,1.1127,15.390,1
ecgclass,1.1240,15.664,1
ecgclass,1.2158,15.265,1
ecgclass,1.2772,15.794,1
ecgclass,1.3093,15.428,1
ecgclass,1.3308,15.223,1
ecgclass,1.3534,24.364,1
ecgclass,1.3566,21.159,1
ecgclass,1.3662,20.934,1
ecgclass,1.4014,15.475,1
ecgclass,1.4200,15.172,1
ecgclass,1.4826,15.813,1
ecgclass,1.5186,16.058,1
ecgclass,1.5298,15.403,1
ecgclass,1.5533,15.371,1
ecgclass,1.5858,15.447,1
ecgclass,1.6023,15.175,1
ecgclass,1.6186,15.517,1
ecgclass,1.6622,15.697,1
ecgclass,1.6776,15.218,1
ecgclass,1.7452,14.966,1
ecgclass,1.8137,16.474,1
ecgclass,1.8676,20.688,1
ecgclass,1.8719,16.377,1
ecgclass,1.9279,15.667,1
ecgclass,1.9956,15.648,1
ecgclass,2.0523,15.280,1
ecgclass,2.0665,15.723,1
ecgclass,2.0816,15.329,1
ecgclass,2.0903,21.211,1
ecgclass,2.1080,18.286,1
ecgclass,2.1093,17.087,1
ecgclass,2.1176,18.139,1
ecgclass,2.1845,15.264,1
ecgclass,2.3828,16.145,1
ecgclass,2.4111,15.304,1
ecgclass,2.4253,15.730,1
ecgclass,2.4451,15.153,1
ecgclass,2.4634,15.551,1
ecgclass,2.4695,18.733,1
ecgclass,2.5236,15.408,1
ecgclass,2.5933,15.684,1
ecgclass,2.6677,15.347,1
ecgclass,2.9335,15.819,1
ecgclass,3.0394,15.564,1
ecgclass,3.1216,15.181,1
ecgclass,3.1739,15.701,1
ecgclass,3.2029,16.350,1
ecgclass,3.2051,23.562,1
ecgclass,3.2527,15.581,1
ecgclass,3.2844,18.611,1
ecgclass,3.3600,15.295,1
ecgclass,3.4605,15.421,1
ecgclass,3.4780,18.314,1
ecgclass,3.4803,16.102,1
ecgclass,3.5274,15.303,1
ecgclass,3.6544,31.755,1
ecgclass,3.6963,15.602,1
ecgclass,3.8019,20.952,1
ecgclass,3.8389,15.499,1
ecgclass,3.9045,15.812,1
ecgclass,3.9190,17.126,1
ecgclass,3.9264,19.156,1
ecgclass,3.9336,26.691,1
ecgclass,3.9392,21.120,1
ecgclass,3.9414,33.597,1
ecgclass,4.0281,20.929,1
ecgclass,4.0501,15.261,1
ecgclass,4.0694,15.774,1
ecgclass,4.1163,18.632,1
ecgclass,4.1258,18.444,1
ecgclass,4.2218,15.542,1
ecgclass,4.2862,15.264,1
ecgclass,4.3026,15.073,1
ecgclass,4.3128,15.264,1
ecgclass,4.3391,15.378,1
ecgclass,4.3543,18.237,1
ecgclass,4.3576,14.978,1
ecgclass,4.3837,15.336,1
ecgclass,4.4954,15.273,1
ecgclass,4.5474,15.689,1
ecgclass,4.7003,16.043,1
ecgclass,4.8025,16.259,1
ecgclass,4.8588,15.813,1
ecgclass,4.9516,15.798,1
ecgclass,4.9887,15.579,1
