task,send_time_s,latency_ms,phase
gestureclass,0.0001,259.035,1
gestureclass,0.0215,247.360,1
gestureclass,0.0329,250.709,1
gestureclass,0.0432,255.300,1
gestureclass,0.0905,223.031,1
gestureclass,0.1009,212.579,1
gestureclass,0.1277,200.673,1
gestureclass,0.1850,143.433,1
gestureclass,0.2498,93.835,1
gestureclass,0.2740,69.674,1
gestureclass,0.2762,82.639,1
gestureclass,0.2983,60.598,1
gestureclass,0.3256,42.994,1
gestureclass,0.3577,26.036,1
gestureclass,0.3697,29.264,1
gestureclass,0.5809,15.824,1
gestureclass,0.6498,21.001,1
gestureclass,0.6542,16.655,1
gestureclass,0.6584,21.890,1
gestureclass,0.6883,16.326,1
gestureclass,0.7696,19.783,1
gestureclass,0.7729,16.494,1
gestureclass,0.8534,15.915,1
gestureclass,0.9070,15.486,1
gestureclass,0.9910,18.120,1
gestureclass,1.0770,15.349,1
gestureclass,1.1465,15.285,1
gestureclass,1.1939,15.703,1
gestureclass,1.2987,15.059,1
gestureclass,1.3486,20.118,1
gestureclass,1.3905,15.298,1
gestureclass,1.4297,15.407,1
gestureclass,1.4985,15.224,1
gestureclass,1.5158,17.198,1
gestureclass,1.7309,15.751,1
gestureclass,1.8115,18.980,1
gestureclass,1.8200,19.686,1
gestureclass,1.8834,15.601,1
gestureclass,1.9498,15.274,1
gestureclass,1.9561,18.290,1
gestureclass,1.9844,15.199,1
gestureclass,2.0007,15.968,1
gestureclass,2.0109,15.181,1
gestureclass,2.0260,15.144,1
gestureclass,2.0945,17.030,1
gestureclass,2.1294,15.821,1
gestureclass,2.1473,15.255,1
gestureclass,2.1586,15.673,1
gestureclass,2.2487,15.916,1
gestureclass,2.2797,15.289,1
gestureclass,2.3401,15.789,1
gestureclass,2.3680,15.623,1
gestureclass,2.3833,16.393,1
gestureclass,2.4531,16.269,1
gestureclass,2.4890,15.231,1
gestureclass,2.5409,15.066,1
gestureclass,2.6359,15.533,1
gestureclass,2.7640,16.189,1
gestureclass,2.8283,15.942,1
gestureclass,2.8763,21.337,1
gestureclass,2.9559,15.151,1
gestureclass,2.9721,15.024,1
gestureclass,2.9922,15.521,1
gestureclass,3.0574,15.044,1
gestureclass,3.0765,15.123,1
gestureclass,3.0957,15.128,1
gestureclass,3.2031,16.598,1
gestureclass,3.2861,15.161,1
gestureclass,3.3064,15.185,1
gestureclass,3.3367,15.464,1
gestureclass,3.4236,20.966,1
gestureclass,3.4289,15.594,1
gestureclass,3.4926,15.466,1
gestureclass,3.5025,14.844,1
gestureclass,3.5999,16.094,1
gestureclass,3.6321,15.353,1
gestureclass,3.6403,21.739,1
gestureclass,3.6404,21.735,1
gestureclass,3.6426,28.906,1
gestureclass,3.6617,24.599,1
gestureclass,3.7390,16.657,1
gestureclass,3.7404,15.350,1
gestureclass,3.8072,15.486,1
