task,send_time_s,latency_ms,phase
gestureclass,0.0001,283.664,1
gestureclass,0.0215,277.539,1
gestureclass,0.0338,265.246,1
gestureclass,0.0420,290.040,1
gestureclass,0.0903,241.778,1
gestureclass,0.1007,231.391,1
gestureclass,0.1275,204.607,1
gestureclass,0.1848,180.823,1
gestureclass,0.2496,116.142,1
gestureclass,0.2739,91.949,1
gestureclass,0.2762,89.705,1
gestureclass,0.2988,82.862,1
gestureclass,0.3262,55.506,1
gestureclass,0.3562,59.262,1
gestureclass,0.3700,45.469,1
gestureclass,0.5803,30.904,1
gestureclass,0.6493,41.734,1
gestureclass,0.6547,36.373,1
gestureclass,0.6589,32.163,1
gestureclass,0.6885,27.668,1
gestureclass,0.7686,35.807,1
gestureclass,0.7729,31.534,1
gestureclass,0.8534,31.117,1
gestureclass,0.9069,30.759,1
gestureclass,0.9907,29.754,1
gestureclass,1.0766,30.596,1
gestureclass,1.1468,30.597,1
gestureclass,1.1935,30.651,1
gestureclass,1.2980,35.437,1
gestureclass,1.3485,17.467,1
gestureclass,1.3911,35.506,1
gestureclass,1.4287,26.984,1
gestureclass,1.4981,20.875,1
gestureclass,1.5174,41.385,1
gestureclass,1.7311,36.521,1
gestureclass,1.8107,43.002,1
gestureclass,1.8203,33.417,1
gestureclass,1.8833,26.739,1
gestureclass,1.9495,35.662,1
gestureclass,1.9557,29.427,1
gestureclass,1.9839,41.931,1
gestureclass,2.0015,24.538,1
gestureclass,2.0117,35.816,1
gestureclass,2.0256,21.858,1
gestureclass,2.0940,29.589,1
gestureclass,2.1297,35.475,1
gestureclass,2.1469,18.270,1
gestureclass,2.1584,30.321,1
gestureclass,2.2485,31.037,1
gestureclass,2.2793,30.350,1
gestureclass,2.3398,30.713,1
gestureclass,2.3682,42.143,1
gestureclass,2.3826,27.712,1
gestureclass,2.4525,34.530,1
gestureclass,2.4891,16.214,1
gestureclass,2.5407,19.693,1
gestureclass,2.6355,30.552,1
gestureclass,2.7636,31.304,1
gestureclass,2.8281,30.982,1
gestureclass,2.8761,30.611,1
gestureclass,2.9562,36.029,1
gestureclass,2.9728,19.491,1
gestureclass,2.9920,30.375,1
gestureclass,3.0588,16.610,1
gestureclass,3.0765,35.690,1
gestureclass,3.0957,16.455,1
gestureclass,3.2021,41.560,1
gestureclass,3.2864,36.050,1
gestureclass,3.3066,31.051,1
gestureclass,3.3366,31.057,1
gestureclass,3.4240,35.977,1
gestureclass,3.4284,31.626,1
gestureclass,3.4927,36.394,1
gestureclass,3.5030,26.148,1
gestureclass,3.6001,31.078,1
gestureclass,3.6323,47.480,1
gestureclass,3.6405,39.230,1
gestureclass,3.6405,39.226,1
gestureclass,3.6418,37.967,1
gestureclass,3.6622,32.147,1
gestureclass,3.7400,36.510,1
gestureclass,3.7402,36.284,1
gestureclass,3.8079,30.606,1
gestureclass,3.9196,27.799,1
