task,send_time_s,latency_ms,phase
ecgclass,0.0000,255.091,1
ecgclass,0.0085,261.540,1
ecgclass,0.2034,96.231,1
ecgclass,0.2725,42.233,1
ecgclass,0.3598,17.109,1
ecgclass,0.4070,16.795,1
ecgclass,0.4739,20.135,1
ecgclass,0.4774,16.716,1
ecgclass,0.4898,18.980,1
ecgclass,0.5389,16.812,1
ecgclass,0.5999,23.229,1
ecgclass,0.6957,17.138,1
ecgclass,0.7362,16.502,1
ecgclass,0.7648,22.826,1
ecgclass,0.8117,60.632,1
ecgclass,0.8785,32.855,1
ecgclass,0.9334,64.610,1
ecgclass,1.0548,152.583,1
ecgclass,1.2287,16.423,1
ecgclass,1.3694,86.081,1
ecgclass,1.4635,15.282,1
ecgclass,1.5209,44.598,1
ecgclass,1.5696,35.946,1
ecgclass,1.5898,15.704,1
ecgclass,1.6076,110.303,1
ecgclass,1.7370,38.186,1
ecgclass,1.7583,16.880,1
ecgclass,1.7626,27.332,1
ecgclass,1.7639,26.107,1
ecgclass,1.7750,42.436,1
ecgclass,1.8010,16.432,1
ecgclass,1.9990,16.261,1
ecgclass,2.0112,20.202,1
ecgclass,2.0538,16.401,1
ecgclass,2.0937,17.589,1
ecgclass,2.1016,24.658,1
ecgclass,2.1135,27.735,1
ecgclass,2.1345,21.717,1
ecgclass,2.2402,82.958,1
ecgclass,2.3067,16.541,1
ecgclass,2.3230,60.307,1
ecgclass,2.3974,59.455,1
ecgclass,2.4397,17.169,1
ecgclass,2.5453,17.405,1
ecgclass,2.5738,48.298,1
ecgclass,2.6536,16.491,1
ecgclass,2.6851,21.200,1
ecgclass,2.6894,16.919,1
ecgclass,2.7685,42.771,1
ecgclass,2.7939,17.329,1
ecgclass,2.7942,58.885,1
ecgclass,2.9182,17.414,1
ecgclass,2.9577,37.227,1
ecgclass,2.9781,16.849,1
ecgclass,3.1055,25.646,1
ecgclass,3.1139,17.277,1
ecgclass,3.1241,29.325,1
ecgclass,3.1987,17.278,1
ecgclass,3.2714,17.057,1
ecgclass,3.3188,16.669,1
ecgclass,3.3606,17.910,1
ecgclass,3.3620,16.557,1
ecgclass,3.4186,72.913,1
ecgclass,3.4740,17.506,1
ecgclass,3.5129,16.692,1
ecgclass,3.5437,20.745,1
