task,send_time_s,latency_ms,phase
gestureclass,0.0001,243.952,1
gestureclass,0.0419,220.960,1
gestureclass,0.1333,148.273,1
gestureclass,0.1687,131.703,1
gestureclass,0.2216,97.911,1
gestureclass,0.2415,96.810,1
gestureclass,0.2555,101.596,1
gestureclass,0.2960,79.847,1
gestureclass,0.3205,74.443,1
gestureclass,0.4138,28.821,1
gestureclass,0.4477,23.458,1
gestureclass,0.4582,22.558,1
gestureclass,0.4647,25.452,1
gestureclass,0.4933,25.477,1
gestureclass,0.6829,9.848,1
gestureclass,0.6998,9.880,1
gestureclass,0.7128,9.870,1
gestureclass,0.8282,9.710,1
gestureclass,0.9464,10.096,1
gestureclass,0.9828,9.756,1
gestureclass,1.0437,9.754,1
gestureclass,1.1488,10.529,1
gestureclass,1.1714,9.966,1
gestureclass,1.1895,9.865,1
gestureclass,1.2470,10.001,1
gestureclass,1.2811,10.075,1
gestureclass,1.3283,19.762,1
gestureclass,1.3522,14.431,1
gestureclass,1.3707,9.764,1
gestureclass,1.3789,10.924,1
gestureclass,1.3897,18.922,1
gestureclass,1.4247,10.064,1
gestureclass,1.4311,13.090,1
gestureclass,1.4482,9.879,1
gestureclass,1.4642,12.951,1
gestureclass,1.4674,19.071,1
gestureclass,1.4805,24.767,1
gestureclass,1.5105,23.212,1
gestureclass,1.5431,10.290,1
gestureclass,1.5575,14.946,1
gestureclass,1.5825,10.037,1
gestureclass,1.6207,9.964,1
gestureclass,1.6377,9.861,1
gestureclass,1.6873,18.084,1
gestureclass,1.6915,23.153,1
gestureclass,1.7157,17.827,1
gestureclass,1.7179,25.035,1
gestureclass,1.7282,24.229,1
gestureclass,1.7825,10.340,1
gestureclass,1.7911,20.511,1
gestureclass,1.8127,9.781,1
gestureclass,1.8857,20.193,1
gestureclass,1.8996,15.523,1
gestureclass,1.9392,10.098,1
gestureclass,1.9426,16.145,1
gestureclass,1.9438,43.023,1
gestureclass,1.9472,58.387,1
gestureclass,1.9805,44.101,1
gestureclass,1.9867,47.482,1
gestureclass,1.9919,61.224,1
gestureclass,2.0150,47.777,1
gestureclass,2.0276,44.635,1
gestureclass,2.0698,21.667,1
gestureclass,2.0936,17.064,1
gestureclass,2.1041,26.034,1
gestureclass,2.1190,30.503,1
gestureclass,2.1383,20.743,1
gestureclass,2.1525,16.084,1
gestureclass,2.2323,9.811,1
gestureclass,2.2596,9.851,1
gestureclass,2.2705,27.038,1
gestureclass,2.3214,13.785,1
gestureclass,2.3512,9.905,1
gestureclass,2.3802,10.078,1
gestureclass,2.5518,13.545,1
gestureclass,2.5541,30.865,1
gestureclass,2.5725,21.845,1
gestureclass,2.6101,22.583,1
gestureclass,2.6177,24.513,1
gestureclass,2.6549,16.138,1
gestureclass,2.6601,20.598,1
gestureclass,2.6890,20.709,1
gestureclass,2.7597,10.406,1
gestureclass,2.7667,12.934,1
gestureclass,2.8409,10.516,1
gestureclass,2.8796,10.476,1
gestureclass,2.9694,11.060,1
gestureclass,3.0018,12.195,1
gestureclass,3.0183,24.099,1
gestureclass,3.1126,19.729,1
gestureclass,3.2642,21.013,1
gestureclass,3.2790,15.626,1
gestureclass,3.2812,22.667,1
gestureclass,3.3140,10.144,1
gestureclass,3.3572,10.356,1
gestureclass,3.3635,13.365,1
gestureclass,3.3963,9.886,1
gestureclass,3.4036,12.049,1
gestureclass,3.4048,20.211,1
gestureclass,3.4301,9.828,1
gestureclass,3.5088,14.136,1
gestureclass,3.5144,17.890,1
gestureclass,3.5740,16.284,1
gestureclass,3.5807,18.861,1
gestureclass,3.6519,11.899,1
gestureclass,3.6939,10.336,1
gestureclass,3.7073,9.821,1
gestureclass,3.7492,9.963,1
gestureclass,3.7751,9.847,1
gestureclass,3.8184,10.159,1
gestureclass,3.8237,14.194,1
gestureclass,3.9798,17.287,1
gestureclass,4.0375,10.315,1
gestureclass,4.0489,9.768,1
gestureclass,4.0751,9.979,1
gestureclass,4.0922,9.929,1
gestureclass,4.1222,10.078,1
gestureclass,4.2140,10.239,1
gestureclass,4.2183,15.243,1
gestureclass,4.2295,22.765,1
gestureclass,4.2764,9.833,1
gestureclass,4.3156,15.955,1
gestureclass,4.3486,10.167,1
gestureclass,4.3825,9.978,1
gestureclass,4.6502,22.393,1
gestureclass,4.6575,34.316,1
gestureclass,4.6949,15.939,1
gestureclass,4.7159,13.960,1
gestureclass,4.7900,10.798,1
gestureclass,4.8449,10.502,1
gestureclass,4.8697,12.891,1
gestureclass,4.8804,11.573,1
gestureclass,4.9079,16.662,1
gestureclass,4.9566,17.309,1
gestureclass,4.9667,26.195,1
gestureclass,4.9790,23.238,1
gestureclass,5.0354,10.436,1
gestureclass,5.0551,13.863,1
gestureclass,5.0880,10.013,1
gestureclass,5.1388,10.152,1
gestureclass,5.1488,9.652,1
gestureclass,5.1541,13.807,1
gestureclass,5.1616,15.564,1
gestureclass,5.1762,19.766,1
gestureclass,5.1792,26.167,1
gestureclass,5.2000,34.015,1
gestureclass,5.2160,27.531,1
gestureclass,5.2232,29.984,1
gestureclass,5.2434,19.251,1
gestureclass,5.3191,10.058,1
gestureclass,5.3820,10.280,1
gestureclass,5.4429,9.741,1
gestureclass,5.4587,9.811,1
gestureclass,5.5137,10.730,1
gestureclass,5.5678,10.222,1
gestureclass,5.5753,21.403,1
gestureclass,5.6327,13.855,1
gestureclass,5.6339,21.940,1
gestureclass,5.6610,9.784,1
gestureclass,5.6674,22.289,1
gestureclass,5.6863,31.621,1
gestureclass,5.7745,10.247,1
gestureclass,5.7878,9.848,1
gestureclass,5.8574,10.588,1
gestureclass,5.8781,9.869,1
gestureclass,5.9110,10.715,1
gestureclass,5.9587,23.180,1
gestureclass,5.9849,9.924,1
gestureclass,5.9947,19.021,1
gestureclass,6.0659,10.231,1
gestureclass,6.0733,12.192,1
gestureclass,6.0925,9.897,1
gestureclass,6.1065,9.887,1
gestureclass,6.1195,15.694,1
gestureclass,6.1664,10.036,1
gestureclass,6.1737,21.918,1
gestureclass,6.1738,40.794,1
gestureclass,6.1871,46.675,1
gestureclass,6.2050,47.834,1
gestureclass,6.2239,38.438,1
gestureclass,6.2775,10.550,1
gestureclass,6.2878,10.272,1
gestureclass,6.3061,10.713,1
gestureclass,6.4097,10.310,1
gestureclass,6.4701,10.323,1
gestureclass,6.5584,10.639,1
gestureclass,6.5687,9.751,1
gestureclass,6.6066,10.313,1
gestureclass,6.6310,10.010,1
gestureclass,6.6693,13.065,1
gestureclass,6.6812,10.657,1
gestureclass,6.7529,10.167,1
gestureclass,6.7810,9.805,1
gestureclass,6.7873,12.860,1
gestureclass,6.8082,9.845,1
gestureclass,6.9483,9.877,1
gestureclass,6.9556,12.015,1
gestureclass,6.9633,13.675,1
gestureclass,7.0062,13.896,1
gestureclass,7.0876,10.593,1
gestureclass,7.0950,12.528,1
gestureclass,7.1363,10.049,1
gestureclass,7.1802,9.959,1
gestureclass,7.2589,10.068,1
gestureclass,7.2612,17.099,1
gestureclass,7.3334,10.630,1
gestureclass,7.3588,14.869,1
gestureclass,7.3695,22.978,1
gestureclass,7.3810,30.649,1
gestureclass,7.4264,23.584,1
gestureclass,7.4533,25.780,1
gestureclass,7.5014,10.017,1
gestureclass,7.5557,10.583,1
gestureclass,7.6053,14.781,1
gestureclass,7.6231,15.690,1
gestureclass,7.6624,10.062,1
gestureclass,7.6825,9.921,1
gestureclass,7.7540,11.099,1
gestureclass,7.7620,21.803,1
gestureclass,7.7911,18.267,1
gestureclass,7.8259,10.155,1
gestureclass,7.8484,15.692,1
gestureclass,7.8712,10.108,1
gestureclass,7.9482,13.141,1
gestureclass,7.9724,9.917,1
gestureclass,8.0067,9.918,1
gestureclass,8.0267,9.880,1
gestureclass,8.0342,21.225,1
gestureclass,8.0437,21.043,1
gestureclass,8.1485,19.329,1
