task,send_time_s,latency_ms,phase
ecgclass,0.0000,245.570,1
ecgclass,0.0036,256.930,1
ecgclass,0.0338,226.726,1
ecgclass,0.0916,199.355,1
ecgclass,0.1526,153.240,1
ecgclass,0.1759,145.322,1
ecgclass,0.2347,101.846,1
ecgclass,0.2507,101.331,1
ecgclass,0.2970,70.514,1
ecgclass,0.3983,16.804,1
ecgclass,0.4162,57.200,1
ecgclass,0.4588,36.083,1
ecgclass,0.4785,16.370,1
ecgclass,0.5462,17.038,1
ecgclass,0.5697,40.073,1
ecgclass,0.5930,16.985,1
ecgclass,0.7226,19.453,1
ecgclass,0.7764,24.436,1
ecgclass,0.7851,15.932,1
ecgclass,0.7895,36.168,1
ecgclass,0.8185,44.197,1
ecgclass,0.8471,15.782,1
ecgclass,0.8790,55.626,1
ecgclass,0.9177,17.243,1
ecgclass,0.9318,18.233,1
ecgclass,0.9881,21.089,1
ecgclass,0.9939,15.591,1
ecgclass,1.0206,16.960,1
ecgclass,1.0211,16.779,1
ecgclass,1.0377,17.421,1
ecgclass,1.0400,15.455,1
ecgclass,1.0676,17.275,1
ecgclass,1.0990,87.722,1
ecgclass,1.1693,17.376,1
ecgclass,1.2761,39.113,1
ecgclass,1.3050,25.120,1
ecgclass,1.3150,33.874,1
ecgclass,1.3630,24.641,1
ecgclass,1.3711,16.574,1
ecgclass,1.3854,33.972,1
ecgclass,1.4785,26.767,1
ecgclass,1.5000,42.952,1
ecgclass,1.5734,16.508,1
ecgclass,1.6230,16.685,1
ecgclass,1.6548,22.569,1
ecgclass,1.7007,16.550,1
ecgclass,1.7457,16.545,1
ecgclass,1.8016,16.876,1
ecgclass,1.8246,51.069,1
ecgclass,1.9462,17.008,1
ecgclass,1.9474,37.080,1
ecgclass,1.9930,26.035,1
ecgclass,2.0051,28.840,1
ecgclass,2.0742,40.547,1
ecgclass,2.0996,30.235,1
ecgclass,2.1058,24.142,1
ecgclass,2.1158,30.283,1
ecgclass,2.1330,43.868,1
ecgclass,2.1602,16.701,1
ecgclass,2.1615,30.577,1
ecgclass,2.2045,16.544,1
ecgclass,2.2322,16.814,1
ecgclass,2.2765,23.824,1
ecgclass,2.3415,34.154,1
ecgclass,2.3858,16.396,1
ecgclass,2.4034,44.120,1
ecgclass,2.4195,28.048,1
ecgclass,2.4699,20.163,1
ecgclass,2.4731,16.968,1
ecgclass,2.4807,24.531,1
ecgclass,2.5715,19.931,1
ecgclass,2.6145,27.415,1
ecgclass,2.6248,17.136,1
ecgclass,2.6411,22.377,1
ecgclass,2.6480,15.436,1
ecgclass,2.6583,19.852,1
ecgclass,2.7379,25.143,1
ecgclass,2.7451,33.079,1
ecgclass,2.7566,21.708,1
ecgclass,2.7773,38.717,1
ecgclass,2.8524,16.689,1
ecgclass,2.8566,29.735,1
ecgclass,2.8702,16.216,1
ecgclass,2.9175,39.252,1
ecgclass,3.0466,36.551,1
ecgclass,3.0666,16.508,1
ecgclass,3.1102,31.048,1
ecgclass,3.1246,16.746,1
ecgclass,3.1348,21.295,1
ecgclass,3.1907,35.932,1
ecgclass,3.2103,16.405,1
ecgclass,3.2277,16.545,1
ecgclass,3.2309,45.996,1
ecgclass,3.2669,39.940,1
ecgclass,3.3053,31.952,1
ecgclass,3.3172,66.285,1
ecgclass,3.3664,17.071,1
ecgclass,3.4211,45.983,1
ecgclass,3.4503,16.765,1
ecgclass,3.5398,28.157,1
ecgclass,3.5559,26.877,1
ecgclass,3.5751,22.552,1
ecgclass,3.6656,23.513,1
ecgclass,3.7327,16.661,1
ecgclass,3.7430,21.113,1
ecgclass,3.7834,16.358,1
ecgclass,3.8328,29.433,1
ecgclass,3.8430,19.261,1
ecgclass,3.8643,24.836,1
ecgclass,3.8726,16.588,1
ecgclass,3.8868,20.795,1
ecgclass,3.8912,16.354,1
ecgclass,3.9237,23.691,1
ecgclass,3.9466,30.516,1
ecgclass,3.9708,36.462,1
ecgclass,3.9834,39.623,1
ecgclass,4.0073,30.969,1
ecgclass,4.1818,28.363,1
ecgclass,4.1932,16.939,1
ecgclass,4.2835,17.107,1
ecgclass,4.3017,16.126,1
ecgclass,4.3340,35.011,1
ecgclass,4.3545,29.294,1
ecgclass,4.3567,27.138,1
ecgclass,4.3793,19.511,1
ecgclass,4.4371,17.341,1
ecgclass,4.4456,23.563,1
ecgclass,4.4883,101.518,1
ecgclass,4.5841,20.532,1
ecgclass,4.5929,30.225,1
ecgclass,4.6067,16.443,1
ecgclass,4.6079,66.198,1
ecgclass,4.6616,27.650,1
ecgclass,4.6627,26.473,1
ecgclass,4.7013,28.615,1
ecgclass,4.7190,25.795,1
ecgclass,4.7571,16.479,1
ecgclass,4.7673,49.930,1
ecgclass,4.8213,62.590,1
ecgclass,4.8673,16.547,1
ecgclass,4.9000,16.504,1
ecgclass,4.9886,23.314,1
ecgclass,4.9951,16.894,1
ecgclass,5.0233,16.251,1
ecgclass,5.0335,20.846,1
ecgclass,5.0357,18.655,1
ecgclass,5.0714,86.720,1
ecgclass,5.1418,16.343,1
ecgclass,5.1453,27.673,1
ecgclass,5.1622,31.050,1
ecgclass,5.2395,22.019,1
ecgclass,5.2449,16.658,1
ecgclass,5.2929,16.615,1
ecgclass,5.2981,27.451,1
ecgclass,5.3136,43.503,1
ecgclass,5.5228,18.976,1
ecgclass,5.5251,16.628,1
ecgclass,5.5393,60.424,1
ecgclass,5.5828,16.917,1
ecgclass,5.6540,16.649,1
