task,send_time_s,latency_ms,phase
gestureclass,0.0001,245.506,1
gestureclass,0.0842,191.711,1
gestureclass,0.0916,184.320,1
gestureclass,0.1019,189.052,1
gestureclass,0.1452,160.693,1
gestureclass,0.1758,145.494,1
gestureclass,0.2012,135.499,1
gestureclass,0.2055,146.540,1
gestureclass,0.2590,108.608,1
gestureclass,0.2810,102.036,1
gestureclass,0.3160,67.202,1
gestureclass,0.3254,73.131,1
gestureclass,0.3686,29.923,1
gestureclass,0.3830,32.108,1
gestureclass,0.4564,16.968,1
gestureclass,0.4959,67.621,1
gestureclass,0.6241,36.433,1
gestureclass,0.6437,17.126,1
gestureclass,0.6541,31.088,1
gestureclass,0.6689,16.563,1
gestureclass,0.7253,16.995,1
gestureclass,0.8091,16.905,1
gestureclass,0.9265,23.211,1
gestureclass,0.9400,24.910,1
gestureclass,0.9475,17.661,1
gestureclass,0.9712,17.156,1
gestureclass,0.9717,17.094,1
gestureclass,1.0676,17.052,1
gestureclass,1.0765,23.681,1
gestureclass,1.0778,22.429,1
gestureclass,1.2008,75.522,1
gestureclass,1.2591,17.290,1
gestureclass,1.2985,16.621,1
gestureclass,1.3018,28.275,1
gestureclass,1.3322,16.611,1
gestureclass,1.3424,21.544,1
gestureclass,1.3476,16.399,1
gestureclass,1.4028,16.544,1
gestureclass,1.4354,32.933,1
gestureclass,1.4517,16.668,1
gestureclass,1.4888,16.569,1
gestureclass,1.5274,15.518,1
gestureclass,1.5700,19.842,1
gestureclass,1.5876,52.139,1
gestureclass,1.6611,16.300,1
gestureclass,1.6884,28.879,1
gestureclass,1.7314,30.862,1
gestureclass,1.7673,51.155,1
gestureclass,1.8588,16.833,1
gestureclass,1.9318,31.443,1
gestureclass,1.9683,16.285,1
gestureclass,1.9786,25.399,1
gestureclass,1.9877,16.317,1
gestureclass,1.9889,30.246,1
gestureclass,2.0051,28.926,1
gestureclass,2.0312,33.492,1
gestureclass,2.0481,16.558,1
gestureclass,2.0668,17.425,1
gestureclass,2.0690,15.289,1
gestureclass,2.0984,16.403,1
gestureclass,2.1297,16.413,1
gestureclass,2.1657,26.436,1
gestureclass,2.2032,17.892,1
gestureclass,2.2045,44.520,1
gestureclass,2.2394,46.114,1
gestureclass,2.2691,16.482,1
gestureclass,2.2714,29.042,1
gestureclass,2.3589,16.820,1
gestureclass,2.3731,29.210,1
gestureclass,2.3890,28.357,1
gestureclass,2.3912,26.229,1
gestureclass,2.3954,36.690,1
gestureclass,2.4017,30.427,1
gestureclass,2.4472,27.367,1
gestureclass,2.4576,17.018,1
gestureclass,2.4745,30.906,1
gestureclass,2.5042,87.287,1
gestureclass,2.6482,30.071,1
gestureclass,2.6695,78.940,1
gestureclass,2.7314,17.153,1
