task,send_time_s,latency_ms,phase
ecgclass,0.0001,243.004,1
ecgclass,0.0416,211.182,1
ecgclass,0.0650,240.921,1
ecgclass,0.0804,225.606,1
ecgclass,0.1379,168.059,1
ecgclass,0.1773,128.636,1
ecgclass,0.2482,68.669,1
ecgclass,0.3161,20.009,1
ecgclass,0.4005,11.616,1
ecgclass,0.4119,10.852,1
ecgclass,0.5239,11.989,1
ecgclass,0.5713,11.342,1
ecgclass,0.6658,12.048,1
ecgclass,0.7780,12.065,1
ecgclass,0.8092,11.237,1
ecgclass,0.8197,19.542,1
ecgclass,0.8391,10.874,1
ecgclass,0.9181,11.911,1
ecgclass,0.9361,11.177,1
ecgclass,1.0099,12.457,1
ecgclass,1.0234,17.725,1
ecgclass,1.1073,11.208,1
ecgclass,1.1927,11.433,1
ecgclass,1.2295,11.227,1
ecgclass,1.2799,11.172,1
ecgclass,1.3442,11.730,1
ecgclass,1.3750,11.094,1
ecgclass,1.4534,11.127,1
ecgclass,1.4667,18.088,1
ecgclass,1.5009,11.101,1
ecgclass,1.6289,11.561,1
ecgclass,1.6402,11.074,1
ecgclass,1.6425,18.191,1
ecgclass,1.6638,25.296,1
ecgclass,1.6889,16.658,1
ecgclass,1.8375,11.149,1
ecgclass,1.8418,16.127,1
ecgclass,1.9238,10.877,1
ecgclass,1.9368,10.812,1
ecgclass,2.0077,11.757,1
ecgclass,2.0598,10.947,1
ecgclass,2.2983,18.468,1
ecgclass,2.3142,11.918,1
ecgclass,2.3650,11.204,1
ecgclass,2.3975,13.092,1
ecgclass,2.4221,11.003,1
ecgclass,2.4244,18.167,1
ecgclass,2.5488,17.171,1
ecgclass,2.6427,10.801,1
ecgclass,2.6706,11.099,1
ecgclass,2.7278,11.484,1
ecgclass,2.7576,13.062,1
ecgclass,2.8839,11.968,1
ecgclass,2.9129,10.931,1
ecgclass,2.9359,11.058,1
ecgclass,2.9713,16.574,1
ecgclass,3.0280,11.646,1
ecgclass,3.0394,10.930,1
ecgclass,3.0824,11.349,1
ecgclass,3.0928,11.422,1
ecgclass,3.1543,11.773,1
ecgclass,3.1577,20.976,1
ecgclass,3.2197,11.671,1
ecgclass,3.2220,18.727,1
ecgclass,3.2312,18.847,1
ecgclass,3.2490,25.312,1
ecgclass,3.2493,25.078,1
ecgclass,3.2939,11.177,1
ecgclass,3.4318,11.088,1
ecgclass,3.5459,10.980,1
ecgclass,3.5562,11.121,1
ecgclass,3.6059,18.223,1
ecgclass,3.6092,24.358,1
ecgclass,4.0289,11.516,1
ecgclass,4.1648,11.072,1
ecgclass,4.3511,10.928,1
ecgclass,4.3661,10.801,1
ecgclass,4.3850,10.979,1
ecgclass,4.4289,11.181,1
ecgclass,4.4501,10.925,1
ecgclass,4.4764,12.928,1
ecgclass,4.6689,11.765,1
ecgclass,4.6977,11.017,1
ecgclass,4.7061,21.317,1
ecgclass,4.8574,12.308,1
ecgclass,4.8870,11.109,1
ecgclass,4.9122,11.009,1
ecgclass,4.9225,11.170,1
ecgclass,4.9838,11.255,1
ecgclass,4.9901,14.233,1
ecgclass,5.0124,11.006,1
ecgclass,5.0466,10.795,1
ecgclass,5.0941,19.765,1
ecgclass,5.1580,11.541,1
ecgclass,5.2078,10.914,1
ecgclass,5.4475,11.770,1
ecgclass,5.5211,11.010,1
ecgclass,5.5631,11.079,1
ecgclass,5.5734,11.157,1
ecgclass,5.6096,11.233,1
ecgclass,5.6312,10.830,1
ecgclass,5.6945,11.081,1
ecgclass,5.7870,11.629,1
ecgclass,5.7953,12.641,1
ecgclass,5.8564,11.456,1
ecgclass,5.9880,11.152,1
ecgclass,6.0143,11.098,1
ecgclass,6.0195,15.145,1
ecgclass,6.0482,10.824,1
ecgclass,6.0723,10.883,1
ecgclass,6.1479,17.646,1
ecgclass,6.1815,16.602,1
ecgclass,6.2252,11.302,1
ecgclass,6.2416,13.669,1
ecgclass,6.2509,13.978,1
ecgclass,6.3479,11.456,1
ecgclass,6.3734,11.019,1
ecgclass,6.5391,11.325,1
ecgclass,6.5404,19.443,1
ecgclass,6.5639,14.532,1
ecgclass,6.6502,11.105,1
ecgclass,6.6514,19.311,1
ecgclass,6.6613,18.753,1
ecgclass,6.6951,11.149,1
ecgclass,6.7334,11.374,1
ecgclass,6.7679,11.337,1
ecgclass,6.8064,11.552,1
ecgclass,6.9479,11.572,1
ecgclass,6.9512,17.575,1
ecgclass,6.9781,10.852,1
ecgclass,7.0083,11.055,1
ecgclass,7.1177,11.745,1
ecgclass,7.1495,10.942,1
ecgclass,7.2015,11.494,1
ecgclass,7.2201,10.953,1
ecgclass,7.2461,11.091,1
ecgclass,7.2963,11.517,1
ecgclass,7.3762,19.436,1
ecgclass,7.4268,11.125,1
