task,send_time_s,latency_ms,phase
gestureclass,0.0001,293.900,1
gestureclass,0.0738,234.878,1
gestureclass,0.1587,212.612,1
gestureclass,0.3128,58.491,1
gestureclass,0.3251,46.150,1
gestureclass,0.3484,66.862,1
gestureclass,0.3724,42.929,1
gestureclass,0.3997,66.979,1
gestureclass,0.6084,62.500,1
gestureclass,0.6386,32.250,1
gestureclass,0.6701,73.640,1
gestureclass,0.7073,36.444,1
gestureclass,0.7215,61.970,1
gestureclass,0.8206,73.402,1
gestureclass,0.8796,72.911,1
gestureclass,0.8879,64.665,1
gestureclass,0.9596,55.424,1
gestureclass,1.0161,61.382,1
gestureclass,1.1560,29.617,1
gestureclass,1.1625,23.128,1
gestureclass,1.1638,60.668,1
gestureclass,1.3610,78.650,1
gestureclass,1.3792,60.533,1
gestureclass,1.4064,33.323,1
gestureclass,1.5754,67.309,1
gestureclass,1.7181,77.909,1
gestureclass,1.7821,72.033,1
gestureclass,1.8174,36.775,1
gestureclass,1.8662,72.692,1
gestureclass,1.8958,43.127,1
gestureclass,1.9230,61.086,1
gestureclass,1.9760,84.007,1
gestureclass,2.0152,44.829,1
gestureclass,2.0185,41.517,1
gestureclass,2.0259,34.138,1
gestureclass,2.1167,41.070,1
gestureclass,2.2209,84.215,1
gestureclass,2.2295,75.701,1
gestureclass,2.4868,72.580,1
gestureclass,2.4972,62.174,1
gestureclass,2.5044,54.943,1
gestureclass,2.5844,19.981,1
gestureclass,2.5968,60.565,1
gestureclass,2.6990,44.124,1
gestureclass,2.7064,36.723,1
gestureclass,2.7807,60.217,1
gestureclass,2.8050,35.957,1
gestureclass,2.8430,72.307,1
gestureclass,2.8633,51.997,1
gestureclass,2.9148,61.020,1
gestureclass,3.0063,50.199,1
gestureclass,3.1179,72.454,1
gestureclass,3.1364,53.972,1
gestureclass,3.1427,47.701,1
gestureclass,3.2205,67.214,1
gestureclass,3.2598,27.836,1
gestureclass,3.2978,72.243,1
gestureclass,3.3172,52.775,1
gestureclass,3.3645,71.942,1
gestureclass,3.4044,32.082,1
gestureclass,3.4317,71.728,1
gestureclass,3.4636,39.775,1
gestureclass,3.6208,73.802,1
gestureclass,3.6502,44.343,1
gestureclass,3.7480,27.759,1
gestureclass,3.7623,60.771,1
gestureclass,3.8562,72.522,1
gestureclass,3.8736,55.173,1
gestureclass,3.9184,76.102,1
gestureclass,3.9481,46.534,1
gestureclass,3.9563,38.367,1
gestureclass,3.9625,66.070,1
gestureclass,4.0118,16.827,1
gestureclass,4.0347,78.396,1
gestureclass,4.0701,42.917,1
gestureclass,4.0784,34.638,1
gestureclass,4.0856,66.205,1
gestureclass,4.0889,62.994,1
gestureclass,4.1412,83.079,1
gestureclass,4.1659,58.374,1
gestureclass,4.1756,48.772,1
gestureclass,4.2141,71.311,1
gestureclass,4.2183,67.100,1
gestureclass,4.2534,31.967,1
gestureclass,4.3055,78.127,1
gestureclass,4.3230,60.590,1
gestureclass,4.3282,55.405,1
gestureclass,4.3727,89.404,1
gestureclass,4.3867,75.457,1
gestureclass,4.4009,61.249,1
gestureclass,4.4783,72.589,1
gestureclass,4.4927,58.301,1
gestureclass,4.5000,51.065,1
gestureclass,4.5433,88.032,1
gestureclass,4.5631,68.418,1
gestureclass,4.6669,30.467,1
gestureclass,4.7075,70.105,1
gestureclass,4.7108,66.848,1
gestureclass,4.7140,63.754,1
gestureclass,4.7262,51.573,1
gestureclass,4.7727,24.991,1
gestureclass,4.9829,71.687,1
