task,send_time_s,latency_ms,phase
ecgclass,0.0000,233.134,1
ecgclass,0.0225,229.939,1
ecgclass,0.0718,190.133,1
ecgclass,0.0942,177.188,1
ecgclass,0.1248,165.522,1
ecgclass,0.1390,161.341,1
ecgclass,0.1864,123.527,1
ecgclass,0.2818,47.386,1
ecgclass,0.3546,11.430,1
ecgclass,0.3691,9.758,1
ecgclass,0.3723,15.930,1
ecgclass,0.3893,9.875,1
ecgclass,0.5006,19.364,1
ecgclass,0.5310,9.997,1
ecgclass,0.5373,13.116,1
ecgclass,0.5719,10.076,1
ecgclass,0.6430,10.763,1
ecgclass,0.7129,10.446,1
ecgclass,1.0004,10.035,1
ecgclass,1.0135,10.015,1
ecgclass,1.0871,10.615,1
ecgclass,1.1273,9.909,1
ecgclass,1.2104,10.974,1
ecgclass,1.3425,10.980,1
ecgclass,1.3529,9.954,1
ecgclass,1.3800,9.966,1
ecgclass,1.4060,10.055,1
ecgclass,1.4726,10.130,1
ecgclass,1.4768,15.275,1
ecgclass,1.5111,10.132,1
ecgclass,1.5273,12.545,1
ecgclass,1.6096,10.078,1
ecgclass,1.6902,10.154,1
ecgclass,1.7024,9.760,1
ecgclass,1.7393,10.269,1
ecgclass,1.8077,9.885,1
ecgclass,1.8216,9.874,1
ecgclass,1.8636,10.277,1
ecgclass,1.8950,10.059,1
ecgclass,1.9271,10.183,1
ecgclass,1.9384,9.739,1
ecgclass,1.9862,10.345,1
ecgclass,2.0346,10.355,1
ecgclass,2.0901,10.568,1
ecgclass,2.1327,10.136,1
ecgclass,2.2163,10.272,1
ecgclass,2.2206,15.310,1
ecgclass,2.3530,10.277,1
ecgclass,2.3804,9.920,1
ecgclass,2.3876,12.022,1
ecgclass,2.3985,19.841,1
ecgclass,2.5319,10.028,1
ecgclass,2.5564,22.069,1
ecgclass,2.5638,24.014,1
ecgclass,2.6044,9.930,1
ecgclass,2.6154,9.706,1
ecgclass,2.6562,10.189,1
ecgclass,2.8811,10.017,1
ecgclass,2.9576,10.043,1
ecgclass,2.9809,12.952,1
ecgclass,3.0233,10.155,1
ecgclass,3.0296,13.154,1
ecgclass,3.0538,9.854,1
ecgclass,3.0561,16.911,1
ecgclass,3.1872,11.269,1
ecgclass,3.1956,12.164,1
ecgclass,3.2565,14.316,1
ecgclass,3.3079,10.204,1
ecgclass,3.3262,13.506,1
ecgclass,3.3377,11.354,1
ecgclass,3.3447,13.657,1
ecgclass,3.4936,10.860,1
ecgclass,3.5370,19.526,1
ecgclass,3.5636,9.957,1
ecgclass,3.5766,15.875,1
ecgclass,3.5986,22.012,1
ecgclass,3.6887,10.755,1
ecgclass,3.7116,9.916,1
ecgclass,3.7385,9.905,1
