task,send_time_s,latency_ms,phase
gestureclass,0.0001,271.938,1
gestureclass,0.0108,261.290,1
gestureclass,0.0849,234.566,1
gestureclass,0.1110,208.426,1
gestureclass,0.1338,218.930,1
gestureclass,0.2435,109.255,1
gestureclass,0.2510,112.082,1
gestureclass,0.4277,32.357,1
gestureclass,0.4439,31.050,1
gestureclass,0.4993,35.960,1
gestureclass,0.5393,42.107,1
gestureclass,0.5436,37.808,1
gestureclass,0.5558,25.606,1
gestureclass,0.6710,16.574,1
gestureclass,0.6723,30.247,1
gestureclass,0.6927,41.312,1
gestureclass,0.6949,39.059,1
gestureclass,0.7012,32.840,1
gestureclass,0.7421,16.413,1
gestureclass,0.7738,27.318,1
gestureclass,0.8252,36.748,1
gestureclass,0.8971,31.003,1
gestureclass,0.9392,30.646,1
gestureclass,1.0062,30.500,1
gestureclass,1.0648,37.175,1
gestureclass,1.0712,30.836,1
gestureclass,1.1569,36.096,1
gestureclass,1.2376,35.068,1
gestureclass,1.2551,30.542,1
gestureclass,1.2867,30.473,1
gestureclass,1.4077,41.715,1
gestureclass,1.4089,40.587,1
gestureclass,1.4121,37.332,1
gestureclass,1.4695,30.689,1
gestureclass,1.5103,23.929,1
gestureclass,1.5276,42.356,1
gestureclass,1.5463,23.592,1
gestureclass,1.6009,30.768,1
gestureclass,1.7813,41.736,1
gestureclass,1.7847,38.401,1
gestureclass,1.7879,35.207,1
gestureclass,1.9048,30.705,1
gestureclass,1.9281,36.551,1
gestureclass,2.0479,30.590,1
gestureclass,2.0865,36.123,1
gestureclass,2.0878,34.832,1
gestureclass,2.1287,35.878,1
gestureclass,2.1360,28.630,1
gestureclass,2.1831,31.706,1
gestureclass,2.2281,29.561,1
gestureclass,2.2628,30.834,1
gestureclass,2.3768,31.379,1
gestureclass,2.4720,42.095,1
gestureclass,2.5455,30.836,1
gestureclass,2.6174,31.098,1
gestureclass,2.7167,37.210,1
gestureclass,2.7231,30.796,1
gestureclass,2.8833,37.098,1
gestureclass,2.8907,29.686,1
gestureclass,3.0351,25.359,1
gestureclass,3.0453,30.051,1
gestureclass,3.0967,41.635,1
gestureclass,3.1118,26.512,1
gestureclass,3.1151,23.281,1
gestureclass,3.1253,35.507,1
gestureclass,3.2119,36.553,1
gestureclass,3.2293,19.113,1
gestureclass,3.2525,30.306,1
gestureclass,3.2922,22.223,1
gestureclass,3.3205,30.515,1
gestureclass,3.4352,31.373,1
gestureclass,3.4726,30.557,1
gestureclass,3.5283,36.357,1
gestureclass,3.5426,22.031,1
gestureclass,3.5767,30.545,1
gestureclass,3.6514,30.981,1
gestureclass,3.6964,19.943,1
gestureclass,3.7139,34.847,1
gestureclass,3.8059,36.447,1
gestureclass,3.8336,30.148,1
gestureclass,3.8792,29.308,1
gestureclass,3.9494,28.656,1
gestureclass,3.9526,25.420,1
gestureclass,4.2319,31.342,1
gestureclass,4.3058,30.529,1
gestureclass,4.3657,36.323,1
gestureclass,4.3729,29.118,1
gestureclass,4.3801,31.397,1
gestureclass,4.4136,41.983,1
gestureclass,4.4168,38.731,1
gestureclass,4.4393,35.897,1
gestureclass,4.5093,36.145,1
gestureclass,4.5286,16.798,1
gestureclass,4.5698,35.918,1
gestureclass,4.7706,16.831,1
gestureclass,4.8197,35.984,1
gestureclass,4.8463,30.677,1
gestureclass,4.9450,53.590,1
gestureclass,4.9921,30.458,1
gestureclass,5.0596,30.742,1
gestureclass,5.0800,41.758,1
gestureclass,5.0843,37.488,1
gestureclass,5.1595,50.844,1
gestureclass,5.1690,41.419,1
gestureclass,5.1722,38.242,1
gestureclass,5.2416,42.871,1
gestureclass,5.2521,32.327,1
gestureclass,5.2823,48.241,1
gestureclass,5.2958,34.797,1
gestureclass,5.3052,34.950,1
gestureclass,5.3746,38.538,1
gestureclass,5.3778,35.344,1
gestureclass,5.4030,30.551,1
gestureclass,5.4536,48.182,1
gestureclass,5.4639,37.877,1
gestureclass,5.4816,36.387,1
gestureclass,5.5331,36.336,1
gestureclass,5.5566,36.311,1
gestureclass,5.5838,30.524,1
gestureclass,5.6204,36.670,1
gestureclass,5.6982,31.100,1
gestureclass,5.7759,41.899,1
gestureclass,5.7792,38.640,1
gestureclass,5.7894,28.440,1
gestureclass,5.8639,36.342,1
gestureclass,5.9938,30.476,1
gestureclass,6.0404,41.895,1
gestureclass,6.0417,40.600,1
gestureclass,6.0499,32.414,1
gestureclass,6.0944,36.011,1
gestureclass,6.1188,30.864,1
gestureclass,6.2052,41.958,1
gestureclass,6.2112,35.908,1
gestureclass,6.2457,42.203,1
gestureclass,6.2612,26.714,1
gestureclass,6.2847,30.184,1
gestureclass,6.3170,35.730,1
gestureclass,6.4472,30.770,1
gestureclass,6.4951,41.781,1
gestureclass,6.5207,35.626,1
gestureclass,6.5400,16.339,1
gestureclass,6.5624,35.774,1
gestureclass,6.6122,42.833,1
gestureclass,6.6156,39.519,1
gestureclass,6.6822,42.740,1
gestureclass,6.6865,38.410,1
gestureclass,6.7710,36.262,1
gestureclass,6.8015,30.329,1
gestureclass,6.9227,36.674,1
gestureclass,6.9241,35.295,1
gestureclass,6.9808,30.566,1
gestureclass,7.0255,30.553,1
gestureclass,7.0704,41.401,1
gestureclass,7.1399,36.759,1
gestureclass,7.2108,37.174,1
gestureclass,7.2334,30.449,1
gestureclass,7.2560,35.612,1
gestureclass,7.2679,23.800,1
gestureclass,7.2843,45.596,1
gestureclass,7.3018,28.202,1
gestureclass,7.3240,30.737,1
gestureclass,7.3470,35.559,1
gestureclass,7.3608,21.770,1
gestureclass,7.3867,30.523,1
gestureclass,7.4243,42.087,1
gestureclass,7.5164,31.122,1
gestureclass,7.5546,35.739,1
gestureclass,7.6055,36.643,1
gestureclass,7.6793,30.609,1
gestureclass,7.7130,36.342,1
gestureclass,7.7345,36.405,1
gestureclass,7.7810,30.566,1
gestureclass,7.8407,30.928,1
gestureclass,8.0047,35.869,1
gestureclass,8.0099,30.681,1
gestureclass,8.0866,33.605,1
gestureclass,8.1118,31.027,1
gestureclass,8.1669,35.594,1
gestureclass,8.1818,20.728,1
gestureclass,8.1930,30.904,1
gestureclass,8.2290,30.427,1
gestureclass,8.2573,42.232,1
gestureclass,8.2839,35.977,1
gestureclass,8.2982,21.755,1
gestureclass,8.3280,28.862,1
gestureclass,8.3302,26.667,1
gestureclass,8.3534,35.849,1
gestureclass,8.3566,32.605,1
gestureclass,8.4224,42.879,1
gestureclass,8.4247,40.549,1
gestureclass,8.4329,32.359,1
gestureclass,8.4491,30.961,1
gestureclass,8.4872,30.610,1
gestureclass,8.5379,30.752,1
gestureclass,8.6000,29.946,1
gestureclass,8.6245,36.219,1
gestureclass,8.6411,19.696,1
gestureclass,8.6533,36.695,1
gestureclass,8.6749,35.621,1
gestureclass,8.6931,17.344,1
gestureclass,8.7786,37.324,1
gestureclass,8.8390,36.788,1
gestureclass,8.8666,30.782,1
gestureclass,8.8912,37.762,1
gestureclass,8.9861,31.395,1
gestureclass,9.1314,41.870,1
gestureclass,9.1426,30.624,1
gestureclass,9.2006,30.790,1
gestureclass,9.2475,36.659,1
gestureclass,9.2750,37.122,1
gestureclass,9.3472,48.454,1
gestureclass,9.3495,46.135,1
gestureclass,9.3659,29.992,1
gestureclass,9.3793,32.586,1
gestureclass,9.4032,35.671,1
gestureclass,9.5774,31.442,1
gestureclass,9.6259,30.659,1
gestureclass,9.7130,21.220,1
gestureclass,9.7534,36.254,1
gestureclass,9.8942,36.477,1
gestureclass,9.8956,35.089,1
gestureclass,9.9338,30.439,1
gestureclass,10.0396,37.170,1
gestureclass,10.0470,29.788,1
gestureclass,10.1258,31.461,1
gestureclass,10.1570,35.911,1
gestureclass,10.2340,31.100,1
gestureclass,10.2945,30.870,1
gestureclass,10.3274,30.446,1
gestureclass,10.3630,35.843,1
gestureclass,10.4049,30.529,1
gestureclass,10.4749,46.066,1
gestureclass,10.4771,44.013,1
gestureclass,10.4912,29.873,1
gestureclass,10.5620,31.084,1
gestureclass,10.6562,42.109,1
gestureclass,10.7004,25.180,1
gestureclass,10.7929,30.989,1
gestureclass,10.8133,36.349,1
gestureclass,10.8309,18.690,1
gestureclass,10.9075,48.662,1
gestureclass,10.9138,42.359,1
gestureclass,10.9912,31.124,1
gestureclass,11.1024,42.526,1
gestureclass,11.1097,35.197,1
gestureclass,11.1179,26.986,1
gestureclass,11.1950,36.650,1
gestureclass,11.2111,20.551,1
gestureclass,11.2608,36.109,1
gestureclass,11.2801,16.894,1
gestureclass,11.3071,42.179,1
gestureclass,11.3234,25.887,1
gestureclass,11.3526,34.641,1
gestureclass,11.3758,36.172,1
gestureclass,11.3913,20.653,1
gestureclass,11.4140,41.805,1
gestureclass,11.4546,36.397,1
gestureclass,11.4660,25.037,1
gestureclass,11.5694,17.300,1
gestureclass,11.5757,30.376,1
gestureclass,11.6471,42.629,1
gestureclass,11.6615,28.223,1
gestureclass,11.7492,36.151,1
gestureclass,11.7841,36.042,1
gestureclass,11.8442,36.736,1
gestureclass,11.8525,28.464,1
gestureclass,11.9098,27.015,1
gestureclass,11.9302,35.579,1
gestureclass,12.0340,42.487,1
gestureclass,12.0444,32.180,1
gestureclass,12.0668,33.943,1
gestureclass,12.1168,48.632,1
gestureclass,12.1354,30.101,1
gestureclass,12.1686,30.013,1
gestureclass,12.2911,20.231,1
gestureclass,12.3084,35.482,1
gestureclass,12.3274,16.434,1
gestureclass,12.4648,30.745,1
gestureclass,12.5660,20.147,1
gestureclass,12.5902,27.951,1
gestureclass,12.6591,20.746,1
gestureclass,12.7184,31.005,1
gestureclass,12.7655,35.832,1
gestureclass,12.7847,16.587,1
gestureclass,12.7990,30.285,1
gestureclass,12.8717,16.913,1
gestureclass,12.8790,30.956,1
gestureclass,13.0471,30.649,1
gestureclass,13.0724,30.975,1
gestureclass,13.1065,35.904,1
gestureclass,13.1077,34.676,1
gestureclass,13.1763,35.903,1
gestureclass,13.3002,42.156,1
gestureclass,13.3047,37.589,1
gestureclass,13.3312,35.825,1
gestureclass,13.3325,34.559,1
gestureclass,13.3934,36.158,1
gestureclass,13.3977,31.903,1
gestureclass,13.4327,35.688,1
gestureclass,13.5107,30.047,1
gestureclass,13.5401,41.495,1
gestureclass,13.5571,24.476,1
gestureclass,13.5827,48.015,1
gestureclass,13.5870,43.746,1
gestureclass,13.6114,30.206,1
gestureclass,13.6328,35.657,1
gestureclass,13.6956,36.873,1
gestureclass,13.7209,30.680,1
gestureclass,13.7445,30.521,1
gestureclass,13.7727,30.276,1
gestureclass,13.8231,30.811,1
gestureclass,14.0106,35.666,1
gestureclass,14.0138,32.473,1
gestureclass,14.0441,31.214,1
gestureclass,14.0684,36.054,1
gestureclass,14.0773,27.205,1
gestureclass,14.1043,42.442,1
gestureclass,14.1096,37.219,1
gestureclass,14.1290,35.958,1
gestureclass,14.3247,36.024,1
gestureclass,14.3878,36.289,1
gestureclass,14.3932,30.974,1
gestureclass,14.4174,41.913,1
gestureclass,14.4302,29.078,1
gestureclass,14.5127,30.815,1
gestureclass,14.5657,43.099,1
gestureclass,14.5742,34.643,1
gestureclass,14.5994,36.890,1
gestureclass,14.6483,15.451,1
gestureclass,14.6779,30.487,1
gestureclass,14.6981,36.158,1
gestureclass,14.7034,30.934,1
gestureclass,14.7444,16.584,1
gestureclass,14.7466,35.831,1
gestureclass,14.7608,21.687,1
gestureclass,14.8744,36.515,1
gestureclass,14.9130,19.604,1
gestureclass,14.9758,31.103,1
gestureclass,15.0099,30.472,1
gestureclass,15.0635,35.799,1
gestureclass,15.0688,30.499,1
gestureclass,15.0970,36.441,1
gestureclass,15.1309,33.957,1
gestureclass,15.2370,31.523,1
gestureclass,15.2584,30.241,1
gestureclass,15.3281,39.695,1
gestureclass,15.4719,31.445,1
gestureclass,15.5194,43.229,1
gestureclass,15.7115,36.091,1
gestureclass,15.7865,36.649,1
gestureclass,15.8302,36.039,1
gestureclass,15.8315,34.783,1
gestureclass,15.8934,36.659,1
gestureclass,15.9038,26.337,1
gestureclass,15.9190,35.984,1
gestureclass,16.0031,36.929,1
gestureclass,16.0901,32.092,1
gestureclass,16.1085,30.921,1
gestureclass,16.1387,35.146,1
gestureclass,16.2122,31.237,1
gestureclass,16.3066,24.766,1
gestureclass,16.3325,30.898,1
gestureclass,16.3397,39.073,1
gestureclass,16.3621,31.839,1
gestureclass,16.4111,31.034,1
gestureclass,16.4572,36.443,1
gestureclass,16.4735,20.275,1
gestureclass,16.5322,47.825,1
gestureclass,16.6317,31.178,1
gestureclass,16.7215,39.524,1
gestureclass,16.7317,29.301,1
gestureclass,16.8049,36.338,1
gestureclass,16.8486,36.204,1
gestureclass,16.8888,35.882,1
gestureclass,17.0352,31.446,1
gestureclass,17.0778,30.742,1
gestureclass,17.1226,42.591,1
gestureclass,17.1614,40.201,1
gestureclass,17.1947,36.775,1
gestureclass,17.2137,17.989,1
gestureclass,17.2162,41.130,1
gestureclass,17.2266,31.077,1
gestureclass,17.2855,33.745,1
gestureclass,17.3938,35.733,1
gestureclass,17.3991,30.484,1
gestureclass,17.4158,42.181,1
gestureclass,17.5698,42.382,1
gestureclass,17.7106,36.666,1
gestureclass,17.7250,22.324,1
gestureclass,17.7614,30.696,1
gestureclass,17.8352,31.175,1
gestureclass,18.0319,36.604,1
gestureclass,18.0333,35.197,1
gestureclass,18.2834,49.113,1
gestureclass,18.2907,41.734,1
gestureclass,18.2920,40.532,1
gestureclass,18.2983,34.211,1
gestureclass,18.3376,36.599,1
gestureclass,18.4314,31.281,1
gestureclass,18.4767,36.283,1
gestureclass,18.7116,30.577,1
gestureclass,18.7613,42.457,1
gestureclass,18.7696,34.108,1
gestureclass,18.7759,27.884,1
gestureclass,18.9275,30.242,1
gestureclass,18.9832,45.632,1
gestureclass,18.9873,41.449,1
gestureclass,19.0037,34.491,1
gestureclass,19.0319,30.994,1
gestureclass,19.1143,35.844,1
gestureclass,19.1274,22.725,1
