task,send_time_s,latency_ms,phase
ecgclass,0.0000,261.975,1
ecgclass,0.0736,198.520,1
ecgclass,0.3268,36.591,1
ecgclass,0.4583,42.656,1
ecgclass,0.4637,37.728,1
ecgclass,0.4719,29.496,1
ecgclass,0.5305,31.235,1
ecgclass,0.5768,36.635,1
ecgclass,0.6553,20.383,1
ecgclass,0.8532,20.329,1
ecgclass,0.9050,31.258,1
ecgclass,1.0386,36.461,1
ecgclass,1.0549,20.487,1
ecgclass,1.1570,31.450,1
ecgclass,1.1821,31.138,1
ecgclass,1.2734,38.343,1
ecgclass,1.2843,27.450,1
ecgclass,1.4429,31.357,1
ecgclass,1.5330,36.841,1
ecgclass,1.5589,34.577,1
ecgclass,1.5850,32.738,1
ecgclass,1.7723,31.308,1
ecgclass,1.8577,31.246,1
ecgclass,1.9031,30.758,1
ecgclass,2.1279,30.755,1
ecgclass,2.1552,30.202,1
ecgclass,2.2148,21.991,1
ecgclass,2.2508,20.924,1
ecgclass,2.2561,48.397,1
ecgclass,2.2801,39.418,1
ecgclass,2.2993,20.191,1
ecgclass,2.3480,36.353,1
ecgclass,2.3648,19.626,1
ecgclass,2.4333,26.509,1
ecgclass,2.4652,33.691,1
ecgclass,2.4864,30.708,1
ecgclass,2.5211,30.456,1
ecgclass,2.5847,42.529,1
ecgclass,2.5962,31.179,1
ecgclass,2.6257,25.403,1
ecgclass,2.7725,37.833,1
ecgclass,2.7800,30.393,1
ecgclass,2.8679,19.057,1
ecgclass,2.9080,30.587,1
ecgclass,2.9437,35.895,1
ecgclass,2.9459,33.647,1
ecgclass,3.0277,37.123,1
ecgclass,3.1696,31.392,1
ecgclass,3.2481,30.619,1
ecgclass,3.4095,36.290,1
ecgclass,3.4393,30.038,1
ecgclass,3.5061,32.295,1
ecgclass,3.5575,35.839,1
ecgclass,3.5921,30.207,1
ecgclass,3.6605,48.394,1
ecgclass,3.7004,31.293,1
ecgclass,3.7468,30.783,1
ecgclass,3.7837,41.725,1
ecgclass,3.7849,40.471,1
ecgclass,3.7881,37.310,1
ecgclass,3.8037,31.510,1
ecgclass,3.8350,30.666,1
ecgclass,3.8831,25.077,1
ecgclass,3.9376,21.038,1
ecgclass,4.0166,36.489,1
ecgclass,4.0463,30.490,1
ecgclass,4.1159,42.822,1
ecgclass,4.1183,40.429,1
ecgclass,4.1285,30.241,1
ecgclass,4.1598,30.612,1
ecgclass,4.2738,30.904,1
ecgclass,4.4268,35.585,1
ecgclass,4.4331,29.340,1
ecgclass,4.5954,31.418,1
ecgclass,4.6579,47.913,1
ecgclass,4.6654,40.442,1
ecgclass,4.6686,37.251,1
ecgclass,4.6958,30.512,1
ecgclass,4.7274,28.130,1
ecgclass,4.8120,30.557,1
ecgclass,4.8406,36.457,1
ecgclass,4.9202,42.833,1
ecgclass,4.9246,38.470,1
ecgclass,4.9347,28.283,1
ecgclass,4.9430,41.971,1
ecgclass,4.9604,24.549,1
ecgclass,5.0748,31.085,1
ecgclass,5.1070,31.422,1
ecgclass,5.2266,43.676,1
ecgclass,5.2320,38.238,1
ecgclass,5.2342,35.999,1
ecgclass,5.2366,33.679,1
ecgclass,5.2508,30.584,1
ecgclass,5.2803,31.179,1
ecgclass,5.3218,39.752,1
ecgclass,5.3230,38.611,1
ecgclass,5.3902,27.768,1
ecgclass,5.4222,31.278,1
ecgclass,5.4265,27.075,1
ecgclass,5.4437,35.847,1
ecgclass,5.4576,21.918,1
ecgclass,5.5285,30.452,1
ecgclass,5.5997,30.645,1
ecgclass,5.6939,36.980,1
ecgclass,5.7510,30.836,1
ecgclass,5.8185,30.401,1
ecgclass,5.8417,41.890,1
ecgclass,5.8540,29.704,1
ecgclass,5.9475,31.115,1
ecgclass,5.9927,30.605,1
ecgclass,6.0345,50.166,1
ecgclass,6.0378,46.899,1
ecgclass,6.1005,19.790,1
ecgclass,6.2150,34.371,1
ecgclass,6.2363,47.919,1
ecgclass,6.2485,35.713,1
ecgclass,6.2757,36.561,1
ecgclass,6.2913,20.912,1
ecgclass,6.4707,35.866,1
ecgclass,6.4902,16.427,1
ecgclass,6.5167,36.527,1
ecgclass,6.5280,25.283,1
ecgclass,6.6026,35.977,1
ecgclass,6.6486,36.537,1
ecgclass,6.6539,31.294,1
ecgclass,6.7434,30.547,1
ecgclass,6.7801,29.581,1
ecgclass,6.7943,35.741,1
ecgclass,6.8362,36.608,1
ecgclass,6.8823,40.007,1
ecgclass,6.9334,36.874,1
ecgclass,7.0830,18.616,1
ecgclass,7.1047,43.036,1
ecgclass,7.1079,39.883,1
ecgclass,7.1344,37.043,1
ecgclass,7.1386,32.804,1
ecgclass,7.2105,31.271,1
ecgclass,7.2839,36.839,1
ecgclass,7.3195,30.145,1
ecgclass,7.4093,42.068,1
ecgclass,7.4155,35.843,1
ecgclass,7.4470,30.633,1
ecgclass,7.4717,31.592,1
ecgclass,7.5706,42.361,1
ecgclass,7.6885,31.440,1
ecgclass,7.7270,25.558,1
ecgclass,7.7303,22.296,1
ecgclass,7.7577,36.469,1
ecgclass,7.8673,36.949,1
ecgclass,7.9203,30.723,1
ecgclass,8.0676,31.037,1
ecgclass,8.0960,41.594,1
ecgclass,8.1109,26.704,1
ecgclass,8.1497,30.897,1
ecgclass,8.2761,36.216,1
ecgclass,8.3111,31.365,1
ecgclass,8.3829,36.003,1
ecgclass,8.3842,34.738,1
ecgclass,8.5316,48.682,1
ecgclass,8.5390,41.361,1
ecgclass,8.5402,40.132,1
ecgclass,8.5668,29.350,1
ecgclass,8.6413,31.983,1
ecgclass,8.6854,30.745,1
ecgclass,8.7257,36.248,1
ecgclass,8.8912,30.693,1
ecgclass,8.9846,30.647,1
ecgclass,9.0143,46.744,1
ecgclass,9.0276,33.453,1
ecgclass,9.0361,45.809,1
ecgclass,9.1240,37.169,1
ecgclass,9.1763,30.568,1
ecgclass,9.2149,36.273,1
ecgclass,9.2162,35.010,1
ecgclass,9.4549,31.401,1
ecgclass,9.5177,22.493,1
ecgclass,9.5475,29.953,1
ecgclass,9.5759,30.526,1
ecgclass,9.6205,42.145,1
