task,send_time_s,latency_ms,phase
gestureclass,0.0001,261.943,1
gestureclass,0.2252,67.316,1
gestureclass,0.2822,42.477,1
gestureclass,0.2875,37.183,1
gestureclass,0.2986,26.090,1
gestureclass,0.3431,20.267,1
gestureclass,0.4165,31.712,1
gestureclass,0.5943,19.421,1
gestureclass,0.6388,36.768,1
gestureclass,0.7578,31.860,1
gestureclass,0.8368,37.059,1
gestureclass,0.9513,31.162,1
gestureclass,0.9966,30.875,1
gestureclass,1.0753,30.630,1
gestureclass,1.3199,42.363,1
gestureclass,1.3252,37.137,1
gestureclass,1.3354,27.003,1
gestureclass,1.4365,37.791,1
gestureclass,1.4672,30.712,1
gestureclass,1.5454,24.476,1
gestureclass,1.5557,37.798,1
gestureclass,1.6075,36.084,1
gestureclass,1.6208,22.851,1
gestureclass,1.6597,36.412,1
gestureclass,1.6740,22.121,1
gestureclass,1.6843,30.922,1
gestureclass,1.9389,30.521,1
gestureclass,2.0065,31.030,1
gestureclass,2.0516,30.670,1
gestureclass,2.0749,30.850,1
gestureclass,2.2005,36.283,1
gestureclass,2.2350,36.728,1
gestureclass,2.2573,47.202,1
gestureclass,2.2595,45.012,1
gestureclass,2.2728,31.658,1
gestureclass,2.3246,36.105,1
gestureclass,2.3268,33.859,1
gestureclass,2.3915,30.539,1
gestureclass,2.4231,36.765,1
gestureclass,2.4629,35.941,1
gestureclass,2.5850,42.362,1
gestureclass,2.6154,35.649,1
gestureclass,2.6572,36.215,1
gestureclass,2.6724,20.969,1
gestureclass,2.8505,36.453,1
gestureclass,2.8781,30.246,1
gestureclass,3.0361,28.734,1
gestureclass,3.0573,36.186,1
gestureclass,3.0749,18.620,1
gestureclass,3.2010,35.786,1
gestureclass,3.2203,16.528,1
gestureclass,3.2266,36.084,1
gestureclass,3.2439,18.773,1
gestureclass,3.2818,30.426,1
gestureclass,3.3573,31.095,1
gestureclass,3.4258,19.988,1
gestureclass,3.4331,36.232,1
gestureclass,3.4724,35.877,1
gestureclass,3.4897,18.658,1
gestureclass,3.5019,36.523,1
gestureclass,3.5254,35.455,1
gestureclass,3.5266,34.233,1
gestureclass,3.5619,31.437,1
gestureclass,3.6668,42.041,1
gestureclass,3.6780,30.995,1
gestureclass,3.6792,29.787,1
gestureclass,3.7893,36.087,1
gestureclass,3.7915,33.928,1
gestureclass,3.8718,36.376,1
gestureclass,3.9223,36.334,1
gestureclass,3.9687,30.612,1
gestureclass,3.9940,37.235,1
gestureclass,4.0024,28.863,1
gestureclass,4.0249,28.253,1
gestureclass,4.2105,36.182,1
gestureclass,4.2118,34.886,1
gestureclass,4.3238,30.839,1
gestureclass,4.3927,31.040,1
gestureclass,4.4765,30.683,1
gestureclass,4.6612,44.624,1
gestureclass,4.7199,35.584,1
gestureclass,4.7826,30.903,1
gestureclass,4.8424,34.677,1
gestureclass,4.9532,31.763,1
gestureclass,4.9990,36.655,1
gestureclass,5.0103,25.381,1
gestureclass,5.1022,36.201,1
gestureclass,5.2344,35.788,1
gestureclass,5.3196,42.048,1
gestureclass,5.3757,42.259,1
gestureclass,5.3800,38.134,1
gestureclass,5.4115,42.076,1
gestureclass,5.4846,35.805,1
gestureclass,5.4919,28.584,1
gestureclass,5.5061,30.401,1
gestureclass,5.5630,30.552,1
gestureclass,5.6314,30.447,1
gestureclass,5.7083,22.630,1
gestureclass,5.7839,30.476,1
gestureclass,5.8592,24.455,1
gestureclass,5.8847,30.469,1
gestureclass,5.9183,30.346,1
gestureclass,6.0130,30.833,1
gestureclass,6.0344,50.228,1
gestureclass,6.0469,37.790,1
gestureclass,6.0511,33.611,1
gestureclass,6.0613,33.139,1
gestureclass,6.0826,37.897,1
gestureclass,6.2126,36.665,1
gestureclass,6.2485,35.731,1
gestureclass,6.2505,33.774,1
gestureclass,6.3323,30.990,1
gestureclass,6.3914,36.918,1
gestureclass,6.3988,29.550,1
gestureclass,6.4434,30.695,1
gestureclass,6.5563,36.152,1
gestureclass,6.5706,21.912,1
gestureclass,6.6218,16.718,1
gestureclass,6.6691,30.890,1
gestureclass,6.7231,30.579,1
gestureclass,6.7738,35.908,1
gestureclass,6.7943,35.715,1
gestureclass,6.8464,26.344,1
gestureclass,6.8798,42.459,1
gestureclass,6.8811,41.192,1
gestureclass,6.9417,28.600,1
gestureclass,6.9904,30.825,1
gestureclass,7.0223,36.439,1
gestureclass,7.0325,26.212,1
gestureclass,7.0658,35.887,1
gestureclass,7.0993,48.344,1
gestureclass,7.1151,32.671,1
gestureclass,7.2953,25.410,1
gestureclass,7.3698,36.441,1
gestureclass,7.3841,22.129,1
gestureclass,7.4277,23.649,1
gestureclass,7.4675,35.874,1
gestureclass,7.5204,36.076,1
gestureclass,7.5397,16.806,1
gestureclass,7.5719,41.085,1
gestureclass,7.5861,26.874,1
gestureclass,7.6014,31.023,1
gestureclass,7.7109,41.700,1
gestureclass,7.7699,24.226,1
gestureclass,7.8817,22.494,1
gestureclass,7.9861,36.400,1
gestureclass,8.0005,22.056,1
gestureclass,8.0997,37.899,1
gestureclass,8.1997,30.997,1
gestureclass,8.2518,31.164,1
gestureclass,8.2794,32.980,1
gestureclass,8.3415,36.382,1
gestureclass,8.3525,25.349,1
gestureclass,8.4074,30.858,1
gestureclass,8.4653,31.167,1
gestureclass,8.5444,35.943,1
gestureclass,8.5526,43.553,1
gestureclass,8.5740,35.848,1
gestureclass,8.6310,42.338,1
gestureclass,8.6465,26.767,1
gestureclass,8.7202,41.717,1
gestureclass,8.7235,38.595,1
gestureclass,8.7912,36.790,1
gestureclass,8.8016,26.437,1
gestureclass,8.8208,30.699,1
gestureclass,8.8451,30.996,1
gestureclass,8.9330,30.576,1
gestureclass,9.0130,48.054,1
gestureclass,9.0174,43.669,1
gestureclass,9.0338,48.084,1
gestureclass,9.0361,45.843,1
gestureclass,9.1324,28.751,1
gestureclass,9.2364,36.357,1
gestureclass,9.2510,21.749,1
gestureclass,9.3028,30.906,1
gestureclass,9.4984,41.825,1
gestureclass,9.5177,22.529,1
gestureclass,9.5240,41.672,1
gestureclass,9.5312,34.465,1
gestureclass,9.5413,24.454,1
gestureclass,9.6218,40.848,1
gestureclass,9.6512,30.662,1
gestureclass,9.7110,30.823,1
gestureclass,9.7649,30.179,1
gestureclass,9.8222,36.244,1
gestureclass,9.8579,34.051,1
gestureclass,10.0245,35.882,1
gestureclass,10.0438,16.590,1
gestureclass,10.0481,30.365,1
gestureclass,10.0765,41.698,1
gestureclass,10.0845,33.719,1
gestureclass,10.1545,30.550,1
gestureclass,10.4320,29.539,1
gestureclass,10.4983,25.755,1
gestureclass,10.5054,35.801,1
gestureclass,10.5238,17.432,1
gestureclass,10.5676,16.712,1
gestureclass,10.5760,29.547,1
gestureclass,10.6287,36.772,1
gestureclass,10.6846,48.255,1
gestureclass,10.6879,44.986,1
gestureclass,10.6981,34.800,1
gestureclass,10.7810,30.955,1
gestureclass,10.8047,32.871,1
gestureclass,10.8609,43.465,1
gestureclass,10.9125,30.675,1
gestureclass,10.9358,36.424,1
gestureclass,10.9483,23.955,1
gestureclass,10.9753,35.771,1
gestureclass,10.9815,29.544,1
gestureclass,10.9957,30.093,1
gestureclass,11.0191,35.491,1
gestureclass,11.0890,29.577,1
gestureclass,11.1631,30.430,1
gestureclass,11.3035,36.214,1
gestureclass,11.3139,25.883,1
gestureclass,11.3241,41.753,1
gestureclass,11.3313,34.530,1
gestureclass,11.3849,42.257,1
gestureclass,11.4424,16.426,1
gestureclass,11.4577,41.687,1
gestureclass,11.4881,41.783,1
gestureclass,11.4934,36.510,1
gestureclass,11.5310,30.603,1
gestureclass,11.6152,30.272,1
gestureclass,11.6528,43.536,1
gestureclass,11.6642,32.110,1
gestureclass,11.6695,48.034,1
gestureclass,11.6749,42.650,1
gestureclass,11.7549,36.330,1
gestureclass,11.8343,31.143,1
gestureclass,11.8718,36.865,1
gestureclass,11.9921,34.725,1
gestureclass,12.0300,41.858,1
gestureclass,12.0352,36.600,1
gestureclass,12.0831,30.853,1
gestureclass,12.1393,21.837,1
gestureclass,12.1982,40.184,1
gestureclass,12.2034,34.944,1
gestureclass,12.2675,42.396,1
gestureclass,12.3053,41.842,1
gestureclass,12.4714,36.436,1
gestureclass,12.5433,21.071,1
gestureclass,12.5925,36.246,1
gestureclass,12.6541,21.376,1
gestureclass,12.8156,42.213,1
gestureclass,12.8291,28.743,1
gestureclass,12.8313,26.540,1
gestureclass,12.8365,42.107,1
gestureclass,12.8428,35.831,1
gestureclass,12.8430,35.682,1
gestureclass,12.8719,30.446,1
gestureclass,12.9505,36.322,1
gestureclass,13.0863,30.633,1
gestureclass,13.1250,35.778,1
gestureclass,13.1839,30.709,1
gestureclass,13.2377,35.865,1
gestureclass,13.3037,48.726,1
gestureclass,13.3245,42.850,1
gestureclass,13.3287,38.667,1
gestureclass,13.3967,30.637,1
gestureclass,13.5132,36.046,1
gestureclass,13.6718,36.818,1
gestureclass,13.7026,30.786,1
gestureclass,13.8338,30.535,1
gestureclass,13.9011,21.158,1
gestureclass,13.9457,35.773,1
gestureclass,13.9650,16.526,1
gestureclass,13.9948,24.012,1
gestureclass,14.0735,36.319,1
gestureclass,14.1269,36.018,1
gestureclass,14.1292,33.730,1
gestureclass,14.1680,37.359,1
gestureclass,14.1724,32.936,1
