task,send_time_s,latency_ms,phase
ecgclass,0.0001,236.559,1
ecgclass,0.1220,209.345,1
ecgclass,0.2377,128.700,1
ecgclass,0.3578,32.113,1
ecgclass,0.3705,36.759,1
ecgclass,0.3747,32.537,1
ecgclass,0.4487,16.944,1
ecgclass,0.5187,12.884,1
ecgclass,0.6752,14.277,1
ecgclass,0.6786,22.465,1
ecgclass,0.7312,13.196,1
ecgclass,0.7345,21.857,1
ecgclass,0.7890,12.707,1
ecgclass,0.8758,12.791,1
ecgclass,0.8947,17.582,1
ecgclass,0.9564,13.544,1
ecgclass,0.9637,17.830,1
ecgclass,0.9689,24.448,1
ecgclass,0.9846,32.154,1
ecgclass,1.0308,12.418,1
ecgclass,1.0503,12.393,1
ecgclass,1.1128,13.348,1
ecgclass,1.1247,13.164,1
ecgclass,1.2152,13.083,1
ecgclass,1.2771,15.204,1
ecgclass,1.3094,15.748,1
ecgclass,1.3302,12.244,1
ecgclass,1.3535,12.475,1
ecgclass,1.3568,21.021,1
ecgclass,1.3659,23.899,1
ecgclass,1.3999,12.360,1
ecgclass,1.4193,12.261,1
ecgclass,1.4833,12.489,1
ecgclass,1.5179,12.775,1
ecgclass,1.5302,12.233,1
ecgclass,1.5535,12.478,1
ecgclass,1.5851,12.756,1
ecgclass,1.6029,18.254,1
ecgclass,1.6196,13.399,1
ecgclass,1.6621,16.928,1
ecgclass,1.6773,13.402,1
ecgclass,1.7439,13.449,1
ecgclass,1.8133,12.861,1
ecgclass,1.8679,35.056,1
ecgclass,1.8712,31.922,1
ecgclass,1.9282,12.804,1
ecgclass,1.9961,13.305,1
ecgclass,2.0532,13.005,1
ecgclass,2.0660,12.323,1
ecgclass,2.0824,12.288,1
ecgclass,2.0907,15.716,1
ecgclass,2.1085,12.324,1
ecgclass,2.1086,23.860,1
ecgclass,2.1188,25.359,1
ecgclass,2.1835,18.605,1
ecgclass,2.3840,13.776,1
ecgclass,2.4119,12.605,1
ecgclass,2.4255,12.311,1
ecgclass,2.4449,12.343,1
ecgclass,2.4634,12.279,1
ecgclass,2.4707,16.852,1
ecgclass,2.5267,13.039,1
ecgclass,2.5928,13.570,1
ecgclass,2.6679,12.563,1
ecgclass,2.9334,12.562,1
ecgclass,3.0402,13.263,1
ecgclass,3.1215,14.417,1
ecgclass,3.1730,12.967,1
ecgclass,3.2031,12.857,1
ecgclass,3.2053,22.250,1
ecgclass,3.2527,21.050,1
ecgclass,3.2838,12.707,1
ecgclass,3.3597,12.244,1
ecgclass,3.4615,13.879,1
ecgclass,3.4775,12.313,1
ecgclass,3.4797,21.873,1
ecgclass,3.5267,13.047,1
ecgclass,3.6555,13.806,1
ecgclass,3.6948,12.167,1
ecgclass,3.8020,12.219,1
ecgclass,3.8394,12.789,1
ecgclass,3.9053,13.221,1
ecgclass,3.9196,22.547,1
ecgclass,3.9258,28.210,1
ecgclass,3.9335,37.807,1
ecgclass,3.9387,32.613,1
ecgclass,3.9419,41.189,1
ecgclass,4.0272,13.128,1
ecgclass,4.0504,12.385,1
ecgclass,4.0699,12.654,1
ecgclass,4.1171,12.380,1
ecgclass,4.1253,15.766,1
ecgclass,4.2214,13.549,1
ecgclass,4.2856,13.253,1
ecgclass,4.3030,19.310,1
ecgclass,4.3125,33.255,1
ecgclass,4.3391,18.360,1
ecgclass,4.3538,15.551,1
ecgclass,4.3585,22.602,1
ecgclass,4.3832,12.113,1
ecgclass,4.4956,24.111,1
ecgclass,4.5465,12.652,1
ecgclass,4.7014,12.620,1
ecgclass,4.8025,13.352,1
ecgclass,4.8585,12.387,1
ecgclass,4.9512,13.493,1
ecgclass,4.9878,12.588,1
ecgclass,5.0413,12.592,1
ecgclass,5.0600,12.196,1
ecgclass,5.0712,12.795,1
ecgclass,5.1778,13.494,1
ecgclass,5.1851,18.183,1
ecgclass,5.1943,20.632,1
ecgclass,5.2104,16.465,1
ecgclass,5.2586,12.599,1
ecgclass,5.2793,12.644,1
ecgclass,5.3131,12.636,1
ecgclass,5.4216,12.607,1
ecgclass,5.4983,18.171,1
ecgclass,5.5572,12.625,1
ecgclass,5.5655,16.006,1
ecgclass,5.6248,12.963,1
ecgclass,5.6491,35.783,1
ecgclass,5.6538,42.923,1
ecgclass,5.6736,40.858,1
ecgclass,5.6779,36.605,1
ecgclass,5.7245,13.424,1
