task,send_time_s,latency_ms,phase
ecgclass,0.0001,235.832,1
ecgclass,0.1203,139.906,1
ecgclass,0.2380,45.885,1
ecgclass,0.3569,33.480,1
ecgclass,0.3709,43.906,1
ecgclass,0.3752,62.455,1
ecgclass,0.4479,24.666,1
ecgclass,0.5180,25.207,1
ecgclass,0.6759,13.567,1
ecgclass,0.6783,22.995,1
ecgclass,0.7304,12.721,1
ecgclass,0.7347,20.221,1
ecgclass,0.7887,12.575,1
ecgclass,0.8754,12.920,1
ecgclass,0.8947,17.726,1
ecgclass,0.9565,13.087,1
ecgclass,0.9639,17.353,1
ecgclass,0.9681,24.810,1
ecgclass,0.9843,32.012,1
ecgclass,1.0304,12.477,1
ecgclass,1.0500,12.460,1
ecgclass,1.1125,13.210,1
ecgclass,1.1238,13.665,1
ecgclass,1.2167,12.878,1
ecgclass,1.2764,16.410,1
ecgclass,1.3099,12.719,1
ecgclass,1.3307,12.261,1
ecgclass,1.3531,12.389,1
ecgclass,1.3573,20.934,1
ecgclass,1.3654,23.783,1
ecgclass,1.4003,12.374,1
ecgclass,1.4198,12.413,1
ecgclass,1.4829,14.559,1
ecgclass,1.5186,12.540,1
ecgclass,1.5299,13.030,1
ecgclass,1.5530,12.338,1
ecgclass,1.5852,12.511,1
ecgclass,1.6028,18.666,1
ecgclass,1.6196,13.407,1
ecgclass,1.6630,15.816,1
ecgclass,1.6773,13.162,1
ecgclass,1.7446,13.235,1
ecgclass,1.8138,12.487,1
ecgclass,1.8682,29.405,1
ecgclass,1.8714,38.127,1
ecgclass,1.9287,12.629,1
ecgclass,1.9964,13.351,1
ecgclass,2.0515,12.431,1
ecgclass,2.0660,12.215,1
ecgclass,2.0823,12.184,1
ecgclass,2.0905,15.682,1
ecgclass,2.1083,12.203,1
ecgclass,2.1095,23.022,1
ecgclass,2.1177,26.477,1
ecgclass,2.1831,18.202,1
ecgclass,2.3836,13.720,1
ecgclass,2.4114,12.551,1
ecgclass,2.4250,12.269,1
ecgclass,2.4454,12.295,1
ecgclass,2.4638,12.629,1
ecgclass,2.4700,18.091,1
ecgclass,2.5255,14.208,1
ecgclass,2.5928,13.156,1
ecgclass,2.6679,12.479,1
ecgclass,2.9336,12.581,1
ecgclass,3.0405,12.853,1
ecgclass,3.1215,14.233,1
ecgclass,3.1738,12.887,1
ecgclass,3.2027,13.148,1
ecgclass,3.2050,22.643,1
ecgclass,3.2526,20.988,1
ecgclass,3.2837,12.421,1
ecgclass,3.3595,12.348,1
ecgclass,3.4619,13.741,1
ecgclass,3.4777,12.455,1
ecgclass,3.4800,21.973,1
ecgclass,3.5261,12.687,1
ecgclass,3.6547,13.728,1
ecgclass,3.6951,12.241,1
ecgclass,3.8021,12.300,1
ecgclass,3.8397,12.363,1
ecgclass,3.9051,13.256,1
ecgclass,3.9195,22.837,1
ecgclass,3.9257,28.349,1
ecgclass,3.9334,34.659,1
ecgclass,3.9387,39.174,1
ecgclass,3.9419,47.770,1
ecgclass,4.0277,13.017,1
ecgclass,4.0508,12.329,1
ecgclass,4.0693,12.293,1
ecgclass,4.1162,12.329,1
ecgclass,4.1264,13.825,1
ecgclass,4.2210,13.124,1
ecgclass,4.2862,12.707,1
ecgclass,4.3030,19.283,1
ecgclass,4.3125,33.405,1
ecgclass,4.3390,18.565,1
ecgclass,4.3540,15.434,1
ecgclass,4.3576,23.529,1
ecgclass,4.3832,12.121,1
ecgclass,4.4954,24.141,1
ecgclass,4.5462,12.865,1
ecgclass,4.7006,12.605,1
ecgclass,4.8029,13.362,1
ecgclass,4.8584,12.454,1
ecgclass,4.9514,13.572,1
ecgclass,4.9871,12.659,1
ecgclass,5.0407,12.166,1
ecgclass,5.0599,12.300,1
ecgclass,5.0712,12.880,1
ecgclass,5.1778,13.846,1
ecgclass,5.1852,18.376,1
ecgclass,5.1947,20.603,1
ecgclass,5.2096,17.605,1
ecgclass,5.2581,12.604,1
ecgclass,5.2788,12.342,1
ecgclass,5.3132,12.573,1
ecgclass,5.4216,12.254,1
ecgclass,5.4985,17.311,1
ecgclass,5.5573,12.649,1
ecgclass,5.5655,16.156,1
ecgclass,5.6251,12.905,1
ecgclass,5.6473,26.742,1
ecgclass,5.6535,44.121,1
ecgclass,5.6739,35.423,1
ecgclass,5.6772,44.215,1
ecgclass,5.7235,21.326,1
