task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
vocseg,stfq,0.0001,452.8928,444.4238,285.7388,0.0032,157.5266,4.3495,0.0,8.469,1777844787952524045,1
vocseg,stfq,0.802,48.157,43.0641,40.9854,0.0032,1.3696,2.3034,0.0,5.0928,1777844788752301703,1
vocseg,stfq,1.5814,50.8208,45.9257,43.588,0.003,1.6269,2.0549,0.0,4.8952,1777844789531466749,1
vocseg,stfq,2.3757,49.9971,45.1992,43.3124,0.0028,1.15,2.0566,0.0,4.7979,1777844790325766247,1
vocseg,stfq,2.4688,75.9223,60.2179,58.2471,0.0029,1.2565,13.0002,0.0,15.7044,1777844790429875428,1
vocseg,stfq,2.4975,106.1275,60.2653,58.8013,0.0027,0.9161,43.2911,0.0,45.8622,1777844790488863210,1
vocseg,stfq,2.9822,49.0935,44.3521,42.8555,0.003,0.7863,2.012,0.0,4.7414,1777844790932264980,1
vocseg,stfq,3.4523,82.5756,66.4413,64.9288,0.0033,0.771,13.3715,0.0,16.1342,1777844791413747442,1
vocseg,stfq,4.4933,49.8571,45.053,43.6783,0.004,0.6638,1.9486,0.0,4.8041,1777844792443246733,1
vocseg,stfq,4.5212,126.9214,105.3305,101.661,0.003,2.9292,19.1767,0.0,21.5909,1777844792488403791,1
vocseg,stfq,4.8685,48.317,43.7949,42.132,0.0034,0.8749,1.8976,0.0,4.522,1777844792818403173,1
vocseg,stfq,4.8924,83.2734,59.8215,58.471,0.0026,0.7077,20.9038,0.0,23.4519,1777844792861345544,1
vocseg,stfq,5.2553,48.77,44.5883,43.0435,0.0026,0.666,1.5178,0.0,4.1816,1777844793204872044,1
vocseg,stfq,5.8321,48.948,44.3105,42.87,0.004,0.7254,1.8456,0.0,4.6376,1777844793782014451,1
vocseg,stfq,5.9613,48.0247,42.8021,41.0524,0.0037,0.9459,1.91,0.0,5.2225,1777844793911229125,1
vocseg,stfq,6.3713,62.1641,57.2454,55.5156,0.0029,0.9481,1.6513,0.0,4.9187,1777844794321031684,1
vocseg,stfq,6.4232,69.3927,60.0197,58.2247,0.0039,0.981,6.0494,0.0,9.373,1777844794377342952,1
vocseg,stfq,6.4536,97.5666,60.1706,58.6367,0.0028,0.7985,34.7109,0.0,37.396,1777844794436406854,1
vocseg,stfq,6.5584,57.4799,52.9144,51.4356,0.0028,0.7477,1.6758,0.0,4.5655,1777844794508092410,1
vocseg,stfq,6.8596,49.7937,45.1307,43.657,0.0037,0.7475,1.9374,0.0,4.663,1777844794809577224,1
vocseg,stfq,6.9976,49.3777,44.7397,43.2242,0.003,0.7698,1.8694,0.0,4.6379,1777844794947527951,1
vocseg,stfq,7.4133,49.9983,45.051,43.2941,0.0033,1.0054,2.1498,0.0,4.9473,1777844795363482123,1
