task,send_time_s,latency_ms,phase
nyudepth,0.0002,486.082,1
nyudepth,0.2235,264.835,1
nyudepth,1.0362,122.710,1
nyudepth,1.0781,83.847,1
nyudepth,1.1420,68.510,1
nyudepth,1.5890,101.898,1
nyudepth,1.9173,49.270,1
nyudepth,2.0128,52.619,1
nyudepth,2.1606,49.803,1
nyudepth,2.4104,76.705,1
nyudepth,3.0441,62.398,1
nyudepth,3.1637,50.083,1
nyudepth,3.4181,49.750,1
nyudepth,3.5359,60.807,1
nyudepth,3.6379,52.558,1
nyudepth,4.3493,47.174,1
nyudepth,4.5347,110.823,1
nyudepth,4.9807,62.861,1
nyudepth,5.0817,50.908,1
nyudepth,5.1437,62.964,1
nyudepth,5.5252,47.415,1
nyudepth,5.9969,78.712,1
nyudepth,6.3150,48.716,1
nyudepth,6.7099,50.076,1
nyudepth,7.0496,63.348,1
nyudepth,7.4134,117.383,1
nyudepth,8.1650,59.435,1
nyudepth,9.1061,123.235,1
nyudepth,9.3275,49.649,1
nyudepth,9.3572,127.409,1
nyudepth,9.8255,47.601,1
nyudepth,10.1078,50.083,1
nyudepth,10.9211,49.219,1
nyudepth,11.2692,53.679,1
nyudepth,11.3152,72.723,1
nyudepth,11.6653,70.769,1
nyudepth,11.8563,49.109,1
nyudepth,11.8942,77.616,1
nyudepth,11.9859,58.266,1
nyudepth,13.1449,48.700,1
nyudepth,13.2788,49.930,1
nyudepth,13.3659,86.808,1
nyudepth,13.5129,50.005,1
nyudepth,14.2023,81.923,1
nyudepth,14.5646,101.914,1
nyudepth,14.6313,137.520,1
nyudepth,14.6331,137.655,1
nyudepth,14.7809,57.863,1
nyudepth,14.8297,69.051,1
nyudepth,15.5196,50.289,1
nyudepth,15.5546,81.214,1
nyudepth,15.7831,49.389,1
nyudepth,16.1213,64.741,1
nyudepth,17.0795,49.307,1
nyudepth,17.1750,52.892,1
nyudepth,17.7539,48.658,1
nyudepth,18.0093,49.130,1
nyudepth,18.5851,49.784,1
nyudepth,18.7041,49.760,1
nyudepth,18.8151,51.810,1
nyudepth,18.9000,52.145,1
nyudepth,19.2476,48.386,1
nyudepth,19.4643,47.486,1
nyudepth,19.7532,47.914,1
nyudepth,20.1806,50.196,1
nyudepth,20.5657,49.811,1
nyudepth,20.9149,50.982,1
nyudepth,21.3807,212.601,1
nyudepth,21.3917,203.544,1
nyudepth,21.8932,108.004,1
nyudepth,22.3266,49.724,1
nyudepth,22.4731,55.561,1
nyudepth,22.5528,55.121,1
nyudepth,22.7892,50.289,1
nyudepth,23.4647,48.615,1
nyudepth,23.5735,64.406,1
nyudepth,24.0525,48.841,1
nyudepth,25.0407,48.110,1
nyudepth,25.1740,50.012,1
nyudepth,26.6081,51.170,1
nyudepth,26.6281,137.515,1
nyudepth,26.6401,127.408,1
nyudepth,27.2598,50.164,1
nyudepth,27.4760,79.155,1
nyudepth,27.6765,49.983,1
nyudepth,28.3300,50.146,1
nyudepth,29.1555,57.049,1
nyudepth,29.4293,47.555,1
nyudepth,30.1313,49.746,2
nyudepth,30.1523,354.506,2
nyudepth,30.1631,345.754,2
nyudepth,30.1669,343.271,2
nyudepth,30.1951,320.437,2
nyudepth,30.2369,280.604,2
nyudepth,30.2917,376.091,2
nyudepth,30.2963,373.291,2
nyudepth,30.3174,354.247,2
nyudepth,30.3270,501.428,2
nyudepth,30.3615,469.285,2
nyudepth,30.3655,467.477,2
nyudepth,30.3673,622.888,2
nyudepth,30.3741,618.370,2
nyudepth,30.3759,618.721,2
nyudepth,30.3856,766.090,2
nyudepth,30.3955,758.217,2
nyudepth,30.3972,758.582,2
nyudepth,30.4591,853.034,2
nyudepth,30.4652,849.676,2
nyudepth,30.4891,827.019,2
nyudepth,30.4929,980.928,2
nyudepth,30.5034,972.435,2
nyudepth,30.5051,972.835,2
nyudepth,30.5068,1129.189,2
nyudepth,30.5076,1130.404,2
nyudepth,30.5397,1257.509,2
nyudepth,30.5474,1251.470,2
nyudepth,30.5622,1238.834,2
nyudepth,30.5779,1382.523,2
nyudepth,30.5816,1380.618,2
nyudepth,30.6403,1324.253,2
nyudepth,30.6518,1468.700,2
nyudepth,30.6533,1469.200,2
nyudepth,30.6555,1470.025,2
nyudepth,30.6647,1617.877,2
nyudepth,30.6672,1617.472,2
nyudepth,30.6738,1770.391,2
nyudepth,30.6885,1757.829,2
nyudepth,30.6902,1758.232,2
nyudepth,30.6968,1912.953,2
nyudepth,30.7283,1883.452,2
nyudepth,30.7298,2038.041,2
