task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
vocseg,stfq,0.0001,453.3894,445.2954,285.0691,0.003,159.065,4.3266,0.0,8.094,1777857303448914000,1
vocseg,stfq,0.8022,51.3124,46.1708,43.9468,0.0025,1.4403,2.2078,0.0,5.1417,1777857304248843605,1
vocseg,stfq,1.5809,51.1246,45.6557,43.1542,0.0023,1.7464,2.0239,0.0,5.4688,1777857305027370345,1
vocseg,stfq,2.3763,50.133,45.1838,43.1403,0.0024,1.3707,1.7397,0.0,4.9492,1777857305822441016,1
vocseg,stfq,2.4686,81.2562,62.0395,59.767,0.0024,1.4479,15.9626,0.0,19.2167,1777857305928986080,1
vocseg,stfq,2.4989,109.4568,60.743,59.22,0.002,0.9169,46.267,0.0,48.7137,1777857305989601672,1
vocseg,stfq,2.9829,49.7983,44.9505,43.3482,0.0023,0.9272,1.9975,0.0,4.8478,1777857306429318584,1
vocseg,stfq,3.4521,79.1354,64.2982,62.883,0.0019,0.8961,12.4664,0.0,14.8372,1777857306908982348,1
vocseg,stfq,4.4933,49.8464,44.7017,42.7847,0.003,1.1389,1.8561,0.0,5.1447,1777857307939649291,1
vocseg,stfq,4.5212,125.366,104.7905,101.2108,0.0014,2.8791,18.2879,0.0,20.5754,1777857307983973546,1
vocseg,stfq,4.869,50.2675,45.0656,43.4095,0.0025,0.9554,1.8926,0.0,5.2019,1777857308315315634,1
vocseg,stfq,4.8919,91.1651,65.5524,64.3491,0.0018,0.6685,23.1018,0.0,25.6126,1777857308359447073,1
vocseg,stfq,5.255,51.7027,47.3677,45.5757,0.0019,0.9163,1.7219,0.0,4.335,1777857308701122176,1
vocseg,stfq,5.8322,49.2501,44.6716,43.4153,0.002,0.634,1.946,0.0,4.5786,1777857309278598259,1
vocseg,stfq,5.9617,50.8633,46.3032,44.4124,0.0021,1.2813,1.4188,0.0,4.56,1777857309407526045,1
vocseg,stfq,6.3715,65.4449,61.1159,59.068,0.0034,1.2992,1.6086,0.0,4.329,1777857309817545593,1
vocseg,stfq,6.4234,73.9353,61.6666,59.9967,0.0028,0.9299,9.625,0.0,12.2686,1777857309877443911,1
vocseg,stfq,6.4531,103.9817,60.8971,59.6956,0.0018,0.653,40.6826,0.0,43.0846,1777857309938207731,1
vocseg,stfq,6.5582,63.0796,58.7651,57.4017,0.0021,0.7602,1.575,0.0,4.3145,1777857310004224068,1
vocseg,stfq,6.8594,48.5377,44.0438,42.648,0.0027,0.716,1.828,0.0,4.4939,1777857310305625811,1
vocseg,stfq,6.9971,50.0259,45.3239,43.8449,0.0032,0.7335,1.8604,0.0,4.7021,1777857310443424713,1
vocseg,stfq,7.4132,50.9708,46.1299,44.5234,0.0025,0.7594,2.1746,0.0,4.8409,1777857310859801763,1
vocseg,stfq,7.4873,102.5412,61.5546,60.3913,0.0014,0.6597,38.6477,0.0,40.9866,1777857310970406743,1
vocseg,stfq,8.1006,50.4792,45.6316,44.1076,0.0033,0.7364,2.0752,0.0,4.8476,1777857311547073866,1
vocseg,stfq,8.5093,48.8396,44.2863,42.9306,0.0026,0.7113,1.874,0.0,4.5533,1777857311955582035,1
vocseg,stfq,8.7274,49.325,45.3165,44.1125,0.002,0.6252,1.5206,0.0,4.0084,1777857312173378620,1
vocseg,stfq,8.866,50.6456,46.1349,44.806,0.0023,0.6722,1.8163,0.0,4.5107,1777857312312225816,1
vocseg,stfq,9.0178,48.4674,44.2222,42.7034,0.0021,0.7227,1.653,0.0,4.2452,1777857312463933529,1
vocseg,stfq,9.0427,85.0298,62.2708,60.4767,0.0032,1.0701,20.1018,0.0,22.759,1777857312507245607,1
vocseg,stfq,9.1035,128.7005,105.4563,101.5575,0.0015,3.0414,20.8461,0.0,23.2442,1777857312568775099,1
vocseg,stfq,9.3313,154.5546,109.4105,104.749,0.0017,4.008,42.5646,0.0,45.1441,1777857312818297891,1
vocseg,stfq,9.4609,81.9232,61.0372,59.9615,0.0014,0.5933,18.5409,0.0,20.8861,1777857312923841558,1
vocseg,stfq,9.8823,61.7056,57.7494,56.4768,0.0019,0.6813,1.4133,0.0,3.9562,1777857313328130580,1
vocseg,stfq,10.1182,101.3949,63.3886,61.638,0.0025,1.166,34.9298,0.0,38.0063,1777857313597551335,1
vocseg,stfq,10.198,81.1853,60.996,59.1241,0.0028,1.1229,17.4146,0.0,20.1894,1777857313659832909,1
vocseg,stfq,10.3524,48.1203,43.8737,42.6296,0.0022,0.6452,1.7405,0.0,4.2466,1777857313798552343,1
vocseg,stfq,10.5658,50.0104,45.6665,44.4052,0.0024,0.6349,1.7753,0.0,4.344,1777857314012019373,1
vocseg,stfq,10.68,50.2563,45.8173,44.5065,0.0022,0.6616,1.8692,0.0,4.4389,1777857314126353458,1
vocseg,stfq,10.7875,51.2564,46.9826,45.5364,0.0024,0.7376,1.4048,0.0,4.2738,1777857314233322247,1
vocseg,stfq,11.0802,48.2616,44.1541,42.9123,0.002,0.6634,1.579,0.0,4.1076,1777857314526206230,1
vocseg,stfq,11.1796,50.3776,46.1393,44.6735,0.0029,0.7675,1.5006,0.0,4.2383,1777857314625563236,1
vocseg,stfq,11.6236,50.2777,44.971,43.2125,0.0023,1.0341,2.0049,0.0,5.3067,1777857315070087371,1
vocseg,stfq,12.0879,51.9655,47.5367,46.1118,0.0025,0.7339,1.756,0.0,4.4288,1777857315534055966,1
vocseg,stfq,12.4493,51.1909,45.9781,44.1837,0.0029,0.9583,1.8675,0.0,5.2127,1777857315895606948,1
vocseg,stfq,12.4733,91.7912,66.0871,64.5385,0.0024,0.8062,22.9104,0.0,25.704,1777857315940654834,1
vocseg,stfq,12.8525,49.8691,45.279,44.0002,0.0021,0.6338,1.9071,0.0,4.5901,1777857316298903538,1
vocseg,stfq,13.3023,91.5163,64.3546,62.8741,0.0023,0.9012,24.1246,0.0,27.1617,1777857316770860782,1
vocseg,stfq,13.6765,49.6435,45.049,43.6987,0.0025,0.6947,1.9383,0.0,4.5945,1777857317122909891,1
vocseg,stfq,13.7704,52.3298,47.5534,45.6076,0.0027,0.7425,1.9813,0.0,4.7764,1777857317216784461,1
vocseg,stfq,13.8769,49.7675,45.3638,44.0914,0.0021,0.6569,1.6825,0.0,4.4037,1777857317323000454,1
vocseg,stfq,13.9318,63.1979,59.1512,57.908,0.0023,0.6757,1.5376,0.0,4.0467,1777857317377766659,1
vocseg,stfq,14.0502,52.2475,46.9771,45.2946,0.0028,0.9632,1.9524,0.0,5.2705,1777857317496584575,1
vocseg,stfq,14.0571,107.6057,63.6022,62.0107,0.002,1.0199,41.0528,0.0,44.0035,1777857317542620993,1
vocseg,stfq,14.1136,111.2196,60.9432,59.4221,0.002,0.9894,47.236,0.0,50.2764,1777857317605253365,1
vocseg,stfq,14.5528,50.6685,45.5489,43.8613,0.0028,0.8415,1.9779,0.0,5.1195,1777857317999197378,1
vocseg,stfq,15.8838,51.5764,47.7114,46.5395,0.0022,0.6197,1.3711,0.0,3.865,1777857319329578534,1
vocseg,stfq,16.0716,49.1381,44.5806,43.2427,0.0026,0.6967,1.9414,0.0,4.5575,1777857319518003125,1
vocseg,stfq,16.1656,80.4892,60.9576,59.3775,0.0033,0.8284,16.7868,0.0,19.5315,1777857319626856224,1
vocseg,stfq,16.2993,49.751,45.3087,43.7215,0.003,0.7791,1.6832,0.0,4.4423,1777857319745406940,1
vocseg,stfq,16.4192,50.1809,45.0164,42.8494,0.0026,0.9875,1.8125,0.0,5.1645,1777857319865503334,1
vocseg,stfq,16.4623,68.9118,63.4432,62.116,0.0023,0.7155,2.8796,0.0,5.4686,1777857319909603318,1
vocseg,stfq,16.8236,48.2619,43.5055,41.985,0.0028,0.7654,2.0001,0.0,4.7564,1777857320270084601,1
vocseg,stfq,17.2824,50.4715,46.1259,44.8147,0.0026,0.6785,1.785,0.0,4.3457,1777857320728677887,1
vocseg,stfq,17.7846,81.5086,64.8207,63.5656,0.002,0.6897,14.2503,0.0,16.688,1777857321243283812,1
vocseg,stfq,19.5542,51.8939,48.1082,46.947,0.0018,0.6105,1.3242,0.0,3.7858,1777857322999983983,1
vocseg,stfq,20.2566,56.4449,51.5622,50.131,0.0028,0.7324,2.2132,0.0,4.8827,1777857323703303273,1
vocseg,stfq,20.8047,49.861,45.2258,43.7281,0.0029,0.7356,1.8795,0.0,4.6352,1777857324251073901,1
vocseg,stfq,21.1531,50.2446,45.5397,44.1923,0.0023,0.6773,1.9803,0.0,4.7049,1777857324599509320,1
vocseg,stfq,21.3506,49.8455,44.5992,43.0575,0.0026,0.7666,1.9445,0.0,5.2463,1777857324797031761,1
vocseg,stfq,21.3657,227.8266,193.2569,190.8897,0.0038,1.5844,31.8658,0.0,34.5697,1777857324841987175,1
vocseg,stfq,21.6837,50.8764,46.2301,44.8676,0.0025,0.6702,1.9641,0.0,4.6462,1777857325130088017,1
vocseg,stfq,21.8908,48.8946,44.0776,42.1954,0.0027,1.027,1.8971,0.0,4.8171,1777857325337194315,1
