task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
vocseg,fifo,0.0001,422.075,413.0437,362.8416,0.0026,49.0892,4.2875,0.0,9.0313,1777844978531252371,1
vocseg,fifo,0.8025,49.5186,44.197,43.0617,0.0025,0.6442,2.4414,0.0,5.3216,1777844979331748807,1
vocseg,fifo,1.5807,109.0152,103.6469,100.5371,0.0024,2.5676,2.4941,0.0,5.3683,1777844980110077919,1
vocseg,fifo,2.3763,57.4434,52.6299,49.5788,0.0026,2.5408,2.0614,0.0,4.8135,1777844980905203497,1
vocseg,fifo,2.4689,78.4159,73.4537,72.1534,0.0031,0.778,1.8559,0.0,4.9622,1777844980997598287,1
vocseg,fifo,2.4978,107.6565,55.4358,54.404,0.0022,0.619,49.6421,0.0,52.2207,1777844981074282816,1
vocseg,fifo,2.982,47.2398,42.4109,41.2571,0.0025,0.6682,2.0022,0.0,4.8289,1777844981510845956,1
vocseg,fifo,3.4519,78.4051,73.7299,72.5566,0.0031,0.6896,1.9474,0.0,4.6752,1777844981980709831,1
vocseg,fifo,4.4939,50.1225,45.1649,42.1669,0.0034,2.4414,2.1138,0.0,4.9576,1777844983022808805,1
vocseg,fifo,4.5198,147.66,121.0137,119.5539,0.004,0.8379,24.0674,0.0,26.6463,1777844983070728160,1
vocseg,fifo,4.8688,49.2892,44.7765,43.4364,0.0023,0.6555,1.9495,0.0,4.5128,1777844983397563760,1
vocseg,fifo,4.8927,91.929,63.8041,62.723,0.0021,0.6751,25.2862,0.0,28.1248,1777844983444796571,1
vocseg,fifo,5.2555,50.6759,46.0802,44.9415,0.0025,0.6614,1.9326,0.0,4.5957,1777844983784317301,1
vocseg,fifo,5.8328,47.6801,43.0493,41.8517,0.0031,0.6985,1.9126,0.0,4.6308,1777844984361544593,1
vocseg,fifo,5.9617,58.9464,54.689,51.6448,0.0023,2.574,1.6699,0.0,4.2573,1777844984490173275,1
vocseg,fifo,6.3723,59.9768,55.4858,54.1835,0.003,0.7518,1.8003,0.0,4.4911,1777844984900904689,1
vocseg,fifo,6.4231,68.7048,57.0682,55.9401,0.0028,0.6888,9.0919,0.0,11.6367,1777844984959069529,1
vocseg,fifo,6.4534,96.9536,56.0096,54.9544,0.002,0.6541,38.3894,0.0,40.944,1777844985018633647,1
vocseg,fifo,6.5585,56.8278,52.8855,51.8685,0.0172,0.6176,1.4341,0.0,3.9423,1777844985086777103,1
vocseg,fifo,6.8595,49.6638,45.02,43.8226,0.0031,0.6828,1.8983,0.0,4.6438,1777844985388246232,1
vocseg,fifo,6.9974,48.8951,44.5653,43.449,0.0026,0.6571,1.7207,0.0,4.3298,1777844985525952377,1
vocseg,fifo,7.4129,121.4919,116.864,113.7676,0.0033,2.5705,1.9047,0.0,4.6279,1777844985941689411,1
vocseg,fifo,7.4877,107.3515,58.2341,57.0994,0.0028,0.6648,46.5853,0.0,49.1175,1777844986061144987,1
vocseg,fifo,8.0997,47.4198,42.7913,41.3291,0.0024,0.6859,1.8873,0.0,4.6285,1777844986628472922,1
vocseg,fifo,8.51,48.995,44.3612,43.1955,0.0029,0.6804,1.9073,0.0,4.6339,1777844987038797947,1
vocseg,fifo,8.7274,46.5407,41.9593,40.7876,0.0026,0.6796,1.878,0.0,4.5815,1777844987256091243,1
vocseg,fifo,8.8661,48.3601,43.9133,42.7773,0.0031,0.6859,1.7345,0.0,4.4468,1777844987394696351,1
vocseg,fifo,9.0187,49.0222,44.4516,43.3061,0.0023,0.6473,1.9844,0.0,4.5706,1777844987547538375,1
vocseg,fifo,9.0436,113.5175,86.8931,83.9615,0.003,2.4373,23.9489,0.0,26.6244,1777844987594414742,1
vocseg,fifo,9.1029,152.952,96.0846,94.9208,0.003,0.6881,54.0955,0.0,56.8673,1777844987683830269,1
vocseg,fifo,9.332,121.4354,116.6763,112.854,0.0034,3.2158,1.7416,0.0,4.7592,1777844987860549090,1
vocseg,fifo,9.4605,113.5702,109.3174,108.1449,0.0027,0.6923,1.6184,0.0,4.2528,1777844987989003823,1
vocseg,fifo,9.8839,58.6421,54.2942,53.14,0.0026,0.685,1.6818,0.0,4.3479,1777844988412393589,1
vocseg,fifo,10.1187,107.909,103.6256,102.4331,0.0032,0.6993,1.7245,0.0,4.2834,1777844988647302978,1
vocseg,fifo,10.1976,88.7125,57.1456,56.0165,0.0024,0.6932,28.9824,0.0,31.5668,1777844988753405273,1
vocseg,fifo,10.3515,48.2297,43.7679,42.6266,0.0028,0.6647,1.7228,0.0,4.4618,1777844988880049861,1
vocseg,fifo,10.566,48.1672,43.5839,42.4664,0.0024,0.6512,1.8873,0.0,4.5833,1777844989094762639,1
vocseg,fifo,10.6804,49.5186,45.4758,44.4321,0.0021,0.6399,1.4369,0.0,4.0428,1777844989208647068,1
vocseg,fifo,10.7871,50.0152,45.4615,44.2557,0.0028,0.7314,1.745,0.0,4.5537,1777844989315648064,1
vocseg,fifo,11.08,49.1307,44.1416,42.5074,0.0028,0.7363,2.1756,0.0,4.9891,1777844989608989826,1
vocseg,fifo,11.1793,49.6597,44.8518,43.5279,0.0029,0.7599,1.9426,0.0,4.808,1777844989708072918,1
vocseg,fifo,11.6253,52.8193,47.0863,44.1007,0.0034,2.4119,1.8883,0.0,5.733,1777844990154064978,1
vocseg,fifo,12.0871,49.7253,45.1666,44.0184,0.0025,0.6717,1.8158,0.0,4.5587,1777844990615742430,1
vocseg,fifo,12.4493,48.5044,43.8698,42.5713,0.0032,0.7463,1.9038,0.0,4.6346,1777844990978046087,1
vocseg,fifo,12.4733,86.1747,58.9238,57.6462,0.003,0.7652,24.4462,0.0,27.2509,1777844991024570821,1
vocseg,fifo,12.8519,48.6426,44.0055,42.8312,0.0026,0.6721,1.8904,0.0,4.6372,1777844991380634794,1
vocseg,fifo,13.3024,108.3107,102.2273,99.2204,0.003,2.4727,2.0075,0.0,6.0834,1777844991831273147,1
vocseg,fifo,13.677,49.2594,44.7077,43.4772,0.0031,0.7144,1.7242,0.0,4.5518,1777844992205553056,1
vocseg,fifo,13.7704,50.3478,45.8979,44.7495,0.0026,0.6531,1.7009,0.0,4.4499,1777844992298957558,1
vocseg,fifo,13.8769,49.2754,44.8355,43.6987,0.0024,0.6635,1.7881,0.0,4.4399,1777844992405568008,1
vocseg,fifo,13.9324,62.9835,59.1151,58.0748,0.0025,0.6309,1.3726,0.0,3.8684,1777844992460568455,1
vocseg,fifo,14.0505,49.1302,45.2437,44.229,0.0022,0.6199,1.395,0.0,3.8865,1777844992578725589,1
vocseg,fifo,14.0572,102.3009,57.451,56.4039,0.0025,0.6456,42.3203,0.0,44.8499,1777844992626381702,1
vocseg,fifo,14.1138,124.0773,74.5255,71.6103,0.0022,2.5158,45.6891,0.0,49.5518,1777844992686301173,1
vocseg,fifo,14.5516,95.886,91.3143,88.1866,0.0027,2.5973,1.9486,0.0,4.5717,1777844993080433744,1
vocseg,fifo,15.8833,50.8411,46.4257,45.3399,0.0026,0.629,1.766,0.0,4.4154,1777844994411882875,1
vocseg,fifo,16.0714,49.4297,44.4911,43.2137,0.0035,0.747,2.1048,0.0,4.9386,1777844994600343660,1
vocseg,fifo,16.166,80.0185,75.1465,73.745,0.0036,0.7902,2.0909,0.0,4.872,1777844994694902277,1
vocseg,fifo,16.2992,48.0335,43.3491,42.2495,0.0028,0.6329,1.9233,0.0,4.6843,1777844994827984991,1
vocseg,fifo,16.4205,47.37,42.8587,41.666,0.0029,0.685,1.8156,0.0,4.5113,1777844994949112760,1
vocseg,fifo,16.4625,65.8212,58.0065,56.887,0.0023,0.6722,5.1579,0.0,7.8147,1777844994994486213,1
vocseg,fifo,16.8238,47.1849,42.4362,41.2653,0.0029,0.6542,1.914,0.0,4.7487,1777844995352509194,1
vocseg,fifo,17.282,50.7078,46.1625,45.0401,0.0026,0.6404,1.8482,0.0,4.5453,1777844995810696661,1
vocseg,fifo,17.7843,81.2354,76.7856,75.4337,0.0028,0.808,1.7488,0.0,4.4498,1777844996312876012,1
vocseg,fifo,19.5544,50.9219,46.4985,45.3745,0.0023,0.6465,1.7612,0.0,4.4234,1777844998083009761,1
vocseg,fifo,20.2565,52.1996,47.7114,46.5514,0.0032,0.6659,1.7955,0.0,4.4882,1777844998785174172,1
vocseg,fifo,20.8056,47.04,42.5427,41.4758,0.0023,0.6145,1.8704,0.0,4.4973,1777844999334267279,1
vocseg,fifo,21.153,48.3539,43.6811,42.5139,0.0029,0.6774,1.9033,0.0,4.6728,1777844999681759165,1
vocseg,fifo,21.3507,66.1428,61.4351,58.3626,0.0032,2.5704,1.9469,0.0,4.7077,1777844999879454967,1
vocseg,fifo,21.3657,176.8634,123.2025,120.2378,0.003,2.4094,50.9884,0.0,53.6609,1777844999943541170,1
vocseg,fifo,21.6843,50.2229,44.8595,43.7093,0.0024,0.6734,2.6376,0.0,5.3634,1777845000213774207,1
vocseg,fifo,21.8918,121.1755,116.2103,113.0644,0.003,2.5459,1.9853,0.0,4.9652,1777845000420660265,1
vocseg,fifo,22.3949,57.3823,52.8081,51.633,0.003,0.7035,1.8158,0.0,4.5743,1777845000923607384,1
vocseg,fifo,23.0702,47.3509,42.7597,41.6016,0.0029,0.658,1.9057,0.0,4.5912,1777845001598967041,1
vocseg,fifo,23.1807,49.8526,45.4272,44.2081,0.003,0.6956,1.7385,0.0,4.4254,1777845001709323805,1
vocseg,fifo,23.1967,99.7069,63.1455,61.8392,0.0034,0.7834,33.7629,0.0,36.5614,1777845001757301691,1
vocseg,fifo,23.5057,72.1655,67.0539,65.7442,0.0024,0.6997,1.8826,0.0,5.1116,1777845002034406057,1
vocseg,fifo,24.3573,48.8904,44.2409,42.6468,0.0029,0.6861,1.8976,0.0,4.6495,1777845002886003421,1
vocseg,fifo,24.6305,48.7435,44.2297,43.1295,0.0026,0.6319,1.8194,0.0,4.5138,1777845003159185157,1
vocseg,fifo,25.3416,49.6504,45.0021,43.8626,0.0029,0.6602,1.8675,0.0,4.6483,1777845003870345602,1
vocseg,fifo,25.5916,47.2531,42.6291,41.5175,0.0022,0.6483,1.8981,0.0,4.6241,1777845004120376314,1
vocseg,fifo,26.0294,49.1924,44.4799,43.2936,0.0028,0.6925,1.9352,0.0,4.7126,1777845004558213575,1
vocseg,fifo,26.1258,51.3432,46.8047,45.5583,0.0027,0.7264,1.7841,0.0,4.5385,1777845004654426325,1
vocseg,fifo,26.1708,71.2233,62.3376,61.0343,0.0034,0.7591,6.1405,0.0,8.8857,1777845004703783420,1
vocseg,fifo,26.2184,83.7028,57.2877,55.9381,0.003,0.7833,23.4706,0.0,26.4151,1777845004768691742,1
vocseg,fifo,26.2573,192.2903,144.1432,116.474,0.0028,13.5815,45.2533,0.0,48.1471,1777845004829357011,1
vocseg,fifo,26.2752,176.0848,144.1432,116.474,0.0028,13.5815,27.2653,0.0,31.9416,1777845004829357011,1
vocseg,fifo,26.8476,47.884,43.3482,42.1208,0.0026,0.7292,1.8694,0.0,4.5358,1777845005376300728,1
vocseg,fifo,26.9977,49.2866,44.7565,43.6157,0.0027,0.6317,1.8542,0.0,4.5302,1777845005526390730,1
vocseg,fifo,27.1262,49.2487,44.7659,43.528,0.0029,0.7368,1.7288,0.0,4.4828,1777845005654738399,1
vocseg,fifo,27.4379,58.322,53.652,50.5875,0.0032,2.5078,1.9004,0.0,4.67,1777845005966690375,1
vocseg,fifo,27.5004,108.7193,104.5212,103.3314,0.0032,0.7085,1.5669,0.0,4.1982,1777845006028824959,1
vocseg,fifo,28.1412,47.3754,42.7374,41.5924,0.0024,0.6539,1.8871,0.0,4.6381,1777845006669894969,1
vocseg,fifo,28.5707,48.5549,43.9998,42.8803,0.0029,0.6376,1.8775,0.0,4.5551,1777845007099415466,1
vocseg,fifo,28.6804,49.7465,45.5276,44.3892,0.0033,0.6805,1.5056,0.0,4.2189,1777845007208765414,1
vocseg,fifo,28.7463,55.3002,51.0952,50.0221,0.003,0.6327,1.5221,0.0,4.205,1777845007274703521,1
vocseg,fifo,28.9239,48.4164,43.9112,42.7938,0.0027,0.6615,1.801,0.0,4.5052,1777845007452530158,1
vocseg,fifo,29.0255,49.603,45.4645,44.3109,0.0027,0.7029,1.4498,0.0,4.1385,1777845007553752143,1
vocseg,fifo,29.0502,86.3104,58.8596,57.3157,0.0026,0.6495,24.7474,0.0,27.4507,1777845007601838428,1
vocseg,fifo,29.2191,60.0817,55.7372,54.5561,0.0027,0.6886,1.6115,0.0,4.3445,1777845007747597526,1
vocseg,fifo,29.9692,48.9967,44.3408,43.2308,0.0024,0.623,1.8451,0.0,4.6559,1777845008497908608,1
vocseg,fifo,30.3056,130.8136,125.5703,124.1939,0.0033,0.7927,2.4867,0.0,5.2433,1777845008834962499,2
vocseg,fifo,31.3327,122.8521,117.6959,114.6456,0.0028,2.493,2.5725,0.0,5.1562,1777845009862122851,2
vocseg,fifo,32.015,128.5353,123.8607,120.7535,0.0029,2.5411,2.0385,0.0,4.6745,1777845010543911159,2
vocseg,fifo,32.3875,124.7106,119.4913,116.4104,0.0029,2.5094,2.5151,0.0,5.2192,1777845010916906719,2
vocseg,fifo,33.0045,136.6036,131.9505,128.923,0.0028,2.4635,1.9073,0.0,4.6531,1777845011533227604,2
vocseg,fifo,33.2467,140.878,135.622,132.5531,0.0034,2.477,2.5659,0.0,5.2559,1777845011776062254,2
vocseg,fifo,33.6029,135.3285,131.0084,128.0502,0.0034,2.3883,1.7443,0.0,4.3201,1777845012131491497,2
vocseg,fifo,33.7294,128.257,116.7416,113.7549,0.003,2.4636,8.8396,0.0,11.5154,1777845012265052438,2
vocseg,fifo,33.8023,192.9193,135.0834,132.0227,0.003,2.5322,55.244,0.0,57.8359,1777845012384437806,2
