task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
vocseg,fifo,0.0001,478.6341,470.3039,419.1006,0.0018,50.1556,3.8126,0.0,8.3302,1777857396740735206,1
vocseg,fifo,0.802,81.9211,76.4563,74.9834,0.0022,0.8702,2.5527,0.0,5.4648,1777857397541343815,1
vocseg,fifo,1.5813,166.4615,160.9837,157.9529,0.0023,2.4508,2.6047,0.0,5.4777,1777857398320751447,1
vocseg,fifo,2.3771,132.0307,126.7037,123.711,0.0022,2.4337,2.2805,0.0,5.327,1777857399116145461,1
vocseg,fifo,2.469,267.242,223.8788,197.3967,0.0017,13.0308,40.6563,0.0,43.3631,1777857399246441712,1
vocseg,fifo,2.498,240.0322,223.8788,197.3967,0.0017,13.0308,11.6079,0.0,16.1534,1777857399246441712,1
vocseg,fifo,2.9825,99.7376,94.8558,91.7645,0.002,2.533,2.1653,0.0,4.8818,1777857399721433897,1
vocseg,fifo,3.4525,172.6503,167.7574,164.7343,0.0026,2.4069,2.1126,0.0,4.8929,1777857400191392230,1
vocseg,fifo,4.4932,121.3305,116.623,113.6077,0.002,2.5031,1.9951,0.0,4.7075,1777857401232041319,1
vocseg,fifo,4.5212,224.004,128.3708,127.1951,0.0021,0.7321,93.1075,0.0,95.6333,1777857401351162973,1
vocseg,fifo,4.8685,80.9424,76.2362,74.9514,0.0025,0.7715,2.0342,0.0,4.7062,1777857401607348798,1
vocseg,fifo,4.8925,194.9735,135.5224,132.5547,0.0018,2.3048,56.7632,0.0,59.4511,1777857401686047151,1
vocseg,fifo,5.2566,116.1671,111.2706,110.0052,0.0021,0.7646,2.1386,0.0,4.8965,1777857401995562316,1
vocseg,fifo,5.8322,81.9039,76.7384,75.337,0.0023,0.8515,2.2886,0.0,5.1655,1777857402571270543,1
vocseg,fifo,5.9613,129.2639,124.4649,121.4712,0.002,2.4537,1.8921,0.0,4.799,1777857402699956876,1
vocseg,fifo,6.3722,106.2932,101.4885,100.0426,0.0022,0.8659,2.085,0.0,4.8047,1777857403111106426,1
vocseg,fifo,6.4235,198.724,140.8223,139.0694,0.0024,0.6184,55.2175,0.0,57.9017,1777857403215558519,1
vocseg,fifo,6.4534,170.6636,140.8223,139.0694,0.0024,0.6184,25.3177,0.0,29.8413,1777857403215558519,1
vocseg,fifo,6.5587,147.9712,79.7894,78.7106,0.0013,0.6851,65.7566,0.0,68.1817,1777857403361302981,1
vocseg,fifo,6.8594,80.9059,75.9453,74.6248,0.0021,0.7873,2.2235,0.0,4.9607,1777857403598470928,1
vocseg,fifo,6.9965,106.8258,102.1651,99.1638,0.0025,2.4809,1.9662,0.0,4.6607,1777857403735296648,1
vocseg,fifo,7.4129,177.0716,170.6154,168.4748,0.0028,1.59,2.4188,0.0,6.4562,1777857404152082927,1
vocseg,fifo,7.4877,184.8221,79.9232,78.6406,0.0023,0.7882,102.2022,0.0,104.8989,1777857404326677117,1
vocseg,fifo,8.1001,95.2342,90.4316,87.3973,0.002,2.5112,2.0418,0.0,4.8026,1777857404838922538,1
vocseg,fifo,8.5091,80.8346,75.9849,74.6425,0.0026,0.8311,2.0826,0.0,4.8498,1777857405248017108,1
vocseg,fifo,8.7273,81.1527,76.3252,74.6674,0.0025,0.8146,2.0838,0.0,4.8275,1777857405466145166,1
vocseg,fifo,8.8666,82.5191,77.4532,76.0471,0.0023,0.8712,2.2597,0.0,5.0658,1777857405605677784,1
vocseg,fifo,9.0174,80.6253,75.8222,74.436,0.0023,0.8514,2.0518,0.0,4.8031,1777857405756212585,1
vocseg,fifo,9.0434,223.3829,166.0384,163.0422,0.0026,2.4574,54.4088,0.0,57.3445,1777857405834661903,1
vocseg,fifo,9.1031,277.106,111.1394,108.1534,0.0022,2.4573,163.3835,0.0,165.9666,1777857406003322004,1
vocseg,fifo,9.331,222.6784,171.0682,168.1043,0.0021,2.5001,49.1076,0.0,51.6103,1777857406116915187,1
vocseg,fifo,9.4614,239.1107,144.3087,143.0411,0.0021,0.7728,92.1979,0.0,94.802,1777857406290433826,1
vocseg,fifo,9.882,108.2962,103.3574,102.109,0.0027,0.7532,2.351,0.0,4.9388,1777857406621179782,1
vocseg,fifo,10.1186,161.8006,157.5185,156.3184,0.0024,0.7168,1.8208,0.0,4.2821,1777857406857201541,1
vocseg,fifo,10.1984,163.6739,79.3596,78.2482,0.0015,0.6818,81.8801,0.0,84.3143,1777857407017109863,1
vocseg,fifo,10.3526,93.1959,81.0747,79.8748,0.0023,0.7441,9.3675,0.0,12.1213,1777857407098729617,1
vocseg,fifo,10.566,81.9886,77.1457,75.7723,0.0021,0.8393,2.0504,0.0,4.8428,1777857407304896902,1
vocseg,fifo,10.6802,81.0697,76.7542,75.6409,0.0018,0.6879,1.8411,0.0,4.3155,1777857407418843783,1
vocseg,fifo,10.7884,81.4097,77.1658,75.8804,0.0021,0.8073,1.4641,0.0,4.2439,1777857407526695262,1
vocseg,fifo,11.0805,80.5686,76.1499,74.9565,0.0024,0.7306,1.8315,0.0,4.4186,1777857407819127298,1
vocseg,fifo,11.1802,82.9155,78.7569,77.4848,0.0027,0.8066,1.4033,0.0,4.1586,1777857407918416862,1
