task,send_time_s,latency_ms,phase
nyudepth,0.0002,488.144,1
nyudepth,0.2242,342.112,1
nyudepth,1.0362,80.280,1
nyudepth,1.0781,120.265,1
nyudepth,1.1416,139.129,1
nyudepth,1.5892,164.218,1
nyudepth,1.9167,78.821,1
nyudepth,2.0127,81.958,1
nyudepth,2.1608,79.473,1
nyudepth,2.4105,169.523,1
nyudepth,3.0441,100.742,1
nyudepth,3.1640,81.437,1
nyudepth,3.4187,129.638,1
nyudepth,3.5366,131.508,1
nyudepth,3.6376,111.266,1
nyudepth,4.3496,79.424,1
nyudepth,4.5359,171.967,1
nyudepth,4.9808,137.376,1
nyudepth,5.0818,116.911,1
nyudepth,5.1453,157.956,1
nyudepth,5.5244,79.519,1
nyudepth,5.9972,128.870,1
nyudepth,6.3144,97.909,1
nyudepth,6.7100,135.856,1
nyudepth,7.0504,108.836,1
nyudepth,7.4135,170.725,1
nyudepth,8.1649,96.099,1
nyudepth,9.1059,171.168,1
nyudepth,9.3273,170.481,1
nyudepth,9.3572,309.600,1
nyudepth,9.8249,99.011,1
nyudepth,10.1084,158.015,1
nyudepth,10.9218,79.634,1
nyudepth,11.2689,82.860,1
nyudepth,11.3159,118.246,1
nyudepth,11.6655,122.943,1
nyudepth,11.8566,80.013,1
nyudepth,11.8946,124.738,1
nyudepth,11.9858,126.974,1
nyudepth,13.1452,79.928,1
nyudepth,13.2793,143.039,1
nyudepth,13.3652,164.991,1
nyudepth,13.5133,98.505,1
nyudepth,14.2023,162.286,1
nyudepth,14.5650,155.694,1
nyudepth,14.6308,291.545,1
nyudepth,14.6337,290.835,1
nyudepth,14.7809,280.872,1
nyudepth,14.8297,234.089,1
nyudepth,15.5194,79.729,1
nyudepth,15.5542,127.431,1
nyudepth,15.7829,79.157,1
nyudepth,16.1216,173.542,1
nyudepth,17.0796,78.705,1
nyudepth,17.1755,81.350,1
nyudepth,17.7544,133.815,1
nyudepth,18.0087,79.410,1
nyudepth,18.5858,79.456,1
nyudepth,18.7044,80.132,1
nyudepth,18.8157,80.011,1
nyudepth,18.8999,83.096,1
nyudepth,19.2474,79.593,1
nyudepth,19.4643,79.902,1
nyudepth,19.7529,80.424,1
nyudepth,20.1818,80.234,1
nyudepth,20.5654,79.463,1
nyudepth,20.9134,80.649,1
nyudepth,21.3800,172.112,1
nyudepth,21.3908,294.565,1
nyudepth,21.8931,170.967,1
nyudepth,22.3265,88.061,1
nyudepth,22.4727,93.987,1
nyudepth,22.5521,97.599,1
nyudepth,22.7899,78.938,1
nyudepth,23.4644,117.257,1
nyudepth,23.5744,137.798,1
nyudepth,24.0517,79.975,1
nyudepth,25.0415,79.670,1
nyudepth,25.1743,80.537,1
nyudepth,26.6079,80.475,1
nyudepth,26.6286,200.337,1
nyudepth,26.6403,190.466,1
nyudepth,27.2599,80.573,1
nyudepth,27.4756,171.429,1
nyudepth,27.6762,90.306,1
nyudepth,28.3299,79.588,1
nyudepth,29.1543,170.866,1
nyudepth,29.4292,79.343,1
