task,send_time_s,latency_ms,phase
vocseg,0.0001,478.634,1
vocseg,0.8020,81.921,1
vocseg,1.5813,166.461,1
vocseg,2.3771,132.031,1
vocseg,2.4690,267.242,1
vocseg,2.4980,240.032,1
vocseg,2.9825,99.738,1
vocseg,3.4525,172.650,1
vocseg,4.4932,121.330,1
vocseg,4.5212,224.004,1
vocseg,4.8685,80.942,1
vocseg,4.8925,194.973,1
vocseg,5.2566,116.167,1
vocseg,5.8322,81.904,1
vocseg,5.9613,129.264,1
vocseg,6.3722,106.293,1
vocseg,6.4235,198.724,1
vocseg,6.4534,170.664,1
vocseg,6.5587,147.971,1
vocseg,6.8594,80.906,1
vocseg,6.9965,106.826,1
vocseg,7.4129,177.072,1
vocseg,7.4877,184.822,1
vocseg,8.1001,95.234,1
vocseg,8.5091,80.835,1
vocseg,8.7273,81.153,1
vocseg,8.8666,82.519,1
vocseg,9.0174,80.625,1
vocseg,9.0434,223.383,1
vocseg,9.1031,277.106,1
vocseg,9.3310,222.678,1
vocseg,9.4614,239.111,1
vocseg,9.8820,108.296,1
vocseg,10.1186,161.801,1
vocseg,10.1984,163.674,1
vocseg,10.3526,93.196,1
vocseg,10.5660,81.989,1
vocseg,10.6802,81.070,1
vocseg,10.7884,81.410,1
vocseg,11.0805,80.569,1
vocseg,11.1802,82.916,1
vocseg,11.6237,118.680,1
vocseg,12.0886,98.275,1
vocseg,12.4493,82.038,1
vocseg,12.4735,140.690,1
vocseg,12.8524,80.904,1
vocseg,13.3031,172.156,1
vocseg,13.6779,81.536,1
vocseg,13.7696,82.418,1
vocseg,13.8772,82.230,1
vocseg,13.9319,110.790,1
vocseg,14.0508,83.485,1
vocseg,14.0577,303.891,1
vocseg,14.1136,249.928,1
vocseg,14.5522,158.271,1
vocseg,15.8832,83.614,1
vocseg,16.0720,108.393,1
vocseg,16.1658,159.052,1
vocseg,16.2985,108.426,1
vocseg,16.4190,82.256,1
vocseg,16.4618,123.320,1
vocseg,16.8245,81.753,1
vocseg,17.2820,82.233,1
vocseg,17.7848,137.784,1
vocseg,19.5541,85.268,1
vocseg,20.2570,87.642,1
vocseg,20.8054,82.071,1
vocseg,21.1528,80.461,1
vocseg,21.3505,136.894,1
vocseg,21.3654,295.248,1
vocseg,21.6838,87.670,1
vocseg,21.8918,175.480,1
vocseg,22.3939,110.196,1
vocseg,23.0699,81.657,1
vocseg,23.1807,82.377,1
vocseg,23.1976,150.204,1
vocseg,23.5051,175.383,1
vocseg,24.3572,80.512,1
vocseg,24.6300,81.131,1
vocseg,25.3409,81.880,1
vocseg,25.5921,81.333,1
vocseg,26.0299,81.360,1
vocseg,26.1255,82.049,1
vocseg,26.1704,120.940,1
vocseg,26.2177,351.332,1
vocseg,26.2576,313.250,1
vocseg,26.2753,297.478,1
vocseg,26.8486,83.329,1
vocseg,26.9971,82.329,1
vocseg,27.1257,80.853,1
vocseg,27.4375,123.551,1
vocseg,27.5005,201.303,1
vocseg,28.1396,80.818,1
vocseg,28.5705,81.177,1
vocseg,28.6798,82.232,1
vocseg,28.7466,100.085,1
vocseg,28.9239,80.853,1
vocseg,29.0249,82.229,1
vocseg,29.0506,178.913,1
vocseg,29.2182,147.570,1
vocseg,29.9691,81.707,1
vocseg,30.3055,184.747,2
vocseg,31.3333,187.032,2
vocseg,32.0155,183.657,2
vocseg,32.3877,187.455,2
vocseg,33.0049,164.150,2
vocseg,33.2467,172.997,2
vocseg,33.6027,205.926,2
vocseg,33.8032,188.558,2
vocseg,33.8033,353.199,2
vocseg,34.5173,170.985,2
vocseg,34.5640,422.687,2
vocseg,34.6268,361.975,2
vocseg,34.7303,439.031,2
vocseg,35.0533,296.184,2
vocseg,35.1903,326.103,2
vocseg,35.4192,277.952,2
vocseg,36.1393,172.577,2
vocseg,36.6525,164.480,2
vocseg,37.0443,104.326,2
vocseg,37.1009,228.012,2
vocseg,37.4965,186.751,2
vocseg,37.6486,204.107,2
vocseg,37.6894,604.230,2
vocseg,37.8225,474.034,2
vocseg,37.8460,452.628,2
vocseg,38.1506,328.319,2
vocseg,38.4746,186.589,2
vocseg,38.5730,380.464,2
vocseg,38.5881,367.562,2
vocseg,39.4983,181.568,2
vocseg,39.7681,169.278,2
vocseg,40.2637,171.437,3
vocseg,40.3811,237.252,3
vocseg,40.9401,183.285,3
vocseg,41.4867,185.081,3
vocseg,41.5175,329.405,3
vocseg,43.3284,173.675,3
vocseg,43.5533,184.601,3
vocseg,44.0186,186.593,3
vocseg,44.1006,274.461,3
vocseg,44.4282,185.210,3
vocseg,44.5232,260.283,3
vocseg,45.0613,187.028,3
vocseg,45.2163,201.610,3
vocseg,45.4751,185.552,3
vocseg,45.6523,174.815,3
vocseg,45.9032,177.996,3
vocseg,46.0602,200.457,3
vocseg,46.2649,186.152,3
vocseg,46.2737,344.693,3
vocseg,46.8031,181.231,3
vocseg,47.6396,181.505,3
vocseg,47.8332,183.620,3
vocseg,48.9681,175.379,3
vocseg,49.0241,300.004,3
vocseg,49.9532,179.638,3
