task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
vocseg,stfq,0.0001,441.5219,433.1288,285.2974,0.0029,146.6852,4.4751,0.0,8.3931,1777844699581269987,1
vocseg,stfq,0.8025,49.5646,44.5094,42.3655,0.003,1.418,2.2168,0.0,5.0552,1777844700381366085,1
vocseg,stfq,1.5815,50.6825,45.2264,43.2568,0.0031,1.1846,2.1269,0.0,5.4561,1777844701160295286,1
vocseg,stfq,2.3756,50.5342,45.265,43.3259,0.0028,1.0818,1.8868,0.0,5.2693,1777844701954152071,1
vocseg,stfq,2.4693,78.3641,60.189,58.2719,0.0026,1.0417,15.4548,0.0,18.1751,1777844702061419970,1
vocseg,stfq,2.4984,107.3308,59.3799,57.8911,0.0023,0.9158,45.3234,0.0,47.9509,1777844702120433474,1
vocseg,stfq,2.9823,49.65,44.6998,42.8181,0.0023,1.2248,2.1608,0.0,4.9501,1777844702561144954,1
vocseg,stfq,3.4516,80.6916,64.2815,62.7324,0.0021,0.9661,13.9089,0.0,16.4101,1777844703042198389,1
vocseg,stfq,4.494,50.21,45.3349,43.6279,0.0028,0.9489,2.2039,0.0,4.8751,1777844704072859695,1
vocseg,stfq,4.52,144.8216,59.4353,58.2274,0.0023,0.6435,82.8216,0.0,85.3863,1777844704179450001,1
vocseg,stfq,4.8691,49.0065,43.8821,42.0061,0.0028,1.0648,2.3444,0.0,5.1244,1777844704448157700,1
vocseg,stfq,4.8922,83.8611,58.9961,57.4437,0.0024,0.7885,22.1472,0.0,24.865,1777844704491059206,1
vocseg,stfq,5.2559,49.4661,44.7488,43.3698,0.0024,0.7003,1.9238,0.0,4.7174,1777844704834515428,1
vocseg,stfq,5.8325,48.8255,43.9798,42.676,0.0025,0.6453,2.1231,0.0,4.8457,1777844705411298827,1
vocseg,stfq,5.9616,48.9445,44.2916,42.5942,0.0028,1.0394,2.0378,0.0,4.6529,1777844705540286439,1
