task,send_time_s,latency_ms,phase
nyudepth,0.0002,465.539,1
nyudepth,0.2239,244.629,1
nyudepth,1.0363,47.707,1
nyudepth,1.0783,68.983,1
nyudepth,1.1422,66.022,1
nyudepth,1.5898,99.705,1
nyudepth,1.9168,49.722,1
nyudepth,2.0127,52.747,1
nyudepth,2.1607,48.732,1
nyudepth,2.4105,81.772,1
nyudepth,3.0435,62.333,1
nyudepth,3.1631,49.832,1
nyudepth,3.4193,49.222,1
nyudepth,3.5366,59.751,1
nyudepth,3.6375,51.236,1
nyudepth,4.3496,46.924,1
nyudepth,4.5345,68.850,1
nyudepth,4.9806,61.167,1
nyudepth,5.0819,50.245,1
nyudepth,5.1434,59.877,1
nyudepth,5.5252,48.326,1
nyudepth,5.9971,76.630,1
nyudepth,6.3142,49.236,1
nyudepth,6.7104,48.704,1
nyudepth,7.0497,63.368,1
nyudepth,7.4134,117.151,1
nyudepth,8.1650,60.496,1
nyudepth,9.1062,82.411,1
nyudepth,9.3269,48.827,1
nyudepth,9.3577,80.118,1
nyudepth,9.8250,48.895,1
nyudepth,10.1077,49.834,1
nyudepth,10.9209,48.762,1
nyudepth,11.2693,52.627,1
nyudepth,11.3153,65.790,1
nyudepth,11.6655,71.655,1
nyudepth,11.8574,49.261,1
nyudepth,11.8953,72.949,1
nyudepth,11.9854,57.586,1
nyudepth,13.1450,48.498,1
nyudepth,13.2787,51.453,1
nyudepth,13.3645,90.609,1
nyudepth,13.5132,48.504,1
nyudepth,14.2032,82.546,1
nyudepth,14.5651,104.275,1
nyudepth,14.6305,100.949,1
nyudepth,14.6332,159.875,1
nyudepth,14.7796,73.945,1
nyudepth,14.8302,83.346,1
nyudepth,15.5194,50.705,1
nyudepth,15.5544,83.705,1
nyudepth,15.7834,49.304,1
nyudepth,16.1214,66.046,1
nyudepth,17.0797,49.817,1
nyudepth,17.1756,51.988,1
nyudepth,17.7537,48.492,1
nyudepth,18.0087,50.693,1
nyudepth,18.5860,49.169,1
nyudepth,18.7044,47.811,1
nyudepth,18.8154,50.954,1
nyudepth,18.8995,51.777,1
nyudepth,19.2477,47.790,1
nyudepth,19.4638,49.278,1
nyudepth,19.7534,48.129,1
nyudepth,20.1811,49.664,1
nyudepth,20.5654,49.251,1
nyudepth,20.9140,50.691,1
nyudepth,21.3802,80.390,1
nyudepth,21.3911,189.334,1
nyudepth,21.8933,110.272,1
nyudepth,22.3270,50.036,1
nyudepth,22.4721,55.649,1
nyudepth,22.5529,53.826,1
nyudepth,22.7891,49.563,1
nyudepth,23.4645,50.600,1
nyudepth,23.5733,65.393,1
nyudepth,24.0522,49.211,1
nyudepth,25.0408,49.052,1
nyudepth,25.1741,50.696,1
nyudepth,26.6080,49.848,1
nyudepth,26.6280,98.011,1
nyudepth,26.6408,146.669,1
nyudepth,27.2600,50.596,1
nyudepth,27.4756,75.098,1
nyudepth,27.6770,49.209,1
nyudepth,28.3297,50.223,1
nyudepth,29.1557,55.292,1
nyudepth,29.4295,48.915,1
nyudepth,30.1320,50.613,2
nyudepth,30.1520,94.566,2
nyudepth,30.1628,144.230,2
nyudepth,30.1666,202.785,2
nyudepth,30.1948,296.048,2
nyudepth,30.2374,313.172,2
nyudepth,30.2907,320.688,2
nyudepth,30.2963,378.627,2
nyudepth,30.3172,419.777,2
nyudepth,30.3279,469.795,2
nyudepth,30.3614,497.560,2
nyudepth,30.3660,554.046,2
nyudepth,30.3676,614.134,2
nyudepth,30.3745,667.738,2
nyudepth,30.3752,729.551,2
nyudepth,30.3848,780.684,2
nyudepth,30.3964,830.806,2
nyudepth,30.3981,888.879,2
nyudepth,30.4594,887.075,2
nyudepth,30.4654,1001.450,2
nyudepth,30.4890,1038.976,2
nyudepth,30.4930,1097.705,2
nyudepth,30.5038,1146.680,2
nyudepth,30.5053,1206.491,2
nyudepth,30.5074,1262.781,2
nyudepth,30.5075,1323.727,2
nyudepth,30.5396,1352.993,2
nyudepth,30.5471,1407.520,2
nyudepth,30.5607,1455.593,2
nyudepth,30.5784,1496.594,2
nyudepth,30.5820,1611.837,2
nyudepth,30.6405,1614.995,2
nyudepth,30.6513,1665.141,2
nyudepth,30.6527,1724.641,2
nyudepth,30.6552,1783.326,2
nyudepth,30.6647,1895.401,2
nyudepth,30.6672,1953.203,2
nyudepth,30.6737,2010.043,2
nyudepth,30.6891,2054.368,2
nyudepth,30.6900,2114.481,2
nyudepth,30.6965,2169.333,2
nyudepth,30.7280,2199.706,2
nyudepth,30.7295,2260.276,2
nyudepth,30.7491,2301.678,2
nyudepth,30.7498,2423.836,2
nyudepth,30.8038,2428.990,2
nyudepth,30.8087,2484.876,2
nyudepth,30.8135,2600.523,2
nyudepth,30.8351,2639.045,2
nyudepth,30.8811,2655.071,2
nyudepth,30.9441,2654.769,2
nyudepth,30.9719,2688.321,2
nyudepth,31.0068,2776.701,2
nyudepth,31.0286,2935.224,2
nyudepth,31.0322,2994.279,2
nyudepth,31.0564,3089.477,2
nyudepth,31.0594,3095.795,2
nyudepth,31.0800,3135.138,2
nyudepth,31.0956,3183.245,2
nyudepth,31.1012,3242.788,2
nyudepth,31.1159,3289.728,2
nyudepth,31.1336,3333.393,2
nyudepth,31.1381,3390.758,2
nyudepth,31.1467,3565.368,2
nyudepth,31.1552,3677.924,2
nyudepth,31.1578,3797.121,2
nyudepth,31.1634,4043.635,2
nyudepth,31.1846,4066.658,2
nyudepth,31.2075,4234.435,2
nyudepth,31.2191,4343.434,2
nyudepth,31.2314,4392.276,2
nyudepth,31.2394,4446.321,2
nyudepth,31.2623,4483.955,2
nyudepth,31.2702,4535.542,2
nyudepth,31.2902,4578.827,2
nyudepth,31.3021,4626.826,2
nyudepth,31.3149,4675.572,2
nyudepth,31.3716,4680.033,2
nyudepth,31.4154,4697.900,2
nyudepth,31.4352,4739.517,2
nyudepth,31.4580,4838.945,2
nyudepth,31.4609,4898.659,2
nyudepth,31.4699,4951.774,2
nyudepth,31.4957,4986.743,2
nyudepth,31.5163,5027.992,2
nyudepth,31.5208,5085.062,2
nyudepth,31.5831,5084.751,2
nyudepth,31.5839,5215.893,2
nyudepth,31.6068,5254.008,2
nyudepth,31.6079,5314.975,2
nyudepth,31.6576,5326.230,2
nyudepth,31.6596,5386.436,2
nyudepth,31.6902,5418.816,2
nyudepth,31.6937,5601.390,2
nyudepth,31.7843,5571.784,2
nyudepth,31.7961,5621.700,2
nyudepth,31.8198,5661.108,2
nyudepth,31.8393,5707.335,2
nyudepth,31.8540,5817.967,2
nyudepth,31.8826,5974.780,2
nyudepth,31.8967,6080.009,2
nyudepth,31.9514,6148.789,2
nyudepth,31.9531,6208.415,2
nyudepth,32.0595,6222.379,2
nyudepth,32.0762,6266.289,2
nyudepth,32.0820,6322.313,2
nyudepth,32.0935,6372.635,2
nyudepth,32.1190,6408.873,2
nyudepth,32.1386,6511.612,2
nyudepth,32.1807,6591.276,2
nyudepth,32.2259,6668.320,2
nyudepth,32.2456,6708.200,2
nyudepth,32.2766,6739.779,2
nyudepth,32.2893,6788.249,2
nyudepth,32.2919,6844.751,2
nyudepth,32.3034,6894.157,2
nyudepth,32.3089,6955.279,2
nyudepth,32.3485,6975.622,2
nyudepth,32.3522,7033.211,2
nyudepth,32.3785,7069.178,2
nyudepth,32.4241,7086.449,2
nyudepth,32.4258,7213.861,2
nyudepth,32.4456,7255.141,2
nyudepth,32.4975,7265.162,2
nyudepth,32.5077,7316.626,2
nyudepth,32.5184,7432.979,2
nyudepth,32.5310,7480.989,2
nyudepth,32.5354,7535.761,2
nyudepth,32.5389,7593.493,2
nyudepth,32.6003,7593.790,2
nyudepth,32.6486,7607.156,2
nyudepth,32.6603,7657.641,2
nyudepth,32.6669,7773.319,2
nyudepth,32.6939,7868.743,2
nyudepth,32.7806,7845.052,2
nyudepth,32.8246,7865.304,2
nyudepth,32.8335,7920.398,2
nyudepth,32.8486,7968.136,2
nyudepth,32.8689,8009.764,2
nyudepth,32.8837,8055.682,2
nyudepth,32.8904,8109.972,2
nyudepth,32.8970,8226.891,2
nyudepth,32.9185,8267.334,2
nyudepth,32.9888,8259.414,2
nyudepth,32.9919,8318.091,2
nyudepth,33.0162,8355.879,2
nyudepth,33.0699,8364.605,2
nyudepth,33.0700,8425.232,2
