task,send_time_s,latency_ms,phase
vocseg,0.0001,441.522,1
vocseg,0.8025,49.565,1
vocseg,1.5815,50.683,1
vocseg,2.3756,50.534,1
vocseg,2.4693,78.364,1
vocseg,2.4984,107.331,1
vocseg,2.9823,49.650,1
vocseg,3.4516,80.692,1
vocseg,4.4940,50.210,1
vocseg,4.5200,144.822,1
vocseg,4.8691,49.006,1
vocseg,4.8922,83.861,1
vocseg,5.2559,49.466,1
vocseg,5.8325,48.826,1
vocseg,5.9616,48.944,1
vocseg,6.3714,62.143,1
vocseg,6.4232,67.022,1
vocseg,6.4537,94.389,1
vocseg,6.5583,56.684,1
vocseg,6.8589,49.160,1
vocseg,6.9963,49.024,1
vocseg,7.4129,49.818,1
vocseg,7.4868,96.007,1
vocseg,8.1005,48.380,1
vocseg,8.5099,48.586,1
vocseg,8.7278,48.387,1
vocseg,8.8664,49.244,1
vocseg,9.0180,50.120,1
vocseg,9.0430,86.601,1
vocseg,9.1033,146.607,1
vocseg,9.3311,170.895,1
vocseg,9.4613,99.412,1
vocseg,9.8828,57.459,1
vocseg,10.1184,97.616,1
vocseg,10.1974,75.371,1
vocseg,10.3520,48.322,1
vocseg,10.5657,49.265,1
vocseg,10.6801,50.490,1
vocseg,10.7878,50.806,1
vocseg,11.0800,47.836,1
vocseg,11.1791,49.420,1
vocseg,11.6254,48.396,1
vocseg,12.0871,50.667,1
vocseg,12.4492,49.664,1
vocseg,12.4732,87.770,1
vocseg,12.8515,49.666,1
vocseg,13.3031,88.797,1
vocseg,13.6771,48.980,1
vocseg,13.7703,49.440,1
vocseg,13.8769,49.171,1
vocseg,13.9322,58.790,1
vocseg,14.0512,49.972,1
vocseg,14.0570,104.869,1
vocseg,14.1133,108.712,1
vocseg,14.5515,49.577,1
vocseg,15.8848,51.541,1
vocseg,16.0716,49.335,1
vocseg,16.1660,79.569,1
vocseg,16.2987,49.416,1
vocseg,16.4203,48.841,1
vocseg,16.4622,67.451,1
vocseg,16.8241,49.062,1
vocseg,17.2818,50.161,1
vocseg,17.7845,78.336,1
vocseg,19.5546,51.267,1
vocseg,20.2565,53.348,1
vocseg,20.8050,47.995,1
vocseg,21.1535,47.567,1
vocseg,21.3503,49.459,1
vocseg,21.3653,154.054,1
vocseg,21.6837,50.057,1
vocseg,21.8911,50.390,1
vocseg,22.3938,54.746,1
vocseg,23.0701,48.840,1
vocseg,23.1801,50.213,1
vocseg,23.1971,92.993,1
vocseg,23.5054,70.433,1
vocseg,24.3572,48.907,1
vocseg,24.6305,47.376,1
vocseg,25.3420,48.420,1
vocseg,25.5918,49.505,1
vocseg,26.0299,48.699,1
vocseg,26.1257,51.487,1
vocseg,26.1707,62.740,1
vocseg,26.2184,75.083,1
vocseg,26.2576,94.878,1
vocseg,26.2755,135.319,1
vocseg,26.8479,50.457,1
vocseg,26.9976,48.492,1
vocseg,27.1263,49.265,1
vocseg,27.4380,50.626,1
vocseg,27.4999,108.792,1
vocseg,28.1411,49.320,1
vocseg,28.5707,49.124,1
vocseg,28.6799,48.917,1
vocseg,28.7480,54.317,1
vocseg,28.9236,47.591,1
vocseg,29.0253,49.620,1
vocseg,29.0502,82.224,1
vocseg,29.2188,57.323,1
vocseg,29.9694,48.253,1
vocseg,30.3059,115.784,2
vocseg,31.3327,121.189,2
vocseg,32.0153,110.842,2
vocseg,32.3874,102.470,2
vocseg,33.0047,92.129,2
vocseg,33.2465,97.258,2
vocseg,33.6034,101.589,2
vocseg,33.7295,97.003,2
vocseg,33.8028,145.221,2
vocseg,34.5172,101.808,2
vocseg,34.5646,179.582,2
vocseg,34.6272,235.612,2
vocseg,34.7305,194.710,2
vocseg,35.0526,236.618,2
vocseg,35.1906,157.182,2
vocseg,35.4185,113.081,2
vocseg,36.1391,124.015,2
vocseg,36.6529,95.865,2
vocseg,37.0439,69.527,2
vocseg,37.1000,74.728,2
vocseg,37.4964,104.211,2
vocseg,37.6486,72.960,2
vocseg,37.6891,152.794,2
vocseg,37.8227,141.549,2
vocseg,37.8465,240.895,2
vocseg,38.1512,116.689,2
vocseg,38.4751,96.679,2
vocseg,38.5729,122.597,2
vocseg,38.5882,167.209,2
vocseg,39.4985,109.057,2
vocseg,39.7672,87.469,2
vocseg,40.2638,73.808,3
vocseg,40.3806,79.380,3
vocseg,40.9394,68.685,3
vocseg,41.4866,70.434,3
vocseg,41.5176,160.170,3
vocseg,43.3284,115.341,3
vocseg,43.5527,72.837,3
vocseg,44.0194,93.622,3
vocseg,44.0998,133.840,3
vocseg,44.4292,108.761,3
vocseg,44.5235,75.428,3
vocseg,45.0617,84.395,3
vocseg,45.2159,113.010,3
vocseg,45.4753,96.775,3
vocseg,45.6517,101.835,3
vocseg,45.9035,95.497,3
vocseg,46.0598,121.202,3
vocseg,46.2647,98.197,3
vocseg,46.2736,149.137,3
vocseg,46.8034,107.535,3
vocseg,47.6406,123.086,3
vocseg,47.8331,112.935,3
vocseg,48.9684,74.777,3
vocseg,49.0240,79.186,3
vocseg,49.9534,126.467,3
