task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns,phase
vocseg,fifo,0.0001,472.7039,464.843,414.8364,0.0025,48.8891,3.6178,0.0,7.8609,1777835327096482314,1
vocseg,fifo,0.8019,81.8441,75.8223,74.4563,0.0032,0.8274,3.0515,0.0,6.0217,1777835327897685201,1
vocseg,fifo,1.5821,80.5452,75.3055,74.0551,0.0027,0.7634,2.4922,0.0,5.2397,1777835328677342703,1
vocseg,fifo,2.376,80.1885,75.2884,74.006,0.0029,0.7678,2.1071,0.0,4.9001,1777835329470867346,1
vocseg,fifo,2.4704,86.298,81.3744,78.3931,0.003,2.4743,1.9073,0.0,4.9236,1777835329565009307,1
vocseg,fifo,2.4983,224.7906,163.5558,162.2624,0.0031,0.8003,58.6607,0.0,61.2348,1777835329649663206,1
vocseg,fifo,2.9825,80.2326,75.2364,73.8319,0.0028,0.8467,2.2039,0.0,4.9962,1777835330077418592,1
vocseg,fifo,3.4522,79.7646,74.6292,73.3017,0.0027,0.7895,2.3222,0.0,5.1354,1777835330547312306,1
vocseg,fifo,4.4952,79.9251,74.9418,73.5484,0.0033,0.8332,2.115,0.0,4.9833,1777835331590036998,1
vocseg,fifo,4.5202,148.5479,90.8734,87.8859,0.0034,2.47,54.7647,0.0,57.6745,1777835331667703721,1
vocseg,fifo,4.869,80.3864,75.7052,74.1284,0.0034,0.8239,2.0046,0.0,4.6812,1777835331963789052,1
vocseg,fifo,4.892,165.4985,105.4875,102.5429,0.0028,2.4773,57.4045,0.0,60.011,1777835332042178548,1
vocseg,fifo,5.2549,80.2329,75.5245,74.2085,0.0029,0.802,1.9443,0.0,4.7083,1777835332349585498,1
vocseg,fifo,5.8324,159.6098,154.9029,151.8693,0.0028,2.4639,2.0287,0.0,4.7069,1777835332927151376,1
vocseg,fifo,5.9616,123.0395,89.9978,88.6847,0.0028,0.8154,30.2918,0.0,33.0417,1777835333084602649,1
vocseg,fifo,6.3722,79.9611,75.3493,74.0081,0.0026,0.8137,1.9689,0.0,4.6118,1777835333466883508,1
vocseg,fifo,6.4231,198.6573,166.6825,163.7319,0.0032,2.4176,28.8882,0.0,31.9747,1777835333544714101,1
vocseg,fifo,6.4534,440.5217,268.9389,205.899,0.0028,31.2398,168.8924,0.0,171.5829,1777835333714999148,1
vocseg,fifo,6.5584,337.4059,268.9389,205.899,0.0028,31.2398,63.8602,0.0,68.4671,1777835333714999148,1
vocseg,fifo,6.8595,205.3626,166.4059,163.3685,0.0028,2.5149,36.3245,0.0,38.9566,1777835333988593173,1
vocseg,fifo,6.997,232.6019,162.291,161.0297,0.0035,0.7698,67.7912,0.0,70.3109,1777835334157571737,1
vocseg,fifo,7.4119,173.8687,169.1365,167.6337,0.0028,0.9891,1.8885,0.0,4.7322,1777835334506572469,1
vocseg,fifo,7.4875,267.7352,166.6362,163.6829,0.003,2.4289,98.0353,0.0,101.099,1777835334678262991,1
vocseg,fifo,8.1001,81.4488,76.2447,74.9679,0.0032,0.7776,1.7755,0.0,5.2041,1777835335194665636,1
vocseg,fifo,8.5085,169.9495,165.2878,162.2761,0.0034,2.1365,1.8106,0.0,4.6617,1777835335603011796,1
vocseg,fifo,8.7275,80.4141,75.8296,74.5098,0.0026,0.7898,1.8668,0.0,4.5845,1777835335822096797,1
vocseg,fifo,8.8661,128.4666,123.9728,120.9905,0.0041,2.4138,1.7359,0.0,4.4938,1777835335960563439,1
vocseg,fifo,9.0177,171.2849,166.8259,163.8369,0.0028,2.4483,1.7278,0.0,4.459,1777835336112175233,1
vocseg,fifo,9.0429,295.9478,147.21,145.449,0.0028,0.6203,146.1284,0.0,148.7378,1777835336281769088,1
vocseg,fifo,9.104,236.7172,147.21,145.449,0.0028,0.6203,85.0258,0.0,89.5073,1777835336281769088,1
vocseg,fifo,9.3323,165.2069,153.9079,150.928,0.0027,2.4202,8.5967,0.0,11.299,1777835336433599363,1
vocseg,fifo,9.4619,151.3064,113.3819,110.4113,0.0027,2.4917,35.383,0.0,37.9245,1777835336590037916,1
vocseg,fifo,9.8828,81.4009,76.6551,75.2719,0.003,0.8229,1.9133,0.0,4.7458,1777835336977504084,1
vocseg,fifo,10.1186,80.5953,74.9375,73.6245,0.0033,0.7883,1.9119,0.0,5.6577,1777835337213219819,1
vocseg,fifo,10.1976,84.9144,80.1248,78.9387,0.0026,0.7464,2.106,0.0,4.7897,1777835337292487680,1
vocseg,fifo,10.3517,80.1823,75.835,74.6476,0.0024,0.7117,1.7183,0.0,4.3473,1777835337446208408,1
vocseg,fifo,10.5652,80.0533,75.3443,74.0338,0.003,0.799,1.8728,0.0,4.709,1777835337659812899,1
vocseg,fifo,10.6804,110.6906,106.21,103.22,0.0029,2.5122,1.7381,0.0,4.4806,1777835337774890712,1
vocseg,fifo,10.7885,141.1169,135.3754,134.0332,0.0032,0.8357,3.0053,0.0,5.7414,1777835337884301488,1
vocseg,fifo,11.08,80.1499,75.3814,73.9423,0.0032,0.8689,1.9488,0.0,4.7685,1777835338174688242,1
vocseg,fifo,11.1793,81.7814,77.1564,75.7726,0.0033,0.8477,1.8239,0.0,4.625,1777835338273909734,1
vocseg,fifo,11.6241,79.9475,75.2634,73.9728,0.0038,0.7752,1.884,0.0,4.6841,1777835338718685310,1
vocseg,fifo,12.0879,84.2016,79.5789,76.5737,0.0028,2.5037,1.9722,0.0,4.6227,1777835339182592913,1
vocseg,fifo,12.4486,83.1122,78.7162,77.2962,0.0028,0.8522,1.6465,0.0,4.3961,1777835339542973249,1
vocseg,fifo,12.4733,140.8236,79.8363,78.6118,0.0024,0.7614,58.2771,0.0,60.9873,1777835339624337972,1
vocseg,fifo,12.8514,106.148,101.6133,100.1854,0.0034,0.8546,1.8072,0.0,4.5347,1777835339945953195,1
vocseg,fifo,13.3024,83.2973,78.8276,77.4948,0.003,0.8091,1.7536,0.0,4.4696,1777835340396869657,1
vocseg,fifo,13.6771,79.5124,74.842,73.4522,0.0028,0.8408,1.9093,0.0,4.6703,1777835340771780221,1
vocseg,fifo,13.7708,82.6316,78.1797,76.8988,0.003,0.7783,1.6258,0.0,4.4519,1777835340865162020,1
vocseg,fifo,13.8766,80.8425,76.5164,75.2135,0.0029,0.8061,1.7385,0.0,4.3261,1777835340971059020,1
vocseg,fifo,13.9325,107.9803,80.5164,79.3542,0.0027,0.7414,24.8089,0.0,27.4639,1777835341050035455,1
vocseg,fifo,14.0506,81.8765,77.6901,76.3791,0.0028,0.8235,1.6081,0.0,4.1865,1777835341144963059,1
