task,send_time_s,latency_ms,phase
vocseg,0.0001,492.685,1
vocseg,0.8023,49.008,1
vocseg,1.5815,49.932,1
vocseg,2.3760,47.347,1
vocseg,2.4695,52.309,1
vocseg,2.4974,85.218,1
vocseg,2.9825,47.141,1
vocseg,3.4522,49.564,1
vocseg,4.4940,48.684,1
vocseg,4.5200,81.478,1
vocseg,4.8690,50.832,1
vocseg,4.8921,89.322,1
vocseg,5.2553,49.102,1
vocseg,5.8326,49.392,1
vocseg,5.9613,53.716,1
vocseg,6.3733,48.069,1
vocseg,6.4235,62.573,1
vocseg,6.4532,150.853,1
vocseg,6.5584,102.643,1
vocseg,6.8586,88.591,1
vocseg,6.9962,93.249,1
vocseg,7.4124,48.330,1
vocseg,7.4880,53.506,1
vocseg,8.0997,48.911,1
vocseg,8.5086,50.636,1
vocseg,8.7285,49.186,1
vocseg,8.8669,49.146,1
vocseg,9.0177,51.315,1
vocseg,9.0436,148.600,1
vocseg,9.1032,147.483,1
vocseg,9.3319,48.815,1
vocseg,9.4614,53.653,1
vocseg,9.8827,49.097,1
vocseg,10.1191,47.861,1
vocseg,10.1981,52.405,1
vocseg,10.3518,49.529,1
vocseg,10.5656,48.142,1
vocseg,10.6800,49.660,1
vocseg,10.7878,65.214,1
vocseg,11.0804,49.136,1
vocseg,11.1797,50.789,1
vocseg,11.6240,48.916,1
vocseg,12.0875,48.569,1
vocseg,12.4490,51.546,1
vocseg,12.4728,85.794,1
vocseg,12.8509,62.868,1
vocseg,13.3035,50.939,1
vocseg,13.6769,48.411,1
vocseg,13.7705,51.647,1
vocseg,13.8773,51.300,1
vocseg,13.9318,61.080,1
vocseg,14.0501,50.945,1
vocseg,14.0571,103.703,1
vocseg,14.1132,105.905,1
vocseg,14.5519,47.830,1
vocseg,15.8835,49.137,1
vocseg,16.0709,76.337,1
vocseg,16.1663,98.771,1
vocseg,16.2983,51.441,1
vocseg,16.4189,49.877,1
vocseg,16.4627,68.143,1
vocseg,16.8233,48.970,1
vocseg,17.2838,49.438,1
vocseg,17.7852,49.853,1
vocseg,19.5544,51.292,1
vocseg,20.2575,47.554,1
vocseg,20.8053,48.282,1
vocseg,21.1529,49.354,1
vocseg,21.3505,48.223,1
vocseg,21.3653,90.944,1
vocseg,21.6846,48.612,1
vocseg,21.8915,46.931,1
vocseg,22.3941,49.011,1
vocseg,23.0704,48.323,1
vocseg,23.1806,105.386,1
vocseg,23.1974,148.700,1
vocseg,23.5054,111.227,1
vocseg,24.3571,48.159,1
vocseg,24.6306,49.555,1
vocseg,25.3408,57.046,1
vocseg,25.5922,48.639,1
vocseg,26.0298,108.738,1
vocseg,26.1273,130.798,1
vocseg,26.1707,206.796,1
vocseg,26.2179,280.627,1
vocseg,26.2574,301.146,1
vocseg,26.2752,343.817,1
vocseg,26.8484,49.814,1
vocseg,26.9977,113.946,1
vocseg,27.1258,102.974,1
vocseg,27.4381,49.446,1
vocseg,27.4997,118.143,1
vocseg,28.1405,48.764,1
vocseg,28.5715,49.419,1
vocseg,28.6811,64.976,1
vocseg,28.7472,60.349,1
vocseg,28.9238,48.349,1
vocseg,29.0254,50.334,1
vocseg,29.0503,83.501,1
vocseg,29.2181,50.169,1
vocseg,29.9696,49.813,1
vocseg,30.3056,53.583,2
vocseg,31.3327,105.947,2
vocseg,32.0147,95.552,2
vocseg,32.3875,87.656,2
vocseg,33.0040,78.440,2
vocseg,33.2470,77.795,2
vocseg,33.6023,88.792,2
vocseg,33.7292,83.765,2
vocseg,33.8025,131.558,2
vocseg,34.5172,87.476,2
vocseg,34.5649,100.123,2
vocseg,34.6269,159.369,2
vocseg,34.7303,177.536,2
vocseg,35.0526,99.016,2
vocseg,35.1908,83.350,2
vocseg,35.4191,97.266,2
vocseg,36.1386,109.991,2
vocseg,36.6531,82.362,2
vocseg,37.0432,116.934,2
vocseg,37.0997,120.741,2
vocseg,37.4971,90.096,2
vocseg,37.6484,121.829,2
vocseg,37.6901,200.847,2
vocseg,37.8233,187.532,2
vocseg,37.8457,287.872,2
vocseg,38.1506,103.820,2
vocseg,38.4752,85.539,2
vocseg,38.5729,109.180,2
vocseg,38.5887,215.950,2
vocseg,39.4982,97.972,2
vocseg,39.7672,71.940,2
vocseg,40.2630,125.245,2
vocseg,40.3809,68.234,2
vocseg,40.9400,117.083,2
vocseg,41.4867,117.599,2
vocseg,41.5175,147.511,2
vocseg,43.3282,103.263,2
vocseg,43.5534,122.080,2
vocseg,44.0186,85.026,2
vocseg,44.1005,123.169,2
vocseg,44.4279,100.988,2
vocseg,44.5238,124.968,2
vocseg,45.0617,76.147,2
vocseg,45.2155,105.298,2
vocseg,45.4754,88.095,2
vocseg,45.6512,95.082,2
vocseg,45.9022,87.516,2
vocseg,46.0601,112.777,2
vocseg,46.2650,89.553,2
vocseg,46.2737,140.525,2
vocseg,46.8042,99.275,2
vocseg,47.6399,114.048,2
vocseg,47.8330,103.556,2
vocseg,49.0495,107.093,2
vocseg,49.0497,228.201,2
vocseg,49.9525,117.814,2
vocseg,50.0734,116.761,2
vocseg,50.2972,77.278,2
vocseg,51.1089,118.423,2
vocseg,51.1516,135.703,2
vocseg,51.2151,192.393,2
vocseg,51.6630,111.812,2
vocseg,51.9902,92.621,2
vocseg,52.0860,116.235,2
vocseg,52.2334,89.597,2
vocseg,52.4836,84.312,2
vocseg,53.1167,121.848,2
vocseg,53.2365,123.047,2
vocseg,53.4919,112.831,2
vocseg,53.6099,115.064,2
vocseg,53.7123,74.044,2
vocseg,54.4235,95.954,2
vocseg,54.6078,91.704,2
vocseg,55.0543,72.783,2
vocseg,55.1551,93.498,2
vocseg,55.2175,151.752,2
vocseg,55.5978,75.974,2
vocseg,56.0704,91.913,2
vocseg,56.3872,79.283,2
vocseg,56.7833,266.808,2
vocseg,57.1229,113.651,2
vocseg,57.4862,115.670,2
vocseg,58.2378,97.444,2
vocseg,59.1793,127.824,2
vocseg,59.3997,88.881,2
vocseg,59.4306,119.212,2
vocseg,59.8988,78.466,2
vocseg,60.1801,102.055,3
vocseg,60.9939,81.718,3
vocseg,61.3417,98.685,3
vocseg,61.3887,174.242,3
vocseg,61.7382,67.239,3
vocseg,61.9293,120.759,3
vocseg,61.9682,142.496,3
vocseg,62.0602,171.182,3
vocseg,63.2175,110.946,3
vocseg,63.3516,98.175,3
vocseg,63.4384,132.202,3
vocseg,63.5857,107.418,3
vocseg,64.2756,89.364,3
vocseg,64.6382,91.565,3
vocseg,64.7039,86.197,3
vocseg,64.7067,266.274,3
vocseg,64.8525,180.653,3
vocseg,64.9034,252.028,3
vocseg,65.5925,111.523,3
vocseg,65.6274,136.283,3
vocseg,65.8560,89.848,3
vocseg,66.1944,118.875,3
vocseg,67.1519,75.517,3
vocseg,67.2486,100.824,3
vocseg,67.8273,70.600,3
vocseg,68.0817,118.715,3
vocseg,68.6585,91.226,3
vocseg,68.7779,92.719,3
vocseg,68.8897,103.755,3
vocseg,68.9726,143.937,3
vocseg,69.3205,99.292,3
vocseg,69.5370,124.343,3
vocseg,69.8264,80.054,3
vocseg,70.2538,79.621,3
vocseg,70.6385,119.859,3
vocseg,70.9869,76.519,3
vocseg,71.4533,99.454,3
vocseg,71.4642,148.356,3
vocseg,71.9658,72.772,3
vocseg,72.3992,126.135,3
vocseg,72.5455,100.953,3
vocseg,72.6254,143.092,3
vocseg,72.8624,87.850,3
vocseg,73.5383,82.496,3
vocseg,73.6460,96.730,3
vocseg,74.1242,106.352,3
vocseg,75.1141,89.291,3
vocseg,75.2464,78.876,3
vocseg,76.6823,104.152,3
vocseg,76.7022,145.475,3
vocseg,76.7140,193.065,3
vocseg,77.3326,49.350,3
vocseg,77.5482,48.627,3
vocseg,77.7501,47.986,3
vocseg,78.4034,49.150,3
vocseg,79.2280,51.251,3
vocseg,79.5025,74.140,3
vocseg,80.2055,50.896,3
vocseg,80.5415,64.722,3
vocseg,80.7085,49.079,3
vocseg,80.7897,53.811,3
vocseg,81.2504,48.577,3
vocseg,81.9622,95.944,3
vocseg,82.8521,98.921,3
vocseg,82.9531,59.754,3
vocseg,83.2953,49.693,3
vocseg,83.4662,51.696,3
vocseg,84.0371,48.025,3
vocseg,84.1102,55.882,3
vocseg,84.1303,93.290,3
vocseg,84.2507,54.927,3
vocseg,84.2736,91.983,3
vocseg,84.4307,77.967,3
vocseg,84.5938,107.580,3
vocseg,84.6316,129.554,3
vocseg,85.6615,49.792,3
vocseg,85.7614,50.577,3
vocseg,86.1602,47.988,3
vocseg,86.2273,102.030,3
vocseg,86.3975,49.561,3
vocseg,86.4265,83.624,3
vocseg,86.4662,102.584,3
vocseg,86.4700,220.083,3
vocseg,87.0078,53.233,3
vocseg,87.1264,58.128,3
vocseg,87.3579,48.779,3
vocseg,87.6471,49.989,3
vocseg,87.7072,62.259,3
vocseg,88.6851,48.463,3
vocseg,88.8668,49.670,3
vocseg,88.8920,143.950,3
vocseg,88.9277,167.774,3
vocseg,89.0932,64.076,3
vocseg,89.1356,81.748,3
vocseg,89.2445,53.341,3
vocseg,89.4922,50.688,3
vocseg,89.5073,96.058,3
vocseg,89.6264,53.889,3
