req_idx,send_time,latency_ms
0,1773439778.482491,60.453
1,1773439778.612118,48.716
2,1773439779.509803,40.998
3,1773439780.216541,34.055
4,1773439780.355775,24.457
5,1773439781.627115,33.696
6,1773439782.263042,33.274
7,1773439783.338388,33.353
8,1773439783.628043,24.191
9,1773439784.218556,24.468
10,1773439784.452312,50.105
11,1773439784.539895,34.736
12,1773439785.782405,24.811
13,1773439786.292482,40.889
14,1773439787.483506,24.197
15,1773439788.958994,40.766
16,1773439790.120630,40.859
17,1773439790.214596,63.605
18,1773439790.579580,40.890
19,1773439790.618013,24.296
20,1773439790.816563,23.421
21,1773439790.917132,24.042
22,1773439791.652609,42.081
23,1773439791.657991,64.305
24,1773439793.319041,25.575
25,1773439793.358713,22.811
26,1773439793.858047,24.785
27,1773439795.175023,33.598
28,1773439797.699127,32.023
29,1773439798.508457,33.655
30,1773439798.915203,24.486
31,1773439799.461296,24.846
32,1773439799.540257,24.173
33,1773439799.925874,33.828
34,1773439800.032845,34.131
35,1773439801.289440,31.970
36,1773439803.733415,24.506
37,1773439804.434699,38.864
38,1773439804.631804,24.615
39,1773439804.828670,24.792
40,1773439804.868560,23.075
41,1773439804.905722,23.865
42,1773439806.777508,25.487
43,1773439807.004269,25.583
44,1773439807.308205,33.562
45,1773439807.521014,24.665
46,1773439807.789995,24.391
47,1773439808.745390,34.175
48,1773439809.543411,24.597
49,1773439809.993954,30.731
50,1773439810.709546,48.524
51,1773439810.719992,38.095
52,1773439810.849248,40.645
53,1773439811.255974,48.077
54,1773439811.316159,46.076
55,1773439811.317437,44.815
56,1773439812.221066,32.942
57,1773439812.844803,32.845
58,1773439812.910744,23.100
59,1773439813.617666,24.288
60,1773439814.032870,50.103
61,1773439814.089060,31.608
62,1773439814.837716,24.589
63,1773439815.237990,39.684
64,1773439815.590056,24.112
65,1773439815.624248,39.163
66,1773439815.713522,40.329
67,1773439816.370559,49.668
68,1773439816.667552,41.006
69,1773439817.716507,24.354
70,1773439818.265463,24.372
71,1773439820.068397,24.120
72,1773439820.482002,40.456
73,1773439820.649664,33.461
74,1773439820.704222,24.100
75,1773439821.774761,24.179
76,1773439822.749164,24.714
77,1773439823.006231,33.400
78,1773439823.280957,33.458
79,1773439823.842028,33.519
80,1773439823.958404,23.656
81,1773439824.229378,24.595
82,1773439824.345139,24.393
83,1773439825.102527,32.975
84,1773439825.513380,33.817
85,1773439825.684618,36.042
86,1773439825.982368,24.249
87,1773439826.164870,24.779
88,1773439826.288811,24.504
89,1773439826.610772,23.569
90,1773439826.867979,23.661
91,1773439827.612189,25.396
92,1773439827.759765,25.370
93,1773439829.116515,25.299
94,1773439829.299050,33.704
95,1773439830.223767,38.033
96,1773439830.236155,25.661
97,1773439830.836160,33.623
98,1773439834.075781,24.575
99,1773439834.364690,38.693
100,1773439834.396453,28.992
101,1773439834.435531,32.517
102,1773439835.114263,40.744
103,1773439835.185109,32.710
104,1773439836.200999,24.280
105,1773439836.375494,32.812
106,1773439837.288280,33.009
107,1773439837.352383,46.289
108,1773439837.395967,24.412
109,1773439837.537568,24.374
