req_idx,send_time,latency_ms
0,1773440911.999803,8167.808
1,1773440912.002387,11095.879
2,1773440912.021714,9797.259
3,1773440912.057465,8183.864
4,1773440912.104340,11299.327
5,1773440912.149671,9865.867
6,1773440912.192092,8627.747
7,1773440912.200326,8167.320
8,1773440912.251945,11537.330
9,1773440912.261376,9958.879
10,1773440912.275059,12564.985
11,1773440912.277284,13142.825
12,1773440912.294733,12764.716
13,1773440912.299204,11558.276
14,1773440912.323430,10895.128
15,1773440912.330969,7779.341
16,1773440912.372207,11219.214
17,1773440912.400116,9478.889
18,1773440912.431406,10435.132
19,1773440912.480893,10193.829
20,1773440912.528616,8831.398
21,1773440912.593461,13622.210
22,1773440912.601955,10403.218
23,1773440912.610607,12183.888
24,1773440912.622304,11124.279
25,1773440912.630735,14384.269
26,1773440912.645975,8478.787
27,1773440912.664862,12974.009
28,1773440912.703653,11846.566
29,1773440912.709149,10417.891
30,1773440912.756256,10322.970
31,1773440912.763458,10543.504
32,1773440912.783972,9818.805
33,1773440912.839260,10978.555
34,1773440912.841669,8910.670
35,1773440912.847112,16530.315
36,1773440912.914294,16508.466
37,1773440912.957437,16472.730
38,1773440912.960916,16425.889
39,1773440912.964344,16380.593
40,1773440912.989315,16338.205
41,1773440913.020079,16329.998
42,1773440913.036847,16278.409
43,1773440913.128489,16269.005
44,1773440913.157233,16255.359
45,1773440913.174484,16253.165
46,1773440913.186044,16235.922
47,1773440913.217231,16231.475
48,1773440913.258228,16207.262
49,1773440913.258244,16158.526
50,1773440913.295778,16130.656
51,1773440913.301029,16049.892
52,1773440913.394183,16002.208
53,1773440913.443649,15937.379
54,1773440913.505995,15928.911
55,1773440913.516282,15900.168
56,1773440913.558648,15884.968
57,1773440913.670039,15866.118
58,1773440913.674516,15827.380
59,1773440913.703270,15774.814
60,1773440913.737401,15747.134
61,1773440913.781533,15691.875
62,1773440913.863790,15689.569
63,1773440913.908214,15684.292
64,1773440913.915436,15617.125
65,1773440913.915611,15574.002
66,1773440913.970482,15570.564
67,1773440914.024406,15567.178
68,1773440914.029648,15542.222
69,1773440914.050625,15511.505
70,1773440914.080566,15494.752
71,1773440914.133166,15403.159
72,1773440914.143482,15374.429
73,1773440914.154385,15357.205
74,1773440914.222738,15345.676
75,1773440914.241248,15314.523
76,1773440914.313749,15273.539
77,1773440914.381469,15236.046
78,1773440914.404207,15137.677
79,1773440914.450489,15088.340
80,1773440914.550353,15026.005
81,1773440914.578820,15015.744
82,1773440914.609215,14973.403
83,1773440914.660983,14862.275
84,1773440914.681846,14857.816
85,1773440914.700622,14829.085
86,1773440914.725196,14794.970
87,1773440914.728442,14750.887
88,1773440914.751670,14668.644
89,1773440914.754943,14624.270
90,1773440914.795421,14617.061
91,1773440914.845135,14562.098
92,1773440914.961141,15231.493
93,1773440914.999285,15205.295
94,1773440915.001541,15175.404
95,1773440915.025482,15122.845
96,1773440915.061575,15112.541
97,1773440915.126199,15014.808
98,1773440915.132666,14942.340
99,1773440915.163541,14874.648
100,1773440915.179758,14851.947
101,1773440915.232748,14647.160
102,1773440915.234032,14595.462
103,1773440915.241296,14574.616
104,1773440915.336760,14555.941
105,1773440915.358740,14531.383
106,1773440915.409760,14528.218
107,1773440915.422240,14505.058
108,1773440915.426805,14501.821
109,1773440915.450338,14461.375
110,1773440915.455540,14411.922
111,1773440915.467966,14295.933
112,1773440915.505665,14257.807
113,1773440915.535860,14255.562
114,1773440915.540056,10131.670
115,1773440915.624743,14836.134
116,1773440915.663157,14800.121
117,1773440915.673395,14735.514
118,1773440915.678642,14698.188
119,1773440915.683090,14682.008
120,1773440915.687368,14627.786
121,1773440915.703084,14620.549
122,1773440915.704380,14525.100
123,1773440915.743226,14503.164
124,1773440915.747709,14452.156
125,1773440915.749917,14439.717
126,1773440915.752122,14843.077
127,1773440915.780613,14819.564
128,1773440915.796581,14814.424
129,1773440915.841400,14802.014
130,1773440915.844693,14764.329
131,1773440915.866150,14734.179
132,1773440915.904952,14730.001
133,1773440915.907449,14606.934
134,1773440915.924663,14596.727
135,1773440915.941154,14587.064
136,1773440915.952371,14582.813
137,1773440915.998310,14567.136
138,1773440916.034041,14565.872
139,1773440916.038468,14876.544
140,1773440916.062083,14874.409
141,1773440916.123908,14845.933
142,1773440916.250957,14829.978
143,1773440916.256413,14781.900
144,1773440916.259629,14721.674
145,1773440916.322060,14719.209
146,1773440916.357981,14702.023
147,1773440916.371466,14685.568
148,1773440916.376899,14674.387
149,1773440916.426355,14628.490
150,1773440916.447762,14592.802
151,1773440916.448976,14588.414
152,1773440916.498768,13251.748
153,1773440916.506327,14924.287
154,1773440916.547221,14862.484
155,1773440916.587059,15086.496
156,1773440916.600879,15081.094
157,1773440916.669214,15077.898
158,1773440916.885582,15015.501
159,1773440916.888823,15257.204
160,1773440916.945028,15243.886
161,1773440916.959222,15400.891
162,1773440917.012263,15612.885
163,1773440917.052186,15561.901
164,1773440917.128066,15554.382
165,1773440917.171923,15513.537
166,1773440917.187650,15473.715
167,1773440917.215909,16193.573
168,1773440917.228599,16125.257
169,1773440917.256527,13823.096
170,1773440917.303121,16210.056
171,1773440917.347718,16206.872
172,1773440917.370953,16150.682
173,1773440917.375175,16136.533
174,1773440917.411498,16356.119
175,1773440917.444012,16316.277
176,1773440917.467065,16501.638
177,1773440917.470487,16442.080
178,1773440917.632910,13497.956
179,1773440917.676603,16680.043
180,1773440917.694623,16639.446
181,1773440917.763368,16592.869
182,1773440917.764714,16838.131
183,1773440917.866284,16814.950
184,1773440917.885865,16741.907
185,1773440917.954917,16993.520
186,1773440918.014775,16990.117
187,1773440918.085454,14976.911
188,1773440918.094853,17120.897
189,1773440918.097061,15293.906
190,1773440918.117267,17183.691
191,1773440918.146890,15695.632
192,1773440918.204043,17285.463
193,1773440918.222675,17265.902
194,1773440918.223899,17481.262
195,1773440918.326068,17421.481
196,1773440918.387321,17600.782
197,1773440918.391623,17591.449
198,1773440918.401380,17589.255
199,1773440918.471873,17569.103
200,1773440918.480102,17816.440
201,1773440918.516115,17759.309
202,1773440918.650834,17740.830
203,1773440918.663072,17739.682
204,1773440918.688674,16743.750
205,1773440918.694154,15908.745
206,1773440918.700632,17827.394
207,1773440918.702848,17766.161
208,1773440918.802481,17761.927
209,1773440918.807714,17921.010
210,1773440918.883959,17912.804
211,1773440918.927249,17948.442
212,1773440918.942518,17936.272
213,1773440918.946966,17910.688
214,1773440918.957175,18224.863
215,1773440918.971421,18218.454
216,1773440919.018917,18216.253
217,1773440919.039136,16194.838
218,1773440919.125447,18466.691
219,1773440919.145206,18461.477
220,1773440919.164970,18627.112
221,1773440919.181439,15795.142
222,1773440919.196868,14889.687
223,1773440919.219847,18870.386
224,1773440919.252794,18855.159
225,1773440919.258047,18850.769
226,1773440919.270483,18840.574
227,1773440919.347499,19045.164
228,1773440919.401224,19025.141
229,1773440919.459924,19311.372
230,1773440919.479405,19291.631
231,1773440919.483714,19275.203
232,1773440919.498230,19259.823
233,1773440919.564204,19443.120
234,1773440919.583504,19430.706
235,1773440919.631613,19353.733
236,1773440919.668419,16528.975
237,1773440919.671623,19551.657
238,1773440919.675828,18319.215
239,1773440919.696042,19774.394
240,1773440919.750362,16009.429
241,1773440919.778300,20003.471
242,1773440919.939431,19984.241
243,1773440919.947639,17899.158
244,1773440919.954856,20275.998
245,1773440919.983554,15423.033
246,1773440919.995172,20438.615
247,1773440920.030282,20435.477
248,1773440920.054869,20431.288
249,1773440920.056121,20411.107
250,1773440920.098587,18796.271
251,1773440920.131820,20600.985
252,1773440920.188066,20573.069
253,1773440920.193473,19108.982
254,1773440920.208923,20910.647
255,1773440920.238586,20902.458
256,1773440920.254188,20895.282
257,1773440920.279686,18792.928
258,1773440920.284280,16905.684
259,1773440920.285458,21073.163
260,1773440920.331228,21061.568
261,1773440920.439040,17843.599
262,1773440920.513112,21230.013
263,1773440920.524318,21204.239
264,1773440920.573894,20221.552
265,1773440920.633736,18712.012
266,1773440920.702157,18607.094
267,1773440920.717650,21335.648
268,1773440920.724302,21246.191
269,1773440920.796191,21474.588
270,1773440920.850473,21459.158
271,1773440920.873392,21429.538
272,1773440920.928609,21413.982
273,1773440921.027629,21590.664
274,1773440921.038826,21586.092
275,1773440921.117198,19512.704
276,1773440921.127434,16810.898
277,1773440921.139104,21822.881
278,1773440921.156333,21957.100
279,1773440921.242430,21260.724
280,1773440921.292229,22016.917
281,1773440921.310917,22096.249
282,1773440921.326217,22085.064
283,1773440921.329493,16401.762
284,1773440921.382628,22213.202
285,1773440921.387855,20463.314
286,1773440921.389059,22249.103
287,1773440921.424985,19041.716
288,1773440921.441402,22421.210
289,1773440921.442638,17500.858
290,1773440921.454856,22623.511
291,1773440921.468306,18963.719
292,1773440921.488562,18896.142
293,1773440921.526586,18450.019
294,1773440921.536539,22809.264
295,1773440921.596163,22971.286
296,1773440921.601803,23099.525
297,1773440921.632014,23064.481
298,1773440921.668606,23054.265
299,1773440921.678896,23042.632
300,1773440921.696384,23025.435
301,1773440921.715994,22889.575
302,1773440921.771459,22855.649
303,1773440921.836678,22852.515
304,1773440921.866720,22799.401
305,1773440921.866890,22794.343
306,1773440921.869068,22793.155
307,1773440921.890957,22757.246
308,1773440921.946646,22740.877
309,1773440921.959076,22739.657
310,1773440921.965500,22727.479
311,1773440921.975722,22714.042
312,1773440922.017252,22693.812
313,1773440922.033571,22655.825
314,1773440922.048830,22645.909
315,1773440922.057251,19800.937
316,1773440922.102752,17149.575
317,1773440922.109956,22941.194
318,1773440922.172307,22935.577
319,1773440922.201057,22905.532
320,1773440922.206660,22858.669
321,1773440922.207864,22841.247
322,1773440922.308342,22766.186
323,1773440922.323806,22700.981
324,1773440922.357711,22670.994
325,1773440922.405295,22670.838
326,1773440922.425118,22668.673
327,1773440922.438090,22646.811
328,1773440922.493871,22953.934
329,1773440922.548407,22941.524
330,1773440922.621529,22935.114
331,1773440922.653358,22924.904
332,1773440922.679623,22883.384
333,1773440922.707664,22867.077
334,1773440922.708879,22851.833
335,1773440922.740742,22797.925
336,1773440922.758490,22790.735
337,1773440922.774690,22699.647
338,1773440922.789402,23086.600
339,1773440922.809632,23085.480
340,1773440922.821164,22985.018
341,1773440922.900923,22888.079
342,1773440922.969285,23161.520
343,1773440922.976704,23148.568
344,1773440922.983351,23092.847
345,1773440922.987563,23112.600
346,1773440923.136157,23084.579
347,1773440923.198463,23083.500
348,1773440923.213157,23051.707
349,1773440923.288343,23033.977
350,1773440923.313646,23017.794
351,1773440923.408024,23003.127
352,1773440923.434469,22982.910
353,1773440923.464009,22971.423
354,1773440923.484653,21417.373
355,1773440923.540850,20206.961
356,1773440923.586946,23138.515
357,1773440923.630761,23070.221
358,1773440923.682916,23062.817
359,1773440923.686417,23056.205
360,1773440923.793402,23052.018
361,1773440923.827543,18228.210
362,1773440923.877831,23229.551
