req_idx,send_time,latency_ms
0,1773440911.999787,2680.335
1,1773440912.021743,2658.392
2,1773440912.036557,2643.791
3,1773440912.043772,2636.588
4,1773440912.056241,2624.181
5,1773440912.060673,2619.762
6,1773440912.064111,2616.337
7,1773440912.077559,2602.900
8,1773440912.136475,2544.064
9,1773440912.136647,2543.928
10,1773440912.139820,2540.786
11,1773440912.143028,2537.589
12,1773440912.145252,2536.340
13,1773440912.147468,2534.145
14,1773440912.152878,2528.749
15,1773440912.165354,2516.286
16,1773440912.180593,2501.059
17,1773440912.234827,2446.862
18,1773440912.264606,2417.117
19,1773440912.268837,2412.897
20,1773440912.328730,2353.016
21,1773440912.405649,2276.112
22,1773440912.468211,2213.587
23,1773440912.555376,2128.039
24,1773440912.598716,2084.723
25,1773440912.660264,2023.271
26,1773440912.662549,2021.012
27,1773440912.704904,1978.706
28,1773440912.709170,1974.464
29,1773440912.880238,1803.435
30,1773440912.886464,1797.233
31,1773440912.914316,1769.417
32,1773440912.926617,1757.132
33,1773440912.948897,1734.869
34,1773440912.950211,1733.574
35,1773440912.965616,1718.187
36,1773440913.041115,1642.788
37,1773440913.056560,1627.383
38,1773440913.061819,1622.140
39,1773440913.082065,1601.929
40,1773440913.116695,1567.314
41,1773440913.142718,1541.344
42,1773440913.213005,1471.461
43,1773440913.222448,1462.043
44,1773440913.268921,1415.654
45,1773440913.284233,1400.362
46,1773440913.309546,1375.092
47,1773440913.349094,1335.585
48,1773440913.380727,1303.994
49,1773440913.381968,1302.772
50,1773440913.404437,1280.325
51,1773440913.411787,1272.997
52,1773440913.419035,1265.769
53,1773440913.423720,1261.107
54,1773440913.564112,1120.876
55,1773440913.587680,1097.330
56,1773440913.608968,1076.063
57,1773440913.619307,1066.007
58,1773440913.695747,989.614
59,1773440913.711968,973.437
60,1773440913.714183,971.243
61,1773440913.781502,903.970
62,1773440913.804219,881.296
63,1773440913.821701,863.836
64,1773440913.883149,802.472
65,1773440913.886493,799.148
66,1773440913.917792,767.893
67,1773440913.928044,757.662
68,1773440913.939545,746.184
69,1773440913.951046,734.706
70,1773440913.972806,712.967
71,1773440913.988162,697.633
72,1773440914.152125,1800.738
73,1773440914.181606,1771.302
74,1773440914.239993,1713.060
75,1773440914.253678,1699.408
76,1773440914.270253,1682.849
77,1773440914.273465,1679.658
78,1773440914.309459,1644.730
79,1773440914.325216,1628.999
80,1773440914.371183,1583.080
81,1773440914.407436,1546.850
82,1773440914.429971,1524.341
83,1773440914.520311,1434.049
84,1773440914.530606,1423.775
85,1773440914.556574,1397.830
86,1773440914.590167,1364.260
87,1773440914.595502,1358.947
88,1773440914.602908,1351.563
89,1773440914.621481,1333.013
90,1773440914.642284,1312.233
91,1773440914.656637,1297.920
92,1773440914.700652,1253.965
93,1773440914.765161,1189.478
94,1773440914.802720,1152.089
95,1773440914.821387,1133.463
96,1773440914.835644,1119.226
97,1773440914.837924,1116.964
98,1773440914.855667,1099.266
99,1773440914.906647,1048.321
100,1773440914.914078,1040.908
101,1773440914.929287,1025.717
102,1773440914.946868,1008.154
103,1773440914.973498,981.542
104,1773440915.058365,1504.615
105,1773440915.071779,1491.215
106,1773440915.091012,1471.993
107,1773440915.098272,1464.744
108,1773440915.126222,1436.831
109,1773440915.130462,1432.627
110,1773440915.147873,1415.229
111,1773440915.151123,1411.990
112,1773440915.212453,1350.684
113,1773440915.338046,1225.182
114,1773440915.359935,1203.305
115,1773440915.449038,1541.812
116,1773440915.482185,1508.734
117,1773440915.486437,1504.553
118,1773440915.511191,1479.833
119,1773440915.527415,1463.649
120,1773440915.570595,1420.700
121,1773440915.613200,1378.115
122,1773440915.614534,1376.799
123,1773440915.637244,1354.179
124,1773440915.640453,1350.996
125,1773440915.679866,1311.602
126,1773440915.693610,1297.930
127,1773440915.704399,1287.180
128,1773440915.731987,1259.650
129,1773440915.743201,1248.478
130,1773440915.784888,1688.564
131,1773440915.846915,1626.595
132,1773440915.906234,1567.379
133,1773440915.940949,1532.679
134,1773440915.969819,1503.824
135,1773440916.003551,1470.134
136,1773440916.013772,1459.927
137,1773440916.038322,1435.407
138,1773440916.039635,1954.352
139,1773440916.049838,1944.167
140,1773440916.125197,1869.576
141,1773440916.135401,1859.387
142,1773440916.174245,1820.594
143,1773440916.194026,1800.825
144,1773440916.255192,1988.317
145,1773440916.315693,1927.866
146,1773440916.433583,2156.078
147,1773440916.470193,2418.296
148,1773440916.513766,2374.863
149,1773440916.518979,2369.686
150,1773440916.687922,2465.379
151,1773440916.717575,2435.849
152,1773440916.778536,2374.923
153,1773440916.796112,2357.398
154,1773440916.867702,2553.808
155,1773440916.871180,2550.408
156,1773440916.893014,2528.717
157,1773440916.897308,2524.462
158,1773440917.001817,2643.911
159,1773440917.006059,2639.684
160,1773440917.013472,2632.305
161,1773440917.060423,2585.389
162,1773440917.088968,2823.004
163,1773440917.114449,2797.538
164,1773440917.115658,2796.341
165,1773440917.116843,2795.168
166,1773440917.145516,2766.522
167,1773440917.146758,2765.292
168,1773440917.157411,2754.665
169,1773440917.176177,2735.911
170,1773440917.206434,3012.748
171,1773440917.232041,2987.179
172,1773440917.242258,2976.974
173,1773440917.257773,2961.472
174,1773440917.265982,2953.274
175,1773440917.283608,2935.862
176,1773440917.315816,3185.440
177,1773440917.366451,3134.899
178,1773440917.381402,3119.991
179,1773440917.460797,3257.280
180,1773440917.468302,3249.790
181,1773440917.477075,3241.033
182,1773440917.546395,3334.547
183,1773440917.596361,3285.192
184,1773440917.613023,3268.558
185,1773440917.616339,3265.260
186,1773440917.622601,3259.014
187,1773440917.688124,3473.467
188,1773440917.703099,3458.507
189,1773440917.736056,3425.564
190,1773440917.763332,3398.299
191,1773440917.837815,3323.848
192,1773440917.880592,3475.329
193,1773440917.896100,3459.858
194,1773440917.902436,3453.533
195,1773440917.948360,3407.633
196,1773440917.953711,3402.294
197,1773440917.956106,3577.195
198,1773440917.958286,3575.026
199,1773440917.963473,3569.848
200,1773440917.969678,3563.653
201,1773440917.973974,3559.375
202,1773440918.004990,3528.374
