req_idx,send_time,latency_ms
0,1773464255.495566,276.446
1,1773464255.535452,299.111
2,1773464255.621096,213.475
3,1773464255.762960,71.640
4,1773464255.836694,39.597
5,1773464255.927525,12.271
6,1773464255.939549,11.342
7,1773464256.002025,11.989
8,1773464256.073159,12.482
9,1773464256.099936,11.034
10,1773464256.105242,14.999
11,1773464256.241650,11.499
12,1773464256.263547,10.841
13,1773464256.333950,10.764
14,1773464256.438908,11.011
15,1773464256.593105,10.924
16,1773464256.601350,12.040
17,1773464256.753440,13.122
18,1773464256.904491,11.216
19,1773464256.945531,16.204
20,1773464256.990503,11.202
21,1773464257.238040,11.478
22,1773464257.242360,16.547
23,1773464257.434188,11.415
24,1773464257.494801,14.500
25,1773464257.732662,10.833
26,1773464257.972513,11.470
27,1773464258.160292,12.268
28,1773464258.340158,12.421
29,1773464258.447834,11.004
30,1773464258.477451,10.846
31,1773464258.585777,16.416
32,1773464258.614512,19.341
33,1773464258.739036,11.607
34,1773464258.909428,15.379
35,1773464259.063538,14.041
36,1773464259.079654,17.786
37,1773464259.095258,11.528
38,1773464259.116874,11.049
39,1773464259.138017,11.009
40,1773464259.217650,16.605
41,1773464259.385408,11.550
42,1773464259.418484,21.359
43,1773464259.429184,40.885
44,1773464259.553481,12.058
45,1773464259.599962,18.567
46,1773464259.752952,17.179
47,1773464259.925843,12.140
48,1773464259.949755,24.704
49,1773464260.057645,11.949
50,1773464260.386195,11.987
51,1773464260.403258,13.650
52,1773464260.469507,11.346
53,1773464260.834368,14.996
54,1773464260.856443,10.933
55,1773464260.861691,15.008
56,1773464261.232242,14.716
57,1773464261.248083,19.065
58,1773464261.275456,16.000
59,1773464261.297534,10.939
60,1773464261.375038,16.804
61,1773464261.401922,11.078
62,1773464261.601924,10.822
63,1773464261.754884,19.277
64,1773464262.438304,10.869
65,1773464262.492794,11.108
66,1773464262.556487,11.672
67,1773464262.573271,16.446
68,1773464262.734353,11.082
69,1773464262.739616,15.117
70,1773464262.752517,11.562
71,1773464262.804656,10.879
72,1773464262.917177,11.510
73,1773464263.251868,11.195
74,1773464263.443684,19.103
75,1773464263.559299,11.606
76,1773464263.574246,23.744
77,1773464263.606075,11.056
78,1773464263.621441,19.040
79,1773464263.771676,11.226
80,1773464263.809615,11.004
81,1773464264.296551,11.200
82,1773464264.433793,11.336
83,1773464264.518655,15.880
84,1773464264.650400,19.214
85,1773464264.690120,11.050
86,1773464264.764800,11.239
87,1773464264.771113,14.281
88,1773464264.959642,18.608
89,1773464265.061189,11.191
90,1773464265.305970,11.780
