req_idx,send_time,latency_ms
0,1773464174.833126,280.606
1,1773464174.992565,158.309
2,1773464175.065988,84.889
3,1773464175.480629,11.999
4,1773464175.556772,12.489
5,1773464176.722965,18.520
6,1773464176.917020,12.394
7,1773464176.989433,11.646
8,1773464178.610077,12.296
9,1773464178.840791,12.282
10,1773464179.060364,12.334
11,1773464180.284069,12.310
12,1773464181.218729,12.473
13,1773464181.566183,11.529
14,1773464181.880401,12.502
15,1773464182.181017,12.444
16,1773464182.827723,12.438
17,1773464183.578374,12.464
