req_idx,send_time,latency_ms
0,1773464290.509902,276.849
1,1773464290.522456,274.449
2,1773464290.577904,334.482
3,1773464290.719180,193.271
4,1773464290.722406,190.118
5,1773464290.766979,145.550
6,1773464290.833730,150.545
7,1773464290.841961,142.527
8,1773464290.856179,128.312
9,1773464290.925965,80.872
10,1773464290.946957,81.697
11,1773464290.959493,69.174
12,1773464291.042764,21.837
13,1773464291.059098,14.929
14,1773464291.090821,18.173
15,1773464291.110067,11.039
16,1773464291.132435,19.312
17,1773464291.162828,11.140
18,1773464291.167114,16.470
19,1773464291.169299,23.585
20,1773464291.270739,14.621
21,1773464291.286435,32.699
22,1773464291.357024,11.091
23,1773464291.394859,11.869
24,1773464291.460850,16.759
25,1773464291.471186,27.159
26,1773464291.536507,11.047
27,1773464291.588405,10.922
28,1773464291.790318,18.100
29,1773464291.934147,16.580
30,1773464292.051704,22.589
31,1773464292.063407,25.687
32,1773464292.079372,28.553
33,1773464292.173099,11.433
34,1773464292.243803,21.761
35,1773464292.504637,11.100
36,1773464292.602417,15.743
37,1773464292.603613,29.212
38,1773464292.604789,28.058
39,1773464292.650200,16.014
40,1773464292.704202,10.999
41,1773464292.823571,19.910
42,1773464292.865516,16.882
43,1773464292.886495,29.463
44,1773464292.889685,26.306
45,1773464292.911346,19.381
46,1773464292.935806,10.982
47,1773464293.036875,16.721
48,1773464293.038181,15.419
49,1773464293.125266,12.051
50,1773464293.171135,19.099
51,1773464293.224204,10.949
52,1773464293.237225,16.697
53,1773464293.296775,30.906
54,1773464293.311934,40.735
55,1773464293.437576,22.467
56,1773464293.437792,22.292
57,1773464293.468164,10.870
58,1773464293.482343,18.246
59,1773464293.572565,18.255
60,1773464293.725969,11.745
61,1773464293.823555,11.625
62,1773464293.850279,10.884
63,1773464293.884149,19.022
64,1773464293.998688,16.665
65,1773464294.015209,10.978
66,1773464294.043236,10.931
67,1773464294.093277,20.264
68,1773464294.105957,17.055
69,1773464294.293515,19.303
70,1773464294.408314,10.898
71,1773464294.490412,19.177
72,1773464294.525994,11.589
73,1773464294.590384,10.928
74,1773464294.641767,15.156
75,1773464294.767728,27.414
76,1773464294.883114,24.546
77,1773464294.934616,11.163
78,1773464294.968526,13.460
79,1773464294.998517,26.039
80,1773464295.112509,23.735
81,1773464295.164399,24.388
82,1773464295.286035,10.941
83,1773464295.338662,10.844
84,1773464295.369390,18.280
85,1773464295.479674,16.386
86,1773464295.511166,11.180
87,1773464295.564915,10.827
88,1773464295.577817,16.956
89,1773464295.582045,22.094
90,1773464295.594584,33.850
91,1773464295.647655,28.671
92,1773464295.698561,11.131
93,1773464295.915020,19.092
94,1773464296.087899,10.939
95,1773464296.253695,14.717
96,1773464296.328959,18.325
97,1773464296.337336,25.332
98,1773464296.419433,10.859
99,1773464296.567086,10.851
100,1773464296.766032,17.180
101,1773464296.770226,22.369
102,1773464296.828125,20.329
103,1773464296.988458,18.953
104,1773464297.153111,24.522
105,1773464297.229529,11.334
106,1773464297.364608,16.217
107,1773464297.386905,12.851
108,1773464297.552598,10.962
109,1773464297.621333,31.731
110,1773464297.658160,23.554
111,1773464297.672144,19.000
112,1773464297.771165,19.823
113,1773464297.782436,18.551
114,1773464297.784652,31.215
115,1773464297.789847,26.043
116,1773464297.795064,41.932
117,1773464297.835980,20.263
118,1773464297.911378,24.451
119,1773464297.928459,26.318
120,1773464297.968197,25.539
121,1773464297.974394,28.935
122,1773464297.991206,21.475
123,1773464298.050983,11.148
124,1773464298.073422,11.101
125,1773464298.175452,19.129
126,1773464298.430835,21.202
127,1773464298.472178,17.911
128,1773464298.516591,24.756
129,1773464298.606482,11.604
130,1773464298.713637,28.012
131,1773464298.798565,15.690
132,1773464298.810854,27.636
133,1773464298.825339,22.598
134,1773464298.841567,30.769
135,1773464298.845782,26.577
136,1773464298.887195,23.447
137,1773464298.897688,27.734
138,1773464298.904230,36.075
139,1773464298.990448,11.156
140,1773464298.992831,32.935
141,1773464299.121363,28.530
142,1773464299.152972,15.765
143,1773464299.192578,33.025
144,1773464299.256394,15.634
145,1773464299.455317,40.782
146,1773464299.570295,11.370
147,1773464299.634987,11.211
148,1773464299.639959,15.621
149,1773464299.649276,25.149
150,1773464299.692173,36.722
151,1773464299.699713,50.158
152,1773464299.713682,36.227
153,1773464299.731971,54.542
154,1773464299.739393,47.181
155,1773464299.778511,32.788
156,1773464300.039177,10.985
157,1773464300.124054,11.305
158,1773464300.178666,19.329
159,1773464300.182842,35.714
160,1773464300.188238,30.353
161,1773464300.291828,11.163
162,1773464300.306268,16.399
163,1773464300.417863,10.895
164,1773464300.482144,20.882
